롯데쇼핑(023530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-02-09,385070,390113,369943,373152,602402,11628572.0,28571429.0
2006-02-10,374985,375902,366734,370860,168489,11557143.0,28571429.0
2006-02-13,370860,371318,364900,364901,156342,11371429.0,28571429.0
2006-02-14,359399,364900,353440,360775,77682,11242857.0,28571429.0
2006-02-15,365817,366275,360774,364901,50368,11371429.0,28571429.0
2006-02-16,368109,380486,364900,372235,50953,11600000.0,28571429.0
2006-02-17,372235,372693,369026,369943,29851,11528572.0,28571429.0
2006-02-20,368567,382320,368567,379570,64746,11828572.0,28571429.0
2006-02-21,378194,380945,374068,376819,75098,11742857.0,28571429.0
2006-02-22,375902,379569,374527,377278,38167,11757143.0,28571429.0
2006-02-23,377277,383695,374985,380487,75155,11857143.0,28571429.0
2006-02-24,376819,377736,371318,373152,46817,11628572.0,28571429.0
2006-02-27,372235,375902,370401,373152,51172,11628572.0,28571429.0
2006-02-28,376819,388738,376361,385071,195046,12000000.0,28571429.0
2006-03-02,378194,379569,375444,378195,87704,11785714.0,28571429.0
2006-03-03,378653,380945,369026,369485,57456,11514286.0,28571429.0
2006-03-06,368567,370860,368109,368568,54984,11485714.0,28571429.0
2006-03-07,368567,369484,360774,360775,62154,11242857.0,28571429.0
2006-03-08,360316,363525,358024,361233,34461,11257143.0,28571429.0
2006-03-09,360774,363983,359399,361233,23690,11257143.0,28571429.0
2006-03-10,358941,367651,358941,366734,29237,11428572.0,28571429.0
2006-03-13,365817,367192,363983,365817,27088,11400000.0,28571429.0
2006-03-14,363983,372693,363983,368568,49057,11485714.0,28571429.0
2006-03-15,368109,368109,360316,361233,45872,11257143.0,28571429.0
2006-03-16,361233,363525,358482,359400,31586,11200000.0,28571429.0
2006-03-17,358941,363066,357565,363067,25110,11501176.0,29043374.0
2006-03-20,358024,362608,358024,361233,20839,11443089.0,29043374.0
2006-03-21,362150,363983,361233,362150,35564,11472133.0,29043374.0
2006-03-22,358482,360316,357565,358024,15206,11341438.0,29043374.0
2006-03-23,358024,358482,349314,349314,56230,11065525.0,29043374.0
2006-03-24,349314,351606,346563,351148,24770,11123612.0,29043374.0
2006-03-27,351148,351606,346105,347022,38375,10992917.0,29043374.0
2006-03-28,344271,344271,340146,340146,42290,10775092.0,29043374.0
2006-03-29,339229,349772,339229,346105,24116,10963874.0,29043374.0
2006-03-30,349772,350231,347939,348398,29168,11036482.0,29043374.0
2006-03-31,350689,365817,349314,364901,135138,11559263.0,29043374.0
2006-04-03,364900,371776,363066,371777,70644,11777088.0,29043374.0
2006-04-04,369484,369484,362608,365359,81371,11573785.0,29043374.0
2006-04-05,365359,380945,364900,376819,111646,11936827.0,29043374.0
2006-04-06,376819,386446,376819,382321,142593,12111087.0,29043374.0
2006-04-07,375902,378194,374985,374986,92474,11878740.0,29043374.0
2006-04-10,379570,379570,370401,370402,54079,11733523.0,29043374.0
2006-04-11,367192,372693,367192,368568,49623,11675436.0,29043374.0
2006-04-12,366734,372235,366734,370402,45083,11733523.0,29043374.0
