SBS(034120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-05-14,21250.0,21250.0,21250.0,21250.0,0.0,431375.0,20300000.0
1999-05-17,23800.0,23800.0,23800.0,23800.0,0.0,483140.0,20300000.0
1999-05-18,26650.0,26650.0,26650.0,26650.0,0.0,540995.0,20300000.0
1999-05-19,29800.0,29800.0,29800.0,29800.0,0.0,604940.0,20300000.0
1999-05-20,33350.0,33350.0,33350.0,33350.0,0.0,677005.0,20300000.0
1999-05-21,37350.0,37350.0,37350.0,37350.0,0.0,758205.0,20300000.0
1999-05-24,41800.0,41800.0,41800.0,41800.0,0.0,848540.0,20300000.0
1999-05-25,46800.0,46800.0,44900.0,46800.0,310380.0,950040.0,20300000.0
1999-05-26,52400.0,52400.0,52400.0,52400.0,59179.0,1063720.0,20300000.0
1999-05-27,58600.0,58600.0,58600.0,58600.0,79835.0,1189580.0,20300000.0
1999-05-28,64900.0,65600.0,59100.0,64900.0,60290.0,1317470.0,20300000.0
1999-05-31,63000.0,63000.0,59000.0,61600.0,9991.0,1250480.0,20300000.0
1999-06-01,55000.0,56000.0,54300.0,54300.0,10471.0,1102290.0,20300000.0
1999-06-02,50200.0,55000.0,50200.0,52700.0,26241.0,1069810.0,20300000.0
1999-06-03,58000.0,58000.0,54100.0,56000.0,24132.0,1136800.0,20300000.0
1999-06-04,56000.0,57000.0,54500.0,55500.0,14917.0,1126650.0,20300000.0
1999-06-07,55000.0,62100.0,55000.0,62100.0,80959.0,1260630.0,20300000.0
1999-06-08,65000.0,66800.0,61000.0,63000.0,36615.0,1278900.0,20300000.0
1999-06-09,63000.0,63000.0,59500.0,61000.0,24234.0,1238300.0,20300000.0
1999-06-10,60100.0,64900.0,60100.0,62400.0,15846.0,1266720.0,20300000.0
1999-06-11,62400.0,62400.0,60000.0,61000.0,21495.0,1238300.0,20300000.0
1999-06-14,61000.0,61000.0,59000.0,59500.0,26245.0,1207850.0,20300000.0
1999-06-15,61000.0,61500.0,56300.0,58000.0,15811.0,1177400.0,20300000.0
1999-06-16,59800.0,63000.0,55700.0,61000.0,33429.0,1238300.0,20300000.0
1999-06-17,60100.0,60800.0,59000.0,59300.0,13635.0,1203790.0,20300000.0
1999-06-18,58000.0,60500.0,58000.0,60400.0,10738.0,1226120.0,20300000.0
1999-06-21,61000.0,62000.0,60500.0,61900.0,16887.0,1256570.0,20300000.0
1999-06-22,61800.0,61800.0,60000.0,61500.0,18879.0,1248450.0,20300000.0
1999-06-23,61400.0,61400.0,59100.0,59600.0,14996.0,1209880.0,20300000.0
1999-06-24,60000.0,60100.0,57900.0,58000.0,36867.0,1177400.0,20300000.0
