지투알(035000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-08-11,8487,8487,8487,8487,250,99898.0,2286000.0
1999-08-12,9750,9750,9750,9749,3350,114757.0,2286000.0
1999-08-13,11206,11206,11070,11206,1187100,131902.0,2286000.0
1999-08-16,11070,11537,10546,10546,861750,124130.0,2286000.0
1999-08-17,10488,10546,8992,9225,519100,108585.0,2286000.0
1999-08-18,8672,9186,8196,8759,347100,103099.0,2286000.0
1999-08-19,8546,10022,8546,9458,373100,111328.0,2286000.0
1999-08-20,9089,9420,9089,9128,148550,107442.0,2286000.0
1999-08-23,9089,9303,8934,9215,189900,108471.0,2286000.0
1999-08-24,9225,9381,8934,9108,227850,107213.0,2286000.0
1999-08-25,9303,9322,9012,9205,212550,108356.0,2286000.0
1999-08-26,9128,9148,8895,8895,164600,104699.0,2286000.0
1999-08-27,8876,8895,8565,8642,140250,101727.0,2286000.0
1999-08-30,8643,8827,8468,8477,112000,99784.0,2286000.0
1999-08-31,8254,8439,7963,8137,111200,95783.0,2286000.0
1999-09-01,8157,8817,8138,8293,171700,97612.0,2286000.0
1999-09-02,8157,8157,7808,7807,100700,91897.0,2286000.0
1999-09-03,7808,8157,7477,7807,92150,91897.0,2286000.0
1999-09-06,7740,8138,7740,8001,122050,94183.0,2286000.0
1999-09-07,7788,8254,7778,8157,118050,96012.0,2286000.0
1999-09-08,8448,8448,8060,8273,120200,97384.0,2286000.0
1999-09-09,8448,8448,8138,8351,103150,98298.0,2286000.0
1999-09-10,8118,8448,8118,8351,83000,98298.0,2286000.0
1999-09-13,8507,9070,8507,8778,161500,103327.0,2286000.0
1999-09-14,8934,9575,8895,9128,233250,107442.0,2286000.0
1999-09-15,9225,9322,8740,8817,82350,103784.0,2286000.0
1999-09-16,8817,9109,8740,8817,418900,103784.0,2286000.0
1999-09-17,8759,8817,8410,8730,59050,102756.0,2286000.0
1999-09-20,8448,8915,8448,8730,60550,102756.0,2286000.0
1999-09-21,8740,9002,8652,8739,77000,102870.0,2286000.0
1999-09-22,8944,9439,8934,9322,397900,109728.0,2286000.0
1999-09-27,9284,9313,8934,8992,88400,105842.0,2286000.0
1999-09-28,9031,9381,8934,9069,308850,106756.0,2286000.0
1999-09-29,9148,9196,8876,9079,105700,106870.0,2286000.0
1999-09-30,9322,9420,9089,9089,364200,106985.0,2286000.0
1999-10-01,8953,8973,7924,8157,273350,96012.0,2286000.0
1999-10-04,8060,8351,7788,7788,125000,91669.0,2286000.0
1999-10-05,7885,8157,7574,7574,94000,89154.0,2286000.0
1999-10-06,6992,7885,6992,7865,61400,92583.0,2286000.0
1999-10-07,7944,8060,7672,8060,86200,94869.0,2286000.0
1999-10-08,8157,8235,7798,8118,1101250,95555.0,2286000.0
1999-10-11,8235,8235,7885,7962,61000,93726.0,2286000.0
1999-10-12,8177,8448,8079,8409,164800,98984.0,2286000.0
1999-10-13,8351,8410,8196,8390,83450,98755.0,2286000.0
1999-10-14,8351,8643,8196,8545,104300,100584.0,2286000.0
1999-10-15,8623,8701,8351,8370,96400,98527.0,2286000.0
1999-10-18,7982,8254,7944,8001,81300,94183.0,2286000.0
1999-10-19,8138,8138,7827,7875,52450,92697.0,2286000.0
1999-10-20,8779,8817,8002,8079,59500,95098.0,2286000.0
1999-10-21,8157,8371,8157,8254,92450,97155.0,2286000.0
1999-10-22,8332,8351,8002,8060,75250,94869.0,2286000.0
1999-10-25,8254,8254,8060,8234,76900,96926.0,2286000.0
1999-10-26,8147,8157,7866,8021,59050,94412.0,2286000.0
1999-10-27,8021,8157,7963,8021,31150,94412.0,2286000.0
1999-10-28,8060,8351,7944,8254,59400,97155.0,2286000.0
1999-10-29,8293,8546,8293,8351,96350,98298.0,2286000.0
1999-11-01,8390,8526,8351,8438,86250,99327.0,2286000.0
1999-11-02,8546,8740,8468,8565,113900,100813.0,2286000.0
1999-11-03,8682,8934,8643,8934,181500,105156.0,2286000.0
1999-11-04,8837,9225,8837,9205,114800,108356.0,2286000.0
1999-11-05,9225,9517,8876,9419,190250,110871.0,2286000.0
1999-11-08,9167,9594,9167,9361,85200,110185.0,2286000.0
1999-11-09,9167,9439,9051,9419,68200,110871.0,2286000.0
1999-11-10,9390,9478,9070,9322,78400,109728.0,2286000.0
1999-11-11,9322,10294,9303,10196,229050,120015.0,2286000.0
1999-11-12,10294,11711,10099,10487,594650,123444.0,2286000.0
1999-11-15,10488,11206,10410,11012,263600,129616.0,2286000.0
1999-11-16,11206,12663,11090,12662,914700,149047.0,2286000.0
1999-11-17,13984,14547,13149,13148,795650,154762.0,2286000.0
1999-11-18,13013,13013,11265,12818,232800,150876.0,2286000.0
1999-11-19,12624,12993,12061,12429,155050,146304.0,2286000.0
