NH투자증권(005940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,13175,14542,13175,14140,3133040,707014.0,40171263.0
1999-01-05,14141,14622,13659,14462,2664020,723083.0,40171263.0
1999-01-06,14663,15025,14261,14301,1982560,715048.0,40171263.0
1999-01-07,15505,15586,14502,14702,2927850,735134.0,40171263.0
1999-01-08,14703,15748,14543,15185,2320100,759237.0,40171263.0
1999-01-11,15666,15666,14943,15425,1517930,771288.0,40171263.0
1999-01-12,15426,15426,14141,14341,1378720,717057.0,40171263.0
1999-01-13,14180,14462,13497,14060,1149890,702997.0,40171263.0
1999-01-14,13175,13658,12091,12533,1064080,626672.0,40171263.0
1999-01-15,12855,13296,12533,13096,1014630,654792.0,40171263.0
1999-01-18,13818,13899,12935,13015,755290,650774.0,40171263.0
1999-01-19,12855,13417,12212,13015,921040,650774.0,40171263.0
1999-01-20,13015,13175,12292,12292,578400,614620.0,40171263.0
1999-01-21,12052,12052,11168,11168,821730,558381.0,40171263.0
1999-01-22,10887,11811,10485,11248,1929310,562398.0,40171263.0
1999-01-25,11649,11649,10846,10846,932280,542312.0,40171263.0
1999-01-26,11248,11409,10123,10204,1135630,510175.0,40171263.0
1999-01-27,10284,11650,9803,11168,1669970,558381.0,40171263.0
1999-01-28,11087,11409,10685,10766,973540,538295.0,40171263.0
1999-01-29,10565,11328,10565,10927,767470,546329.0,40171263.0
1999-02-01,10926,11770,10805,11730,1524840,586500.0,40171263.0
1999-02-02,11730,11730,11088,11409,913360,570432.0,40171263.0
1999-02-03,11248,11248,10765,10886,463730,544321.0,40171263.0
1999-02-04,10846,11167,10685,10967,378600,548338.0,40171263.0
1999-02-05,10846,11569,10765,10927,835500,546329.0,40171263.0
1999-02-08,11087,11569,10926,11007,1016110,550346.0,40171263.0
1999-02-09,10926,11087,10685,10846,611950,542312.0,40171263.0
1999-02-10,10847,11209,10726,11168,613500,558381.0,40171263.0
1999-02-11,10927,11529,10927,11248,599070,562398.0,40171263.0
1999-02-12,11410,12293,11410,11971,1708120,598552.0,40171263.0
1999-02-18,12212,12251,11649,11650,1586930,582483.0,40171263.0
1999-02-19,11409,11409,10765,11007,951790,550346.0,40171263.0
1999-02-22,10921,10964,10234,10233,473940,478038.0,40171263.0
1999-02-23,10320,10577,9975,10233,608670,478038.0,40171263.0
1999-02-24,10234,10491,9890,9889,296840,461970.0,40171263.0
1999-02-25,9544,9846,9287,9545,759320,445901.0,40171263.0
1999-02-26,9545,9890,9460,9846,668380,541989.0,47335306.0
1999-03-02,9890,10448,9890,10319,1300090,596039.0,49669917.0
1999-03-03,10277,10707,10104,10319,874470,596039.0,49669917.0
1999-03-04,10319,10404,10060,10104,425400,583622.0,49669917.0
1999-03-05,9889,10190,9889,10061,486380,581138.0,49669917.0
1999-03-08,10664,11567,10491,11566,1455770,668060.0,49669917.0
1999-03-09,12040,12340,11695,12039,2362620,695379.0,49669917.0
1999-03-10,11780,12210,11609,12211,1053860,705313.0,49669917.0
1999-03-11,12297,13501,12211,13329,2510150,769884.0,49669917.0
1999-03-12,13586,13673,13027,13371,1907010,772367.0,49669917.0
1999-03-15,13760,13974,13330,13329,1511050,769884.0,49669917.0
1999-03-16,13070,13500,12984,13501,1089660,779818.0,49669917.0
1999-03-17,13844,14189,13500,13501,2762290,779818.0,49669917.0
1999-03-18,13330,13674,12297,12297,1281990,710280.0,49669917.0
1999-03-19,12641,12900,12297,12899,1212250,745049.0,49669917.0
1999-03-22,13157,13287,12727,12727,1068190,735115.0,49669917.0
1999-03-23,12727,12985,12555,12899,475630,745049.0,49669917.0
1999-03-24,12899,12899,12554,12641,561670,730148.0,49669917.0
1999-03-25,12469,12941,12469,12641,632750,733098.0,49870583.0
1999-03-26,12726,13027,12511,12984,1294760,753046.0,49870583.0
1999-03-29,12726,12899,12210,12211,1032270,708162.0,49870583.0
1999-03-30,12654,12743,12300,12521,625060,705669.0,49870583.0
1999-03-31,12565,12963,12387,12432,611700,702789.0,50020583.0
1999-04-01,12387,14157,12387,13980,2768750,790325.0,50020583.0
1999-04-02,14246,14689,14070,14069,2724980,795327.0,50020583.0
1999-04-06,14512,15751,14512,15397,3024040,870358.0,50020583.0
1999-04-07,15396,15927,14777,15042,2564710,850350.0,50020583.0
1999-04-08,15043,15707,14644,15662,1986280,885364.0,50020583.0
1999-04-09,15928,16282,15352,15839,2479090,895368.0,50020583.0
1999-04-12,16282,16370,15573,16104,1754360,910375.0,50020583.0
1999-04-13,15617,16369,15572,15750,1798330,890366.0,50020583.0
1999-04-14,15572,16104,15440,15529,2380070,1176211.0,67020583.0
1999-04-15,16105,17831,16105,17830,5505190,1350465.0,67020583.0
1999-04-16,18715,19600,17963,19157,6988870,1450996.0,67020583.0
1999-04-19,19909,20174,19024,20174,4348880,1528069.0,67020583.0
1999-04-20,20174,21413,19554,20617,4524170,1561580.0,67020583.0
1999-04-21,20528,22077,20086,20794,5032770,1574984.0,67020583.0
1999-04-22,20793,21236,19024,20440,4096730,1548175.0,67020583.0
1999-04-23,20793,22784,19997,22386,6823070,1695621.0,67020583.0
1999-04-26,24333,25704,23448,25705,4405580,1951325.0,67171249.0
1999-04-27,28580,29199,26103,27873,6700860,2115894.0,67171249.0
1999-04-28,26988,29112,26546,27607,4167000,2095743.0,67171249.0
1999-04-29,26987,27342,24333,24864,3128620,1891727.0,67321249.0
1999-04-30,24952,26810,24068,26545,4537840,2019637.0,67321249.0
1999-05-03,26546,27210,24953,25572,2197540,1945584.0,67321249.0
1999-05-04,25660,27342,25306,26368,3552890,2006173.0,67321249.0
1999-05-06,26810,27253,26280,26988,2885350,2053298.0,67321249.0
1999-05-07,27784,28315,26810,27430,3306460,2086959.0,67321249.0
1999-05-10,27165,27387,26546,26723,1874200,2033102.0,67321249.0
1999-05-11,25926,27608,24864,25572,2441290,1945584.0,67321249.0
1999-05-12,25219,26103,24599,25174,1757460,1915290.0,67321249.0
1999-05-13,24775,25040,23006,23094,1758050,1761000.0,67471249.0
1999-05-14,23448,23802,22165,22873,1813710,1744132.0,67471249.0
1999-05-17,22872,23581,22475,23094,2293510,1761000.0,67471249.0
1999-05-18,23271,23713,22386,23448,1397780,1787988.0,67471249.0
1999-05-19,23625,24289,23094,23271,1765690,1774494.0,67471249.0
1999-05-20,23007,23272,19821,19821,6562880,1511356.0,67471249.0
1999-05-21,17785,18493,16856,16856,8672460,1285327.0,67471249.0
1999-05-24,17167,17255,15573,16282,4516030,1241471.0,67471249.0
1999-05-25,16457,17121,16325,16458,2987950,1254965.0,67471249.0
1999-05-26,16192,17077,16192,17033,2260190,1298822.0,67471249.0
1999-05-27,17254,18493,17166,17564,4437410,1339304.0,67471249.0
1999-05-28,18139,18316,16192,17697,3575360,1349425.0,67471249.0
1999-05-31,17786,18096,16990,17166,1858910,1308942.0,67471249.0
1999-06-01,17077,17254,16502,16900,1334250,1288701.0,67471249.0
1999-06-02,16990,19423,16812,19423,3848940,1480994.0,67471249.0
1999-06-03,20307,20705,18669,19467,6346480,1484367.0,67471249.0
1999-06-04,19643,19997,18980,19112,2760470,1457379.0,67471249.0
1999-06-07,19157,20882,18803,19909,5768770,1518103.0,67471249.0
1999-06-08,20264,20794,19821,20529,3741960,1565333.0,67471249.0
1999-06-09,20351,21148,18581,18582,3085870,1416896.0,67471249.0
1999-06-10,18669,19997,18227,19997,2208350,1524850.0,67471249.0
