일성신약(003120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,8700,9000,8700,8900,62200,23674.0,2660000.0
1999-01-05,9150,9850,9000,9150,47720,24339.0,2660000.0
1999-01-06,8800,9650,8800,9460,48880,25164.0,2660000.0
1999-01-07,9900,9900,9100,9300,71030,24738.0,2660000.0
1999-01-08,9500,9500,9100,9200,38020,24472.0,2660000.0
1999-01-11,9790,10550,9500,10550,269260,28063.0,2660000.0
1999-01-12,11000,11500,10200,10700,344480,28462.0,2660000.0
1999-01-13,11500,11500,10800,11050,200480,29393.0,2660000.0
1999-01-14,11050,11050,9500,9600,122590,25536.0,2660000.0
1999-01-15,9550,10650,9400,10650,131280,28329.0,2660000.0
1999-01-18,10950,11600,10700,11000,242660,29260.0,2660000.0
1999-01-19,10750,10900,10200,10300,82980,27398.0,2660000.0
1999-01-20,10500,11300,10050,10200,161880,27132.0,2660000.0
1999-01-21,10000,10300,9000,9300,89800,24738.0,2660000.0
1999-01-22,9200,9200,8500,8900,52450,23674.0,2660000.0
1999-01-25,8600,8800,8000,8000,48120,21280.0,2660000.0
1999-01-26,8100,8400,7600,7600,57290,20216.0,2660000.0
1999-01-27,7500,7900,7300,7700,57520,20482.0,2660000.0
1999-01-28,8000,8490,8000,8200,63250,21812.0,2660000.0
1999-01-29,8200,8400,7880,8190,41250,21785.0,2660000.0
1999-02-01,8100,8400,8100,8400,49110,22344.0,2660000.0
1999-02-02,8410,9000,8150,8300,74900,22078.0,2660000.0
1999-02-03,8000,8400,7900,8250,38310,21945.0,2660000.0
1999-02-04,8250,8450,7900,8010,31480,21307.0,2660000.0
1999-02-05,7910,8390,7800,8030,20500,21360.0,2660000.0
1999-02-08,7900,8240,7800,7800,23380,20748.0,2660000.0
1999-02-09,7950,7950,7000,7200,27700,19152.0,2660000.0
1999-02-10,7200,7500,7000,7300,25380,19418.0,2660000.0
1999-02-11,7200,7600,7100,7380,42400,19631.0,2660000.0
1999-02-12,7380,7800,7300,7600,45000,20216.0,2660000.0
1999-02-18,7800,7800,7400,7400,26840,19684.0,2660000.0
1999-02-19,7200,7200,6850,7010,29610,18647.0,2660000.0
1999-02-22,7090,7090,6700,6750,25440,17955.0,2660000.0
1999-02-23,6850,6900,6580,6800,30130,18088.0,2660000.0
1999-02-24,6500,6850,6500,6630,25100,17636.0,2660000.0
1999-02-25,6500,6700,6310,6310,25440,16785.0,2660000.0
1999-02-26,6350,6690,6350,6560,23240,17450.0,2660000.0
1999-03-02,6960,7100,6850,6980,41070,18567.0,2660000.0
1999-03-03,7000,7170,6750,6800,25820,18088.0,2660000.0
1999-03-04,6810,6990,6800,6900,17810,18354.0,2660000.0
1999-03-05,6700,7150,6400,6850,61490,18221.0,2660000.0
1999-03-08,7050,7300,7000,7300,54960,19418.0,2660000.0
1999-03-09,7400,7700,7200,7300,42330,19418.0,2660000.0
1999-03-10,7100,7300,7000,7240,24730,19258.0,2660000.0
1999-03-11,7400,7500,7000,7450,34530,19817.0,2660000.0
1999-03-12,7600,7880,7560,7600,47580,20216.0,2660000.0
1999-03-15,7800,7900,7400,7420,42170,19737.0,2660000.0
1999-03-16,7420,7600,7300,7450,49390,19817.0,2660000.0
1999-03-17,7600,7600,7320,7400,30370,19684.0,2660000.0
1999-03-18,7200,7480,7020,7020,31530,18673.0,2660000.0
1999-03-19,7120,7200,7020,7100,28220,18886.0,2660000.0
1999-03-22,7400,7400,7100,7100,24860,18886.0,2660000.0
1999-03-23,7100,7300,7000,7200,25960,19152.0,2660000.0
1999-03-24,6610,7250,6610,7090,43070,18859.0,2660000.0
1999-03-25,7000,7300,7000,7200,39160,19152.0,2660000.0
1999-03-26,7400,7400,7060,7300,35520,19418.0,2660000.0
1999-03-29,7280,7280,7000,7010,22190,18647.0,2660000.0
1999-03-30,7100,7400,7000,7200,29950,19152.0,2660000.0
1999-03-31,7230,8000,7130,7540,68270,20056.0,2660000.0
1999-04-01,7690,7720,7360,7550,49830,20083.0,2660000.0
1999-04-02,7600,7700,7320,7400,47800,19684.0,2660000.0
1999-04-06,7400,7600,7310,7600,62430,20216.0,2660000.0
1999-04-07,7750,8400,7700,8100,131220,21546.0,2660000.0
1999-04-08,8300,8320,7850,8310,108630,22105.0,2660000.0
1999-04-09,8290,8300,8060,8100,57160,21546.0,2660000.0
1999-04-12,8800,9210,8450,8910,203210,23701.0,2660000.0
1999-04-13,8910,9310,8800,8920,101100,23727.0,2660000.0
1999-04-14,8800,9400,8800,8850,81770,23541.0,2660000.0
1999-04-15,8950,9350,8850,8910,170740,23701.0,2660000.0
1999-04-16,8950,9200,8510,8800,80920,23408.0,2660000.0
1999-04-19,8500,9300,8410,8900,151440,23674.0,2660000.0
1999-04-20,8710,9300,8710,9110,96900,24233.0,2660000.0
1999-04-21,9200,9900,9100,9260,125860,24632.0,2660000.0
1999-04-22,9200,9260,8750,9100,55130,24206.0,2660000.0
1999-04-23,9300,9300,9000,9100,95140,24206.0,2660000.0
1999-04-26,9010,9200,8820,9060,66760,24100.0,2660000.0
1999-04-27,9060,9150,8850,8900,74650,23674.0,2660000.0
1999-04-28,9000,9450,8900,9100,156330,24206.0,2660000.0
1999-04-29,9500,10450,9500,10450,343020,27797.0,2660000.0
