SKC(011790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,10350,10350,9050,9200,213250,145360.0,15800000.0
1999-01-05,9290,9550,8800,9500,278720,150100.0,15800000.0
1999-01-06,9500,10450,9500,10400,185860,164320.0,15800000.0
1999-01-07,11950,11950,10900,10900,375990,172220.0,15800000.0
1999-01-08,10900,12000,10300,11300,208050,178540.0,15800000.0
1999-01-11,11900,11900,11000,11300,148430,178540.0,15800000.0
1999-01-12,11500,11500,10300,10800,122210,170640.0,15800000.0
1999-01-13,10800,11300,10600,10800,176790,170640.0,15800000.0
1999-01-14,10300,10400,9500,9700,103660,153260.0,15800000.0
1999-01-15,9500,10400,9400,10400,109320,164320.0,15800000.0
1999-01-18,10900,11900,10500,11400,288480,180120.0,15800000.0
1999-01-19,11400,11800,11100,11300,210980,178540.0,15800000.0
1999-01-20,11300,11400,10600,10600,96540,167480.0,15800000.0
1999-01-21,10600,10600,10000,10400,132420,164320.0,15800000.0
1999-01-22,10100,11400,10100,10700,280980,169060.0,15800000.0
1999-01-25,10900,10900,10300,10500,125550,165900.0,15800000.0
1999-01-26,10550,10700,9950,9950,97440,157210.0,15800000.0
1999-01-27,9850,10200,9150,9800,170510,154840.0,15800000.0
1999-01-28,9800,10100,9700,9750,91100,154050.0,15800000.0
1999-01-29,9800,9900,9600,9700,77620,153260.0,15800000.0
1999-02-01,9810,10300,9600,10100,101600,159580.0,15800000.0
1999-02-02,10000,10100,9700,9900,56520,156420.0,15800000.0
1999-02-03,9800,9800,9500,9600,54170,151680.0,15800000.0
1999-02-04,9700,9700,9150,9700,48030,153260.0,15800000.0
1999-02-05,9900,10050,9520,9550,59530,150890.0,15800000.0
1999-02-08,9750,10100,9600,9600,86480,151680.0,15800000.0
1999-02-09,9600,9800,8610,9100,104690,143780.0,15800000.0
1999-02-10,9100,9100,8620,8800,75370,139040.0,15800000.0
1999-02-11,8900,8950,8400,8600,143890,135880.0,15800000.0
1999-02-12,8700,8700,8460,8610,174040,136038.0,15800000.0
1999-02-18,8790,8840,8510,8600,122680,135880.0,15800000.0
1999-02-19,8700,9200,8550,8960,463920,141568.0,15800000.0
1999-02-22,9020,9360,8650,8790,141310,138882.0,15800000.0
1999-02-23,8800,9010,8300,8350,100460,131930.0,15800000.0
1999-02-24,8000,8450,8000,8150,89750,128770.0,15800000.0
1999-02-25,8110,8450,8040,8100,74190,127980.0,15800000.0
1999-02-26,8100,8400,8100,8200,39580,129560.0,15800000.0
1999-03-02,8200,8600,8200,8520,97300,134616.0,15800000.0
1999-03-03,8520,8680,8310,8350,61740,131930.0,15800000.0
1999-03-04,8300,8590,8300,8410,37980,132878.0,15800000.0
1999-03-05,8350,8550,8210,8370,23120,132246.0,15800000.0
1999-03-08,8400,9200,8400,8700,135300,137460.0,15800000.0
1999-03-09,8950,9020,8610,8610,143960,136038.0,15800000.0
1999-03-10,8650,8750,8460,8750,74330,138250.0,15800000.0
1999-03-11,9500,9500,8800,9150,168980,144570.0,15800000.0
1999-03-12,9040,9250,8950,9190,70440,145202.0,15800000.0
1999-03-15,9500,10000,9350,10000,405800,158000.0,15800000.0
1999-03-16,9900,10350,9700,10300,298290,162740.0,15800000.0
1999-03-17,10500,10700,9500,9700,354490,153260.0,15800000.0
1999-03-18,9460,9700,9200,9300,163510,146940.0,15800000.0
1999-03-19,9360,9480,9200,9350,81670,147730.0,15800000.0
1999-03-22,9250,9650,9250,9400,106730,148520.0,15800000.0
1999-03-23,9400,9410,9160,9400,97580,148520.0,15800000.0
1999-03-24,9400,9500,9110,9300,104500,146940.0,15800000.0
1999-03-25,9300,9920,9300,9770,286620,154366.0,15800000.0
1999-03-26,9800,10000,9520,9540,111440,150732.0,15800000.0
1999-03-29,9470,9470,9270,9270,62040,146466.0,15800000.0
1999-03-30,9200,9470,9200,9440,82910,149152.0,15800000.0
1999-03-31,9460,9590,9260,9490,105050,149942.0,15800000.0
1999-04-01,9700,10250,9700,10000,353180,158000.0,15800000.0
1999-04-02,10250,10800,10150,10450,430390,165110.0,15800000.0
1999-04-06,10450,10800,10350,10600,255500,167480.0,15800000.0
1999-04-07,10800,12000,10750,10900,604310,172220.0,15800000.0
1999-04-08,11400,11500,10500,10800,271640,170640.0,15800000.0
1999-04-09,10900,11100,10400,10500,225100,165900.0,15800000.0
1999-04-12,10300,10500,10100,10200,167270,161160.0,15800000.0
1999-04-13,10200,10700,10100,10500,132520,165900.0,15800000.0
1999-04-14,10300,10700,10300,10500,163840,165900.0,15800000.0
1999-04-15,10550,11500,10550,11450,527830,180910.0,15800000.0
1999-04-16,11400,11400,10600,10900,324560,172220.0,15800000.0
1999-04-19,10900,11350,10900,11100,363040,175380.0,15800000.0
1999-04-20,11100,11200,10700,10850,193380,171430.0,15800000.0
1999-04-21,10900,11200,10800,10900,224390,172220.0,15800000.0
1999-04-22,10900,10900,10500,10750,170600,169850.0,15800000.0
1999-04-23,10850,11200,10550,10850,164990,171430.0,15800000.0
1999-04-26,11100,11800,11050,11700,406910,184860.0,15800000.0
1999-04-27,12100,13200,11350,13200,753380,208560.0,15800000.0
1999-04-28,13000,13100,12500,12750,424030,201450.0,15800000.0
1999-04-29,12600,13500,12300,12300,428770,194340.0,15800000.0
1999-04-30,12500,12600,11600,11750,215510,185650.0,15800000.0
1999-05-03,12100,12600,11800,12300,250220,194340.0,15800000.0
1999-05-04,12000,12500,12000,12400,195180,195920.0,15800000.0
1999-05-06,12500,13700,12500,13400,577810,211720.0,15800000.0
1999-05-07,13600,13800,13100,13600,471510,214880.0,15800000.0
1999-05-10,13200,14200,13200,14000,393550,221200.0,15800000.0
1999-05-11,14000,14100,13500,13900,253200,219620.0,15800000.0
1999-05-12,14300,14500,13300,13600,364260,214880.0,15800000.0
1999-05-13,13600,13600,12800,13350,318070,210930.0,15800000.0
1999-05-14,13400,13500,12650,12900,155460,203820.0,15800000.0
1999-05-17,12400,12800,12000,12000,83570,189600.0,15800000.0
1999-05-18,11800,12300,11550,11850,100010,187230.0,15800000.0
1999-05-19,11900,12250,11700,11900,89610,188020.0,15800000.0
1999-05-20,11800,12300,11500,11800,205150,186440.0,15800000.0
1999-05-21,11500,12000,11500,12000,54370,189600.0,15800000.0
1999-05-24,11700,12000,11500,11700,44460,184860.0,15800000.0
1999-05-25,11600,11950,11500,11700,106190,184860.0,15800000.0
1999-05-26,11800,12300,11800,12000,65000,189600.0,15800000.0
1999-05-27,12300,12300,11950,12000,70800,189600.0,15800000.0
1999-05-28,12100,12700,12050,12300,98470,194340.0,15800000.0
1999-05-31,12700,12900,12300,12300,175280,194340.0,15800000.0
1999-06-01,12300,12600,12000,12400,36750,195920.0,15800000.0
1999-06-02,12500,13300,12250,13200,328880,208560.0,15800000.0
1999-06-03,13200,13400,12500,12600,164320,199080.0,15800000.0
1999-06-04,12400,12950,12100,12300,133450,194340.0,15800000.0
1999-06-07,13100,13200,12600,12950,274510,204610.0,15800000.0
1999-06-08,12950,12950,12350,12600,307810,199080.0,15800000.0
1999-06-09,12800,13200,12200,12200,336740,192760.0,15800000.0
1999-06-10,12800,13200,12300,13200,410440,208560.0,15800000.0
1999-06-11,13150,14200,12900,13800,719390,218040.0,15800000.0
1999-06-14,13900,14100,13400,13600,219580,214880.0,15800000.0
