한국전력공사(015760),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,30000,32800,30000,30000,1306220,18846557.0,628218561.0
1999-01-05,31000,33250,30700,33000,1984380,20731213.0,628218561.0
1999-01-06,33000,33500,32000,33100,1713450,20794034.0,628218561.0
1999-01-07,33650,36500,32100,36500,2320770,22929977.0,628218561.0
1999-01-08,35900,36350,33000,33500,1543210,21045322.0,628218561.0
1999-01-11,33200,33950,32400,33000,839540,20731254.0,628219813.0
1999-01-12,33800,33800,31100,31500,1438710,19788924.0,628219813.0
1999-01-13,32000,32000,30850,31600,1165410,19851746.0,628219813.0
1999-01-14,31000,31300,29700,30300,1443600,19035060.0,628219813.0
1999-01-15,30300,31500,30050,30550,1115570,19192115.0,628219813.0
1999-01-18,31000,31800,30700,31700,706230,19914568.0,628219813.0
1999-01-19,31300,34000,30700,32500,953490,20417144.0,628219813.0
1999-01-20,33900,34500,32800,34150,2053120,21453707.0,628219813.0
1999-01-21,32400,34000,31500,32500,962690,20417972.0,628245285.0
1999-01-22,32000,32300,30000,30000,1045380,18847359.0,628245285.0
1999-01-25,30500,30800,28300,29500,1235240,18533236.0,628245285.0
1999-01-26,30900,31950,30100,30900,1245300,19412779.0,628245285.0
1999-01-27,32000,33500,31500,33500,1253790,21046217.0,628245285.0
1999-01-28,32700,33950,32700,33550,1352870,21077629.0,628245285.0
1999-01-29,33550,33550,32100,32350,834160,20323754.0,628245859.0
1999-02-01,32300,33000,32000,32900,657430,20669289.0,628245859.0
1999-02-02,32000,32500,31000,31450,874170,19758332.0,628245859.0
1999-02-03,30900,30900,30200,30500,1028430,19161499.0,628245859.0
1999-02-04,30700,30900,29700,29850,1204810,18753139.0,628245859.0
1999-02-05,29900,30150,29100,29200,1502660,18344779.0,628245859.0
1999-02-08,29400,29750,28800,29200,897210,18344779.0,628245859.0
1999-02-09,29000,29100,28100,28200,1276820,17716866.0,628257677.0
1999-02-10,27700,28200,26800,28100,1785990,17654041.0,628257677.0
1999-02-11,28200,28600,27750,27750,767110,17434151.0,628257677.0
1999-02-12,28200,30000,28150,30000,927560,18847730.0,628257677.0
