코오롱인더(120110),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-02-01,46478,47881,40587,43112,1212477,771031.0,16725190.0
2010-02-02,43953,44982,40212,41008,543547,733400.0,16725190.0
2010-02-03,42083,44888,40587,42878,486500,766850.0,16725190.0
2010-02-04,42831,44327,41615,42785,356454,765177.0,16725190.0
2010-02-05,40727,41522,40400,41055,299920,734236.0,16725190.0
2010-02-08,42083,43766,41849,43346,512594,775213.0,16725190.0
2010-02-09,43018,43299,40493,43019,426073,769359.0,16725190.0
2010-02-10,43579,43579,41475,41475,258670,741762.0,16725190.0
2010-02-11,41007,41989,40867,41475,169212,741762.0,16725190.0
2010-02-12,41522,43205,41148,42972,224215,768522.0,16725190.0
2010-02-16,42971,42971,41989,42551,134349,760996.0,16725190.0
2010-02-17,42550,43673,42363,42785,187192,765177.0,16725190.0
2010-02-18,43018,43158,41802,41990,137887,750961.0,16725190.0
2010-02-19,41756,41756,39698,40026,331924,715838.0,16725190.0
2010-02-22,40306,40914,39932,40774,150204,729218.0,16725190.0
2010-02-23,40493,41101,40166,40681,99060,727546.0,16725190.0
2010-02-24,40400,40400,39184,39278,192870,702458.0,16725190.0
2010-02-25,39698,39838,38436,39138,199438,699949.0,16725190.0
2010-02-26,39090,40727,38903,40447,91437,723364.0,16725190.0
2010-03-02,40493,40680,39605,40306,94275,720856.0,16725190.0
2010-03-03,39932,40306,39277,39465,110222,705803.0,16725190.0
2010-03-04,39558,40306,39277,39652,95505,709148.0,16725190.0
2010-03-05,39745,40119,39418,40026,94565,715838.0,16725190.0
2010-03-08,40400,40774,39792,40634,166393,726710.0,16725190.0
2010-03-09,40400,40633,39979,39979,87643,715002.0,16725190.0
2010-03-10,40025,40259,39418,39745,140898,710821.0,16725190.0
2010-03-11,39745,40540,39651,40494,167599,724201.0,16725190.0
2010-03-12,40680,42270,40493,42083,377052,752634.0,16725190.0
2010-03-15,42644,43252,42083,42317,317725,756815.0,16725190.0
2010-03-16,42691,42691,41756,42411,120771,758487.0,16725190.0
2010-03-17,42597,43766,42130,43299,330807,774376.0,16725190.0
2010-03-18,43205,43953,42925,43486,135414,777721.0,16725190.0
2010-03-19,43299,43860,42784,43393,128573,776049.0,16725190.0
2010-03-22,43252,43299,42363,42504,84258,760160.0,16725190.0
2010-03-23,42550,44374,42317,44375,236274,793610.0,16725190.0
2010-03-24,44608,44935,44047,44375,143177,793610.0,16725190.0
2010-03-25,44327,44888,43626,44889,131836,802809.0,16725190.0
2010-03-26,44701,44701,43953,43954,100741,786084.0,16725190.0
2010-03-29,43673,44140,42550,42644,152576,762669.0,16725190.0
2010-03-30,42925,43486,42270,43019,147540,769359.0,16725190.0
2010-03-31,42691,43439,42317,43393,189277,776049.0,16725190.0
2010-04-01,43392,43486,42784,42878,168185,766850.0,16725190.0
2010-04-02,42878,42878,40446,40914,277289,731727.0,16725190.0
2010-04-05,41148,41241,39792,40681,684270,727546.0,16725190.0
2010-04-06,40680,41943,40680,41896,132417,749289.0,16725190.0
2010-04-07,41896,42223,41709,42083,76449,752634.0,16725190.0
2010-04-08,41756,42083,41428,42083,58071,752634.0,16725190.0
2010-04-09,41709,42083,40961,41756,54249,746780.0,16725190.0
2010-04-12,41522,41896,40400,40681,92646,727546.0,16725190.0
2010-04-13,40867,40961,40072,40961,88120,732563.0,16725190.0
2010-04-14,40727,41194,40446,40494,101261,724201.0,16725190.0
2010-04-15,40867,41475,40493,41008,95200,733400.0,16725190.0
2010-04-16,40867,41428,40587,40774,75413,729218.0,16725190.0
2010-04-19,40212,40212,39605,40213,94948,719183.0,16725190.0
2010-04-20,40119,41615,39979,41522,115224,742598.0,16725190.0
2010-04-21,41615,42550,41615,42083,171996,752634.0,16725190.0
2010-04-22,41662,42925,41475,42738,126241,764341.0,16725190.0
2010-04-23,42737,44234,42270,44047,240872,787756.0,16725190.0
2010-04-26,44468,45356,43813,44141,230109,789429.0,16725190.0
2010-04-27,44421,44748,43906,44702,133373,799464.0,16725190.0
2010-04-28,43486,45824,43018,45123,206767,806990.0,16725190.0
2010-04-29,45637,46946,44795,46666,429923,834587.0,16725190.0
2010-04-30,46759,47320,45917,46759,185625,836260.0,16725190.0
2010-05-03,46385,47881,45356,46105,202594,824552.0,16725190.0
2010-05-04,46712,48723,46525,48536,303463,868037.0,16725190.0
2010-05-06,47320,49471,47226,49284,275954,881418.0,16725190.0
2010-05-07,47694,49190,47226,48536,254557,868037.0,16725190.0
