농심홀딩스(072710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-07-30,56300,56300,47900,47900,5380,87592.0,1828642.0
2003-07-31,40750,40750,40750,40750,12865,74517.0,1828642.0
2003-08-01,34650,35600,34650,34650,1155936,63362.0,1828642.0
2003-08-04,34650,36250,34300,34750,307712,63545.0,1828642.0
2003-08-05,35500,35800,33500,34500,221128,63088.0,1828642.0
2003-08-06,34500,35350,34400,34500,116783,63088.0,1828642.0
2003-08-07,34500,35050,34500,34500,89483,63088.0,1828642.0
2003-08-08,34900,39000,34750,35800,227729,65465.0,1828642.0
2003-08-11,35500,36000,34500,34600,98349,63271.0,1828642.0
2003-08-12,34700,34950,33700,34500,107635,63088.0,1828642.0
2003-08-13,34600,35400,34450,34550,91621,63180.0,1828642.0
2003-08-14,34600,35350,34450,34550,75388,63180.0,1828642.0
2003-08-18,34600,34800,34450,34500,55272,63088.0,1828642.0
2003-08-19,34700,35400,34500,34500,53078,63088.0,1828642.0
2003-08-20,34800,34900,34500,34500,50898,63088.0,1828642.0
2003-08-21,34500,35150,34500,34500,68835,63088.0,1828642.0
2003-08-22,34600,34800,34450,34500,41563,63088.0,1828642.0
2003-08-25,34650,34900,34600,34650,20720,63362.0,1828642.0
2003-08-26,34700,34800,34500,34500,60741,63088.0,1828642.0
2003-08-27,34550,34750,34350,34500,42440,63088.0,1828642.0
2003-08-28,34500,34750,34500,34600,17478,63271.0,1828642.0
2003-08-29,34750,37900,34650,36700,108234,67111.0,1828642.0
2003-09-01,37000,41450,36700,40500,99214,74060.0,1828642.0
2003-09-02,41500,41950,39200,39400,46578,72048.0,1828642.0
2003-09-03,39350,39900,36500,36550,74250,66837.0,1828642.0
2003-09-04,36550,37850,35650,35650,58736,65191.0,1828642.0
2003-09-05,35700,36700,35050,35200,62461,64368.0,1828642.0
2003-09-08,34850,35500,34750,35000,38635,64002.0,1828642.0
2003-09-09,35100,35500,34950,35150,38502,64277.0,1828642.0
2003-09-15,35600,36550,35350,36550,42783,66837.0,1828642.0
2003-09-16,36600,37000,35800,36450,26191,66654.0,1828642.0
2003-09-17,36800,36800,35200,35200,16948,64368.0,1828642.0
2003-09-18,35500,36000,35200,35400,22791,64734.0,1828642.0
2003-09-19,35250,35650,35050,35200,19016,64368.0,1828642.0
2003-09-22,35300,35300,33200,33200,23122,60711.0,1828642.0
2003-09-23,32700,33500,31500,33500,24437,61260.0,1828642.0
2003-09-24,33500,33900,33300,33400,5580,61077.0,1828642.0
2003-09-25,32600,33000,32100,32200,13353,58882.0,1828642.0
2003-09-26,31500,32200,31050,31200,19500,57054.0,1828642.0
2003-09-29,30900,33250,30700,31200,14680,57054.0,1828642.0
2003-09-30,31300,31600,31300,31600,11450,57785.0,1828642.0
2003-10-01,30800,31850,30800,31700,8010,57968.0,1828642.0
2003-10-02,31550,32550,31550,31700,38797,57968.0,1828642.0
2003-10-06,31700,31950,31300,31700,75412,57968.0,1828642.0
2003-10-07,32300,32300,31450,31700,44638,57968.0,1828642.0
2003-10-08,31450,32550,31200,32450,62939,59339.0,1828642.0
2003-10-09,32400,32700,32000,32450,27502,59339.0,1828642.0
2003-10-10,32250,33400,32250,33400,17360,61077.0,1828642.0
2003-10-13,32800,33700,31500,31500,48570,57602.0,1828642.0
2003-10-14,32100,32500,31200,31300,31346,57236.0,1828642.0
2003-10-15,31850,32000,31300,31300,20795,57236.0,1828642.0
2003-10-16,31950,32000,31200,31350,32913,57328.0,1828642.0
2003-10-17,31350,31650,31250,31350,19024,57328.0,1828642.0
2003-10-20,31050,31350,30900,30900,29512,56505.0,1828642.0
2003-10-21,31000,31300,30000,30000,32609,54859.0,1828642.0
2003-10-22,30450,30450,29050,29450,21902,53854.0,1828642.0
2003-10-23,28750,31950,28750,29900,39901,107064.0,3580745.0
2003-10-24,29750,30900,29750,30300,12653,108497.0,3580745.0
2003-10-27,30400,30850,30250,30400,11880,108855.0,3580745.0
2003-10-28,30400,30650,30400,30650,8061,109750.0,3580745.0
2003-10-29,30650,30850,30250,30600,16122,109571.0,3580745.0
2003-10-30,30500,30600,30000,30400,10060,108855.0,3580745.0
2003-10-31,30050,30300,29900,30100,17208,107780.0,3580745.0
2003-11-03,29750,30100,29700,29800,15638,106706.0,3580745.0
2003-11-04,30000,30550,29800,30500,40851,109213.0,3580745.0
2003-11-05,30250,33100,30250,32300,81987,115658.0,3580745.0
2003-11-06,32600,33600,31600,31650,26952,113331.0,3580745.0
2003-11-07,32500,32500,31250,31500,21210,112793.0,3580745.0
2003-11-10,31000,31300,30600,30800,20250,110287.0,3580745.0
2003-11-11,30500,31050,30400,30900,1980,110645.0,3580745.0
2003-11-12,30700,31300,30700,30800,7770,110287.0,3580745.0
