일동제약(249420),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-08-31,23818,24927,20099,20101,2026127,453269.0,17845253.0
2016-09-01,20733,21445,18754,19230,821933,433640.0,17845253.0
2016-09-02,19427,19466,18002,18241,655194,411333.0,17845253.0
2016-09-05,18239,18596,18081,18162,299846,409549.0,17845253.0
2016-09-06,18438,18715,18042,18201,231609,410441.0,17845253.0
2016-09-07,18121,18279,17369,17884,306692,403303.0,17845253.0
2016-09-08,17765,17765,16499,16777,339187,378319.0,17845253.0
2016-09-09,16499,17052,16261,17054,153487,384565.0,17845253.0
2016-09-12,16499,16973,16460,16777,147261,378319.0,17845253.0
2016-09-13,16815,16855,16261,16619,124731,374750.0,17845253.0
2016-09-19,16460,16736,16063,16104,123642,363151.0,17845253.0
2016-09-20,16023,16618,15866,16619,141617,374750.0,17845253.0
2016-09-21,16460,16776,16340,16777,77932,378319.0,17845253.0
2016-09-22,16736,16973,16657,16659,80340,375643.0,17845253.0
2016-09-23,16973,17805,16776,17726,174712,399734.0,17845253.0
2016-09-26,17844,18912,17725,18795,374193,423825.0,17845253.0
2016-09-27,18754,18754,18121,18439,154150,415794.0,17845253.0
2016-09-28,18478,19070,18318,18835,161704,424717.0,17845253.0
2016-09-29,18833,18991,18596,18914,63986,426502.0,17845253.0
2016-09-30,18675,18873,17923,17964,165011,405087.0,17845253.0
2016-10-04,17646,17963,17093,17884,159796,403303.0,17845253.0
2016-10-05,17725,18081,17646,17884,53216,403303.0,17845253.0
2016-10-06,17884,18002,17409,17726,67928,399734.0,17845253.0
2016-10-07,17805,17805,16578,16659,145886,375643.0,17845253.0
2016-10-10,16460,16934,16460,16698,74010,376535.0,17845253.0
2016-10-11,17093,17093,16736,16936,46687,381888.0,17845253.0
2016-10-12,16696,17013,16618,16856,49132,380104.0,17845253.0
2016-10-13,16894,16894,16420,16580,53274,373858.0,17845253.0
2016-10-14,16578,16618,16301,16342,33903,368504.0,17845253.0
2016-10-17,16221,16618,16103,16342,41173,368504.0,17845253.0
2016-10-18,16340,16578,16261,16460,22143,371181.0,17845253.0
2016-10-19,16618,16934,16340,16777,36057,378319.0,17845253.0
2016-10-20,16618,16973,16380,16421,33699,370289.0,17845253.0
2016-10-21,16221,16539,16221,16421,30052,370289.0,17845253.0
2016-10-24,16578,16578,15984,16104,45961,363151.0,17845253.0
2016-10-25,16103,16182,15509,15591,71120,351551.0,17845253.0
2016-10-26,15391,15391,14797,15036,98630,339060.0,17845253.0
2016-10-27,14876,15588,14876,15591,42540,351551.0,17845253.0
2016-10-28,15667,15667,14955,15036,41140,339060.0,17845253.0
2016-10-31,14876,14995,13926,13928,89115,314076.0,17845253.0
2016-11-01,13650,14006,13650,13889,69116,313184.0,17845253.0
2016-11-02,13729,13965,12978,13572,106734,306046.0,17845253.0
2016-11-03,13214,13690,13096,13414,148457,302477.0,17845253.0
2016-11-04,13373,13729,13253,13572,41269,306046.0,17845253.0
2016-11-07,13729,13926,13531,13809,38584,311400.0,17845253.0
2016-11-08,13808,14085,13610,13849,51993,312292.0,17845253.0
2016-11-09,13848,13965,12424,12939,115351,291770.0,17845253.0
2016-11-10,13373,13965,13373,13572,86020,306046.0,17845253.0
2016-11-11,13690,14521,13570,14363,110850,323891.0,17845253.0
2016-11-14,14363,14718,14363,14641,34917,330137.0,17845253.0
2016-11-15,14638,14718,14045,14403,40706,324784.0,17845253.0
2016-11-16,14402,14521,14203,14442,59119,325676.0,17845253.0
2016-11-17,14481,14560,14085,14442,29328,325676.0,17845253.0
2016-11-18,14521,14521,13887,14165,38336,319430.0,17845253.0
2016-11-21,13965,14243,13769,13889,15769,313184.0,17845253.0
