금호산업(002990),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,215919,222798,200668,221407,361170,118238.0,14779800.0
1999-01-05,224239,226989,213145,224469,547800,119864.0,14779800.0
1999-01-06,235031,251891,229753,238027,619150,127106.0,14779800.0
1999-01-07,249108,249108,226949,232487,391960,124150.0,14779800.0
1999-01-08,232522,262710,225607,244681,589620,130653.0,14779800.0
1999-01-11,244414,251867,235265,244931,378750,130801.0,14779800.0
1999-01-12,246642,251891,238068,238027,367580,127106.0,14779800.0
1999-01-13,238073,238073,226972,229731,308120,122672.0,14779800.0
1999-01-14,222845,226974,202057,204814,221060,109371.0,14779800.0
1999-01-15,206220,221415,204813,217259,188740,116021.0,14779800.0
1999-01-18,225611,229740,222803,224191,200780,119716.0,14779800.0
1999-01-19,230011,251862,226945,226947,415060,121194.0,14779800.0
1999-01-20,232524,236681,214543,215895,172480,115282.0,14779800.0
1999-01-21,213109,218645,199265,202031,170430,107893.0,14779800.0
1999-01-22,185462,196556,185462,192370,194320,102720.0,14779800.0
1999-01-25,193767,197896,185452,185438,121660,99025.0,14779800.0
1999-01-26,191237,202015,190978,202031,263890,107893.0,14779800.0
1999-01-27,202030,218660,202030,213111,282200,113804.0,14779800.0
1999-01-28,218934,228362,207862,207849,152630,110996.0,14779800.0
1999-01-29,185423,212544,185423,206735,151050,110405.0,14779800.0
1999-02-01,213127,213127,206478,207571,102270,110848.0,14779800.0
1999-02-02,210133,221457,203448,218651,251370,116760.0,14779800.0
1999-02-03,218673,218673,203450,203423,74040,108632.0,14779800.0
1999-02-04,208951,209784,197857,202031,92430,107893.0,14779800.0
1999-02-05,202059,204292,199302,200666,85270,107154.0,14779800.0
1999-02-08,200654,203433,196783,197882,53020,105676.0,14779800.0
1999-02-09,197327,200652,179893,188194,97850,100503.0,14779800.0
1999-02-10,180198,193763,178504,193734,95570,103459.0,14779800.0
1999-02-11,194021,197891,189892,189865,61000,101389.0,14779800.0
1999-02-12,193746,197616,190988,194013,93290,103606.0,14779800.0
1999-02-18,197897,199305,193768,196240,81060,104789.0,14779800.0
1999-02-19,196284,196284,179941,190978,68220,101981.0,14779800.0
1999-02-22,191008,191008,182693,189586,46640,101242.0,14779800.0
1999-02-23,188179,193457,184309,184325,30130,98433.0,14779800.0
1999-02-24,177428,189584,177428,179898,73050,96069.0,14779800.0
1999-02-25,177745,179949,167505,177142,57520,94591.0,14779800.0
