효성(004800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4450,4778,4450,4685,174930,198386.0,19838622.0
1999-01-05,4637,5293,4590,5223,201610,221201.0,19838622.0
1999-01-06,5387,5949,5387,5949,257530,251950.0,19838622.0
1999-01-07,6090,6090,5668,5715,185420,242031.0,19838622.0
1999-01-08,5762,6324,5715,6184,380130,261870.0,19838622.0
1999-01-11,6324,6605,6230,6465,236490,273773.0,19838622.0
1999-01-12,6511,6699,6300,6605,254200,279725.0,19838622.0
1999-01-13,6839,7261,6605,6605,299500,279725.0,19838622.0
1999-01-14,6558,6558,5621,5856,157430,247983.0,19838622.0
1999-01-15,6183,6418,5902,6371,183010,269805.0,19838622.0
1999-01-18,6792,7261,6652,7027,256780,297579.0,19838622.0
1999-01-19,6933,6980,6558,6605,128030,279725.0,19838622.0
1999-01-20,6675,6793,6324,6465,149470,273773.0,19838622.0
1999-01-21,6324,6511,5949,6090,89260,257902.0,19838622.0
1999-01-22,5996,6043,5528,5575,104470,236080.0,19838622.0
1999-01-25,5668,5761,4778,5059,75150,214257.0,19838622.0
1999-01-26,5246,5504,4965,5059,90470,214257.0,19838622.0
1999-01-27,5246,5340,5012,5340,96860,226160.0,19838622.0
1999-01-28,5340,5528,5247,5528,95250,234096.0,19838622.0
1999-01-29,5528,5621,5247,5481,58600,232112.0,19838622.0
1999-02-01,5574,5715,5480,5715,73020,242031.0,19838622.0
1999-02-02,5621,5715,5411,5411,73270,229136.0,19838622.0
1999-02-03,5293,5340,5153,5247,56290,222193.0,19838622.0
1999-02-04,5153,5387,5059,5247,47100,222193.0,19838622.0
1999-02-05,5247,6020,5059,6020,147600,254926.0,19838622.0
1999-02-08,6090,6558,5856,5902,334770,249967.0,19838622.0
1999-02-09,5855,6066,5457,5996,108200,253934.0,19838622.0
1999-02-10,5996,6558,5996,6324,253160,267821.0,19838622.0
1999-02-11,6464,6511,6090,6277,107800,265838.0,19838622.0
1999-02-12,6418,6418,6183,6324,101090,267821.0,19838622.0
1999-02-18,6324,6324,5387,5856,72210,247983.0,19838622.0
1999-02-19,5809,6043,5387,5856,113200,247983.0,19838622.0
1999-02-22,5715,5856,5528,5528,65280,234096.0,19838622.0
1999-02-23,5504,5668,5340,5387,59900,228144.0,19838622.0
1999-02-24,5340,5528,5293,5317,44860,225168.0,19838622.0
1999-02-25,5246,5551,5106,5387,24990,228144.0,19838622.0
1999-02-26,5457,5761,5387,5762,40100,244015.0,19838622.0
1999-03-02,5762,6277,5621,5902,109400,249967.0,19838622.0
1999-03-03,5902,6042,5621,5668,27300,240047.0,19838622.0
1999-03-04,5715,5856,5621,5645,31450,239055.0,19838622.0
1999-03-05,5480,5785,5480,5762,33920,244015.0,19838622.0
1999-03-08,5714,5949,5714,5949,113400,251950.0,19838622.0
1999-03-09,5902,5902,5668,5762,59270,244015.0,19838622.0
1999-03-10,5668,5762,5528,5621,51340,238063.0,19838622.0
1999-03-11,5692,5902,5528,5809,79260,245999.0,19838622.0
1999-03-12,5925,6137,5809,5996,117330,253934.0,19838622.0
1999-03-15,5856,6043,5856,5856,95140,247983.0,19838622.0
1999-03-16,5762,5973,5762,5902,56890,249967.0,19838622.0
1999-03-17,5996,6230,5949,5949,142300,251950.0,19838622.0
1999-03-18,5996,6605,5996,6137,339800,259886.0,19838622.0
1999-03-19,6371,6793,6137,6793,312380,287660.0,19838622.0
1999-03-22,6792,7167,6558,6558,394550,277741.0,19838622.0
1999-03-23,6652,6933,6535,6793,153000,287660.0,19838622.0
1999-03-24,6933,7167,6839,6933,254330,293612.0,19838622.0
1999-03-25,6699,7003,6699,6839,93240,289644.0,19838622.0
1999-03-26,6746,6839,6512,6511,98000,275757.0,19838622.0
1999-03-29,6090,6699,6090,6418,70510,271789.0,19838622.0
1999-03-30,6464,6628,6418,6558,135040,277741.0,19838622.0
1999-03-31,6558,6980,6558,6793,109520,287660.0,19838622.0
