KB금융(105560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-07-03,43984,45206,43838,45109,1338795,16445631.0,356351693.0
2009-07-06,44669,44962,43789,44180,1303115,16107097.0,356351693.0
2009-07-07,44180,44669,43447,43447,1164858,15839833.0,356351693.0
2009-07-08,43740,44473,42469,43203,2242080,15750745.0,356351693.0
2009-07-09,43593,45451,43056,44669,2725483,16285272.0,356351693.0
2009-07-10,44718,45939,44180,45891,3024181,16730712.0,356351693.0
2009-07-13,45157,45842,43593,43643,1708216,15911103.0,356351693.0
2009-07-14,45060,45646,44278,44767,1889549,16320908.0,356351693.0
2009-07-15,45255,48578,45157,47895,3205012,17461233.0,356351693.0
2009-07-16,48627,49360,48236,48628,2154734,17728497.0,356351693.0
2009-07-17,48383,49360,47601,49165,1557609,17924490.0,356351693.0
2009-07-20,48774,52390,48725,52195,1760800,19029180.0,356351693.0
2009-07-21,52488,53661,51511,52586,2418204,19171721.0,356351693.0
2009-07-22,52684,53075,52000,52000,2282556,18957910.0,356351693.0
2009-07-23,52684,54150,51804,52000,3163949,18957910.0,356351693.0
2009-07-24,52600,53700,50500,50800,2328454,18102666.0,356351693.0
2009-07-27,51300,53700,50900,53000,2342878,18886640.0,356351693.0
2009-07-28,54000,55200,53200,54800,1969988,19528073.0,356351693.0
2009-07-29,55200,55600,54000,55400,1377129,19741884.0,356351693.0
2009-07-30,56000,56100,54500,54500,1319422,19421167.0,356351693.0
2009-07-31,53700,54500,52400,53100,3614607,18922275.0,356351693.0
2009-08-03,52700,54100,52500,53600,1831981,19100451.0,356351693.0
2009-08-04,54000,54100,52400,52700,2038566,18779734.0,356351693.0
2009-08-05,52700,55400,52700,53900,1614066,19207356.0,356351693.0
2009-08-06,54100,55200,53900,55200,1658389,19670613.0,356351693.0
2009-08-07,55400,56700,55300,56500,1599680,20133871.0,356351693.0
2009-08-10,57400,58200,55700,56200,1533822,20026965.0,356351693.0
2009-08-11,56500,56500,54600,55800,1578437,19884424.0,356351693.0
2009-08-12,54200,54900,53300,53600,2355069,19100451.0,356351693.0
2009-08-13,54100,54400,52600,52600,2538303,18744099.0,356351693.0
2009-08-14,53400,54500,53200,54000,1663949,19242991.0,356351693.0
2009-08-17,53000,53200,51200,51400,2344708,18316477.0,356351693.0
2009-08-18,50400,51700,50200,50700,1819475,18067031.0,356351693.0
2009-08-19,51300,51900,50700,50700,1659526,18067031.0,356351693.0
2009-08-20,51500,53800,51200,53800,2053906,19171721.0,356351693.0
2009-08-21,54900,55300,53700,54500,2157323,19421167.0,356351693.0
2009-08-24,55000,56100,54500,56000,2029575,19955695.0,356351693.0
2009-08-25,54900,55300,54100,54400,1582225,19385532.0,356351693.0
2009-08-26,54400,55300,53400,54700,1903778,19492438.0,356351693.0
2009-08-27,54300,54600,53000,53800,1231005,19171721.0,356351693.0
2009-08-28,54500,55000,52000,53200,2056516,18957910.0,356351693.0
2009-08-31,52300,53000,51500,51500,1628980,18352112.0,356351693.0
2009-09-01,52200,53000,51300,53000,1528963,18886640.0,356351693.0
2009-09-02,51600,53500,51100,52900,2276127,18851005.0,356351693.0
2009-09-03,52700,55900,52500,55000,3856225,19599343.0,356351693.0
2009-09-04,56000,56300,55000,55800,2558873,21558424.0,386351693.0
2009-09-07,55500,56100,53900,54300,1568701,20978897.0,386351693.0
2009-09-08,54400,55300,53900,54400,1381660,21017532.0,386351693.0
2009-09-09,55300,55300,54100,54400,1054483,21017532.0,386351693.0
2009-09-10,54400,56700,54100,56500,2907434,21828871.0,386351693.0
2009-09-11,57500,59300,57100,58800,4047599,22717480.0,386351693.0
2009-09-14,58600,60100,57300,58200,2294755,22485669.0,386351693.0
2009-09-15,58300,59500,58300,59000,2115844,22794750.0,386351693.0
2009-09-16,59300,61700,59000,61000,2600057,23567453.0,386351693.0
2009-09-17,61400,62300,60700,61900,2412900,23915170.0,386351693.0
2009-09-18,62600,63000,60500,60500,3018555,23374277.0,386351693.0
2009-09-21,60000,61000,59800,61000,1108876,23567453.0,386351693.0
2009-09-22,61100,62000,60500,60500,1382009,23374277.0,386351693.0
