유한양행(000100),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,14925.0,15265.0,14499.0,15267.0,57130.0,137988.0,3854400.0
1999-01-05,15264.0,16373.0,15179.0,15736.0,97950.0,142227.0,3854400.0
1999-01-06,16202.0,16458.0,15435.0,16204.0,51600.0,146467.0,3854400.0
1999-01-07,16629.0,16800.0,15990.0,16461.0,74890.0,148780.0,3854400.0
1999-01-08,16459.0,16630.0,16033.0,16590.0,35600.0,149936.0,3854400.0
1999-01-11,16799.0,17481.0,16544.0,17485.0,97470.0,158030.0,3854400.0
1999-01-12,17484.0,17484.0,16632.0,16931.0,55570.0,153020.0,3854400.0
1999-01-13,16928.0,17057.0,16416.0,16886.0,39810.0,152634.0,3854400.0
1999-01-14,16289.0,16628.0,15818.0,16204.0,23560.0,146467.0,3854400.0
1999-01-15,15348.0,16564.0,15348.0,16204.0,38990.0,146467.0,3854400.0
1999-01-18,16417.0,16629.0,15991.0,16227.0,26760.0,146660.0,3854400.0
1999-01-19,16417.0,16417.0,15778.0,15908.0,15870.0,143769.0,3854400.0
1999-01-20,16417.0,16417.0,15564.0,15991.0,22260.0,144540.0,3854400.0
1999-01-21,15779.0,15779.0,15012.0,15011.0,47370.0,135675.0,3854400.0
1999-01-22,14924.0,14924.0,14498.0,14798.0,22640.0,133748.0,3854400.0
1999-01-25,14370.0,14795.0,14071.0,14798.0,15660.0,133748.0,3854400.0
1999-01-26,14072.0,15139.0,14072.0,14755.0,29210.0,133362.0,3854400.0
1999-01-27,14838.0,14924.0,14498.0,14925.0,17240.0,134904.0,3854400.0
1999-01-28,14924.0,15136.0,14498.0,14798.0,16970.0,133748.0,3854400.0
1999-01-29,14583.0,14755.0,14414.0,14755.0,15090.0,140030.0,4047120.0
1999-02-01,14627.0,14883.0,14372.0,14755.0,23550.0,140030.0,4047120.0
1999-02-02,14924.0,14924.0,14539.0,14542.0,13110.0,138007.0,4047120.0
