시디즈(134790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-01-25,25100,28850,25100,28850,285,57700.0,1000000.0
2011-01-26,33150,33150,33150,33150,1116,66300.0,1000000.0
2011-01-27,38100,38100,38100,38100,354,76200.0,1000000.0
2011-01-28,43800,43800,43800,43800,25890,87600.0,1000000.0
2011-01-31,50250,50250,43800,43800,175475,87600.0,1000000.0
2011-02-01,48450,50250,37250,37250,263994,74500.0,1000000.0
2011-02-07,35200,36350,31700,31700,203293,63400.0,1000000.0
2011-02-08,31700,34700,30350,32050,188956,64100.0,1000000.0
2011-02-09,31900,32700,27250,27750,110297,55500.0,1000000.0
2011-02-10,28450,30700,26199,27100,126747,54200.0,1000000.0
2011-02-11,27150,27750,25150,26000,67220,52000.0,1000000.0
2011-02-14,26000,27700,24575,25300,70148,50600.0,1000000.0
2011-02-15,25650,26250,23500,26250,65719,52500.0,1000000.0
2011-02-16,26150,26700,24750,24800,49084,49600.0,1000000.0
2011-02-17,24800,25000,21575,22250,38563,44500.0,1000000.0
2011-02-18,22550,25550,22000,22300,156617,44600.0,1000000.0
2011-02-21,22450,22650,20975,21950,36254,43900.0,1000000.0
2011-02-22,22000,22250,20400,20400,23594,40800.0,1000000.0
2011-02-23,20400,21500,20300,20400,20472,40800.0,1000000.0
2011-02-24,20575,22250,20350,20550,46385,41100.0,1000000.0
2011-02-25,20600,20900,19650,20300,23251,40600.0,1000000.0
2011-02-28,20375,21300,20250,20750,22917,41500.0,1000000.0
2011-03-02,20350,20950,20050,20550,12026,41100.0,1000000.0
2011-03-03,21000,21250,20225,20400,10088,40800.0,1000000.0
2011-03-04,21150,23450,20425,20425,156638,40850.0,1000000.0
2011-03-07,20500,20925,19650,19675,22301,39350.0,1000000.0
2011-03-08,19775,20250,19575,19975,24911,39950.0,1000000.0
2011-03-09,20150,21075,19950,20250,52702,40500.0,1000000.0
2011-03-10,20100,20200,19250,19350,24990,38700.0,1000000.0
2011-03-11,18900,19225,18525,18650,15447,37300.0,1000000.0
2011-03-14,18550,18575,16800,17175,21669,34350.0,1000000.0
2011-03-15,17500,17500,15400,16000,19905,32000.0,1000000.0
2011-03-16,16250,16250,15400,15400,25484,30800.0,1000000.0
2011-03-17,15125,16400,15000,15600,31109,31200.0,1000000.0
2011-03-18,15750,16000,15150,15150,32002,30300.0,1000000.0
2011-03-21,15749,16349,15325,15500,48363,31000.0,1000000.0
2011-03-22,15750,15800,15075,15225,42677,30450.0,1000000.0
2011-03-23,15400,15450,14650,14675,43536,29350.0,1000000.0
2011-03-24,14700,15125,14400,15125,37057,30250.0,1000000.0
2011-03-25,15450,15600,14900,14975,27133,29950.0,1000000.0
2011-03-28,15000,15000,14525,14525,19973,29050.0,1000000.0
2011-03-29,14625,15400,14425,15175,27902,30350.0,1000000.0
2011-03-30,15099,15725,15075,15150,46420,30300.0,1000000.0
2011-03-31,15175,15350,14650,14800,20816,29600.0,1000000.0
2011-04-01,14800,15375,14625,15025,38218,30050.0,1000000.0
2011-04-04,15075,15250,14700,14700,35047,29400.0,1000000.0
2011-04-05,14500,14599,14025,14025,50491,28050.0,1000000.0
2011-04-06,14025,14075,13350,13450,40881,26900.0,1000000.0
2011-04-07,13600,13874,13250,13325,27596,26650.0,1000000.0
2011-04-08,13275,13900,13150,13775,32854,27550.0,1000000.0
2011-04-11,13925,13925,13400,13500,18262,27000.0,1000000.0
2011-04-12,13425,14200,13425,13850,36861,27700.0,1000000.0
2011-04-13,14000,14400,13375,13550,32748,27100.0,1000000.0
2011-04-14,13575,13575,13050,13250,16331,26500.0,1000000.0
2011-04-15,13074,13325,12925,12925,24739,25850.0,1000000.0
2011-04-18,12725,13325,12650,13200,45533,26400.0,1000000.0
2011-04-19,0,0,0,13200,0,26400.0,1000000.0
2011-04-20,0,0,0,13200,0,,
2011-04-21,0,0,0,13200,0,,
2011-04-22,0,0,0,13200,0,,
2011-04-25,0,0,0,13200,0,,
2011-04-26,0,0,0,13200,0,,
2011-04-27,0,0,0,13200,0,,
2011-04-28,0,0,0,13200,0,,
2011-04-29,0,0,0,13200,0,,
2011-05-02,0,0,0,13200,0,,
2011-05-03,0,0,0,13200,0,,
2011-05-04,0,0,0,13200,0,,
2011-05-06,0,0,0,13200,0,,
2011-05-09,0,0,0,13200,0,,
2011-05-11,0,0,0,13200,0,,
2011-05-12,0,0,0,13200,0,,
2011-05-13,0,0,0,13200,0,,
2011-05-16,0,0,0,13200,0,,
2011-05-17,14200,15150,13600,15150,115905,30300.0,2000000.0
2011-05-18,16900,17400,16300,17400,242633,34800.0,2000000.0
2011-05-19,18300,19350,15050,15650,768351,31300.0,2000000.0
2011-05-20,15900,16400,13800,14400,379696,28800.0,2000000.0
2011-05-23,14500,14850,12900,12950,184977,25900.0,2000000.0
2011-05-24,12650,13000,12250,12500,98255,25000.0,2000000.0
2011-05-25,12600,12900,11550,11800,102172,23600.0,2000000.0
2011-05-26,12250,13550,12100,12300,242445,24600.0,2000000.0
2011-05-27,12800,12800,11950,12050,82827,24100.0,2000000.0
2011-05-30,12200,12200,11650,11700,38778,23400.0,2000000.0
2011-05-31,11750,12500,11550,11700,71453,23400.0,2000000.0
2011-06-01,11900,12000,11600,11750,30760,23500.0,2000000.0
2011-06-02,11500,11600,11150,11200,39881,22400.0,2000000.0
2011-06-03,11300,11300,10650,10800,35265,21600.0,2000000.0
2011-06-07,10600,11000,10550,10550,21128,21100.0,2000000.0
2011-06-08,10550,11100,10450,10650,33760,21300.0,2000000.0
2011-06-09,10750,11000,10450,10650,28391,21300.0,2000000.0
2011-06-10,10700,10950,10050,10300,23250,20600.0,2000000.0
2011-06-13,10200,10500,9730,9950,25818,19900.0,2000000.0
2011-06-14,9920,11400,9800,11400,151439,22800.0,2000000.0
2011-06-15,11150,11650,10700,10750,106478,21500.0,2000000.0
2011-06-16,10600,11150,10400,10650,39990,21300.0,2000000.0
2011-06-17,10900,12200,10900,12200,191114,24400.0,2000000.0
2011-06-20,12300,12900,11850,12350,152971,24700.0,2000000.0
2011-06-21,12600,12800,11400,11450,72373,22900.0,2000000.0
2011-06-22,11450,13150,11100,13150,174553,26300.0,2000000.0
2011-06-23,13150,13450,12550,12650,100705,25300.0,2000000.0
2011-06-24,12800,13850,12250,12500,107288,25000.0,2000000.0
2011-06-27,12700,13800,12300,12950,126292,25900.0,2000000.0
2011-06-28,13250,13550,12250,12400,85625,24800.0,2000000.0
2011-06-29,12700,12800,12150,12200,38189,24400.0,2000000.0
2011-06-30,12600,13300,12200,12300,73266,24600.0,2000000.0
2011-07-01,12400,12550,12050,12200,35445,24400.0,2000000.0
2011-07-04,12200,12800,12150,12300,42497,24600.0,2000000.0
2011-07-05,12300,12950,12300,12600,49948,25200.0,2000000.0
2011-07-06,12650,12950,12000,12250,46011,24500.0,2000000.0
2011-07-07,12200,12750,12150,12650,47127,25300.0,2000000.0
2011-07-08,12950,14500,12800,13800,482395,27600.0,2000000.0
2011-07-11,14200,14700,13550,14500,100906,29000.0,2000000.0
2011-07-12,14200,15200,13950,14200,75004,28400.0,2000000.0
2011-07-13,14000,14450,13150,13250,81440,26500.0,2000000.0
2011-07-14,13400,14100,13050,13600,48878,27200.0,2000000.0
2011-07-15,14000,14450,13400,13400,58558,26800.0,2000000.0
2011-07-18,13550,13850,13250,13650,33652,27300.0,2000000.0
2011-07-19,13650,14100,13450,13500,38872,27000.0,2000000.0
2011-07-20,13650,14050,13500,13900,40168,27800.0,2000000.0
2011-07-21,14200,14450,13400,13450,55504,26900.0,2000000.0
2011-07-22,13450,13600,13100,13200,35036,26400.0,2000000.0
2011-07-25,13200,13300,12650,12650,30227,25300.0,2000000.0
2011-07-26,12450,12800,12300,12450,24595,24900.0,2000000.0
2011-07-27,12400,12750,12400,12500,11010,25000.0,2000000.0
2011-07-28,12500,12500,11950,12050,32456,24100.0,2000000.0
2011-07-29,12100,12400,11900,12250,18530,24500.0,2000000.0
2011-08-01,12200,12750,12200,12400,15867,24800.0,2000000.0
2011-08-02,12400,12500,12050,12400,13610,24800.0,2000000.0
2011-08-03,12050,12300,11750,11800,13700,23600.0,2000000.0
2011-08-04,11850,12050,11750,11800,14770,23600.0,2000000.0
2011-08-05,10850,11650,10500,11250,29742,22500.0,2000000.0
2011-08-08,10700,11550,10000,10350,35412,20700.0,2000000.0
2011-08-09,10050,10050,8990,9300,39748,18600.0,2000000.0
2011-08-10,9620,10250,9620,9690,21045,19380.0,2000000.0
2011-08-11,9420,9920,9400,9730,7440,19460.0,2000000.0
2011-08-12,10100,11150,10100,11150,34770,22300.0,2000000.0
2011-08-16,11900,12800,11600,11750,72064,23500.0,2000000.0
2011-08-17,11700,12500,11350,12050,20020,24100.0,2000000.0
2011-08-18,12100,13300,11700,11850,25033,23700.0,2000000.0
2011-08-19,11150,11500,10550,10800,13224,21600.0,2000000.0
2011-08-22,10800,10900,10550,10600,8464,21200.0,2000000.0
2011-08-23,11150,11750,10850,11200,18310,22400.0,2000000.0
2011-08-24,11550,11650,10900,10950,8668,21900.0,2000000.0
2011-08-25,11050,11650,11000,11500,9410,23000.0,2000000.0
2011-08-26,11350,11450,11000,11100,7006,22200.0,2000000.0
2011-08-29,11150,11700,11100,11500,12914,23000.0,2000000.0
2011-08-30,11500,11900,11150,11150,8760,22300.0,2000000.0
2011-08-31,11200,11550,11100,11350,9754,22700.0,2000000.0
2011-09-01,11450,11500,11100,11100,15920,22200.0,2000000.0
2011-09-02,11200,11200,11000,11150,6300,22300.0,2000000.0
2011-09-05,10850,11100,10600,10800,12841,21600.0,2000000.0
2011-09-06,10400,10800,10400,10700,9061,21400.0,2000000.0
2011-09-07,10900,10900,10600,10750,3923,21500.0,2000000.0
2011-09-08,10900,10950,10650,10950,5110,21900.0,2000000.0
2011-09-09,10700,10950,10700,10850,3620,21700.0,2000000.0
2011-09-14,10700,10700,10400,10400,4162,20800.0,2000000.0
2011-09-15,10450,10700,10400,10700,5750,21400.0,2000000.0
2011-09-16,10950,12250,10900,11150,26040,22300.0,2000000.0
2011-09-19,11200,11200,10800,10900,8534,21800.0,2000000.0
2011-09-20,10800,11200,10700,11000,8620,22000.0,2000000.0
2011-09-21,11000,11600,11000,11200,12276,22400.0,2000000.0
2011-09-22,11200,12800,10900,11800,41742,23600.0,2000000.0
2011-09-23,11350,11350,10900,10950,15450,21900.0,2000000.0
2011-09-26,10950,11350,9960,10000,24946,20000.0,2000000.0
2011-09-27,10150,10850,10150,10500,6900,21000.0,2000000.0
2011-09-28,10500,11050,10400,10400,7870,20800.0,2000000.0
2011-09-29,10200,10750,10200,10750,2390,21500.0,2000000.0
2011-09-30,10600,12000,10600,11500,4160,23000.0,2000000.0
2011-10-04,10950,11400,10700,11400,2551,22800.0,2000000.0
2011-10-05,11100,12750,11000,12100,16040,24200.0,2000000.0
2011-10-06,12700,12800,11450,11550,16840,23100.0,2000000.0
2011-10-07,11700,12200,11150,11400,8720,22800.0,2000000.0
2011-10-10,11300,11450,10900,11300,5530,22600.0,2000000.0
2011-10-11,11350,11700,11200,11400,3761,22800.0,2000000.0
2011-10-12,11350,11650,11200,11300,11556,22600.0,2000000.0
2011-10-13,11650,11650,11100,11300,10140,22600.0,2000000.0
2011-10-14,11250,11400,10800,11000,11973,22000.0,2000000.0
2011-10-17,11000,11450,10950,11200,6935,22400.0,2000000.0
2011-10-18,10950,11350,10900,11100,6102,22200.0,2000000.0
2011-10-19,11150,11350,10850,10950,3664,21900.0,2000000.0
2011-10-20,10900,11250,10600,10900,5033,21800.0,2000000.0
2011-10-21,10950,11100,10250,10500,9461,21000.0,2000000.0
2011-10-24,10550,10700,10500,10700,4859,21400.0,2000000.0
2011-10-25,10600,10600,10400,10600,4774,21200.0,2000000.0
2011-10-26,10450,10800,10250,10600,2868,21200.0,2000000.0
2011-10-27,10600,11300,10300,10950,13680,21900.0,2000000.0
2011-10-28,11150,11350,10800,10950,12178,21900.0,2000000.0
2011-10-31,10950,11300,10800,11050,3550,22100.0,2000000.0
2011-11-01,11050,11150,10700,11150,7120,22300.0,2000000.0
2011-11-02,10900,11000,10550,11000,3290,22000.0,2000000.0
2011-11-03,10850,10850,10450,10500,9300,21000.0,2000000.0
2011-11-04,10750,10800,10350,10700,6802,21400.0,2000000.0
2011-11-07,10550,10650,10300,10600,7838,21200.0,2000000.0
2011-11-08,10600,10600,10350,10550,3896,21100.0,2000000.0
2011-11-09,10550,10600,10350,10600,3040,21200.0,2000000.0
2011-11-10,10100,10250,9990,10100,6831,20200.0,2000000.0
2011-11-11,10300,10350,10150,10250,3613,20500.0,2000000.0
2011-11-14,10200,10350,10000,10300,4793,20600.0,2000000.0
2011-11-15,10300,10350,10100,10350,1490,20700.0,2000000.0
2011-11-16,10700,10700,10150,10350,2251,20700.0,2000000.0
2011-11-17,10250,10250,10100,10200,3779,20400.0,2000000.0
2011-11-18,9990,10150,9980,10000,3836,20000.0,2000000.0
2011-11-21,10000,10000,9810,9840,2850,19680.0,2000000.0
2011-11-22,9720,9870,9640,9820,2480,19640.0,2000000.0
2011-11-23,9820,9970,9650,9650,3750,19300.0,2000000.0
2011-11-24,9650,10100,9650,9700,16860,19400.0,2000000.0
2011-11-25,9610,9790,9520,9590,3911,19180.0,2000000.0
2011-11-28,9560,9740,9560,9690,2210,19380.0,2000000.0
2011-11-29,9790,9840,9600,9730,4160,19460.0,2000000.0
2011-11-30,9880,9880,9610,9750,2430,19500.0,2000000.0
2011-12-01,9800,10000,9710,9830,5530,19660.0,2000000.0
2011-12-02,10000,11300,9850,10600,72496,21200.0,2000000.0
2011-12-05,10900,11400,10450,10450,26780,20900.0,2000000.0
2011-12-06,10500,10550,10200,10400,10388,20800.0,2000000.0
2011-12-07,10350,10750,10350,10650,2705,21300.0,2000000.0
2011-12-08,10700,10800,10350,10550,6170,21100.0,2000000.0
2011-12-09,10350,10550,10100,10300,5660,20600.0,2000000.0
2011-12-12,10300,10450,10150,10300,4628,20600.0,2000000.0
2011-12-13,10300,11450,10300,10900,23631,21800.0,2000000.0
2011-12-14,10900,12200,10900,11250,24100,22500.0,2000000.0
2011-12-15,11500,11700,10800,10800,17284,21600.0,2000000.0
2011-12-16,10700,11150,10500,10750,4507,21500.0,2000000.0
