세아홀딩스(058650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-07-30,9560,9560,8154,8153,50000,32480.0,2800000.0
2001-07-31,7450,7942,7001,7169,384210,28560.0,2800000.0
2001-08-01,7485,7485,7028,7169,143370,28560.0,2800000.0
2001-08-02,7204,7521,7169,7415,115480,29540.0,2800000.0
2001-08-03,7168,7414,7168,7310,67200,29120.0,2800000.0
2001-08-06,7309,7520,7274,7380,39550,29400.0,2800000.0
2001-08-07,7310,7380,7134,7239,39720,28840.0,2800000.0
2001-08-08,7310,7380,7028,7239,58620,28840.0,2800000.0
2001-08-09,7169,7239,7064,7239,26370,28840.0,2800000.0
2001-08-10,7169,8294,7169,8294,113370,33040.0,2800000.0
2001-08-13,8540,8575,7942,8294,81950,33040.0,2800000.0
2001-08-14,8400,8752,8049,8610,52160,34300.0,2800000.0
2001-08-16,8399,8645,8188,8540,34390,34020.0,2800000.0
2001-08-17,8575,8575,8153,8259,29000,32900.0,2800000.0
2001-08-20,8153,8153,7661,7661,33930,30520.0,2800000.0
2001-08-21,7768,7873,7381,7696,31500,30660.0,2800000.0
2001-08-22,7660,7660,7379,7521,21220,29960.0,2800000.0
2001-08-23,7451,7873,7451,7872,23400,31360.0,2800000.0
2001-08-24,7908,8154,7803,7872,24660,31360.0,2800000.0
2001-08-27,7873,8225,7803,8188,20470,32620.0,2800000.0
2001-08-28,8084,8435,7873,8118,14290,32340.0,2800000.0
2001-08-29,8083,8294,7872,7978,44990,31780.0,2800000.0
2001-08-30,8083,8434,7837,8435,26750,33600.0,2800000.0
2001-08-31,7802,8188,7239,7978,44450,31780.0,2800000.0
2001-09-03,7414,7977,7414,7556,18380,30100.0,2800000.0
2001-09-04,7380,7731,7310,7485,22930,29820.0,2800000.0
2001-09-05,7379,7695,7379,7521,16390,29960.0,2800000.0
2001-09-06,7414,7941,7414,7591,31620,30240.0,2800000.0
2001-09-07,7521,7837,7485,7626,15720,30380.0,2800000.0
2001-09-10,7451,8576,7451,7872,34000,31360.0,2800000.0
2001-09-11,8014,8295,7697,7731,37440,30800.0,2800000.0
2001-09-12,6608,7240,6608,6621,46780,26376.0,2800000.0
2001-09-13,6746,6992,6662,6888,26240,27440.0,2800000.0
2001-09-14,6929,6957,6543,6677,44490,26600.0,2800000.0
2001-09-17,6677,6810,6488,6684,23580,26628.0,2800000.0
2001-09-18,6615,6889,6615,6874,6560,27384.0,2800000.0
2001-09-19,6873,7660,6873,7345,7620,29260.0,2800000.0
2001-09-20,7521,7521,7099,7239,8990,28840.0,2800000.0
2001-09-21,7169,7204,6832,7204,8080,28700.0,2800000.0
2001-09-24,6957,7238,6957,7099,1840,28280.0,2800000.0
2001-09-25,7203,7344,6957,7134,11060,28420.0,2800000.0
2001-09-26,7027,7098,6992,7099,2690,28280.0,2800000.0
2001-09-27,7027,7379,6894,7099,9300,28280.0,2800000.0
2001-09-28,7098,7309,7027,7099,5140,28280.0,2800000.0
2001-10-04,7239,7591,7239,7450,12690,29680.0,2800000.0
2001-10-05,7309,7590,7309,7556,19730,30100.0,2800000.0
2001-10-08,7274,7555,7274,7556,6730,30100.0,2800000.0
2001-10-09,7557,8084,7451,7696,14830,30660.0,2800000.0
2001-10-10,7767,7907,7626,7802,3060,31080.0,2800000.0
2001-10-11,7731,8118,7731,8048,17030,32060.0,2800000.0
2001-10-12,8295,8295,7943,8153,8040,32480.0,2800000.0
2001-10-15,8260,8260,8049,8188,5880,32620.0,2800000.0
2001-10-16,8153,8259,8083,8224,12990,32760.0,2800000.0
2001-10-17,8154,8365,8154,8153,6450,32480.0,2800000.0
2001-10-18,7977,8083,7907,8048,4580,32060.0,2800000.0
2001-10-19,7872,8153,7837,7837,12910,31220.0,2800000.0
2001-10-22,7837,7977,7731,7837,5790,31220.0,2800000.0
2001-10-23,7732,7943,7697,7942,14350,31640.0,2800000.0
2001-10-24,7838,8014,7803,7907,8860,31500.0,2800000.0
2001-10-25,7837,7977,7767,7837,12540,31220.0,2800000.0
2001-10-26,7837,8013,7837,7837,11700,31220.0,2800000.0
2001-10-29,7837,7942,7731,7802,8980,31080.0,2800000.0
2001-10-30,7836,7836,7555,7556,2950,30100.0,2800000.0
2001-10-31,7449,7836,7449,7591,3270,30240.0,2800000.0
2001-11-01,7591,7837,7591,7661,5720,30520.0,2800000.0
2001-11-02,7731,7942,7731,7837,5130,31220.0,2800000.0
2001-11-05,7803,8084,7697,8083,12430,32200.0,2800000.0
2001-11-06,7731,8083,7731,8048,2410,32060.0,2800000.0
2001-11-07,8049,9139,7908,8083,9190,32200.0,2800000.0
2001-11-08,8083,8294,7977,7978,4270,31780.0,2800000.0
2001-11-09,7977,8434,7977,8435,13500,33600.0,2800000.0
2001-11-12,8434,8716,8223,8435,5840,33600.0,2800000.0
2001-11-13,8294,8434,8188,8435,3710,33600.0,2800000.0
2001-11-14,8223,8716,8223,8294,6080,33040.0,2800000.0
2001-11-15,8224,8998,8224,8891,10940,35420.0,2800000.0
2001-11-16,8997,8997,8751,8962,7390,35700.0,2800000.0
2001-11-19,8962,9137,8821,8997,3070,35840.0,2800000.0
2001-11-20,8857,9033,8506,8786,9710,35000.0,2800000.0
2001-11-21,8717,8998,8611,8610,4770,34300.0,2800000.0
2001-11-22,8646,8857,8541,8610,9050,34300.0,2800000.0
2001-11-23,8646,8998,8611,8645,9680,34440.0,2800000.0
2001-11-26,8646,8892,8646,8786,12870,35000.0,2800000.0
2001-11-27,8822,8928,8787,8891,10410,35420.0,2800000.0
2001-11-28,10191,10191,9559,10191,143070,40600.0,2800000.0
2001-11-29,8680,9699,8680,9384,64230,37380.0,2800000.0
2001-11-30,9420,9420,8892,8891,27800,35420.0,2800000.0
2001-12-03,9032,9173,8821,9138,17350,36400.0,2800000.0
2001-12-04,8926,9804,8926,9629,22350,38360.0,2800000.0
2001-12-05,9629,9840,9383,9454,14320,37660.0,2800000.0
2001-12-06,9490,9841,9490,9489,17940,37800.0,2800000.0
2001-12-07,9559,9769,9419,9454,11610,37660.0,2800000.0
2001-12-10,9209,9279,9068,9102,14110,36260.0,2800000.0
2001-12-11,9068,9314,8998,9313,7510,37100.0,2800000.0
2001-12-12,9313,9313,8997,9243,16380,36820.0,2800000.0
2001-12-13,9208,9243,8997,8997,9040,35840.0,2800000.0
2001-12-14,8928,9279,8857,9067,12840,36120.0,2800000.0
2001-12-17,9137,9137,8997,8997,3670,35840.0,2800000.0
2001-12-18,9067,9208,8997,8997,6560,35840.0,2800000.0
2001-12-19,8998,9138,8928,9067,12560,36120.0,2800000.0
2001-12-20,8998,9138,8998,9102,6510,36260.0,2800000.0
2001-12-21,8997,9243,8997,8997,6300,35840.0,2800000.0
2001-12-24,8962,9067,8962,8962,3250,35700.0,2800000.0
2001-12-26,8963,9279,8963,9278,8760,36960.0,2800000.0
2001-12-27,8822,9103,8822,9032,2970,35980.0,2800000.0
2001-12-28,9137,9137,8856,8927,9290,35560.0,2800000.0
2002-01-02,8821,8997,8716,8997,3060,35840.0,2800000.0
2002-01-03,8997,8997,8891,8927,1710,35560.0,2800000.0
2002-01-04,8856,8997,8751,8927,9930,35560.0,2800000.0
2002-01-07,8927,9279,8927,9278,9090,36960.0,2800000.0
2002-01-08,9243,9559,9137,9419,12190,37520.0,2800000.0
2002-01-09,9419,9629,9173,9173,5506,36540.0,2800000.0
2002-01-10,9209,9349,9068,9313,5598,37100.0,2800000.0
2002-01-11,9174,9314,9174,9278,9668,36960.0,2800000.0
2002-01-14,8997,9454,8997,9419,670,37520.0,2800000.0
2002-01-15,9137,9419,9137,9138,2190,36400.0,2800000.0
2002-01-16,8681,9138,8681,9102,3430,36260.0,2800000.0
2002-01-17,8645,9208,8645,9208,2370,36680.0,2800000.0
2002-01-18,9067,9243,8927,8927,2680,35560.0,2800000.0
2002-01-21,9137,9137,8856,8997,240,35840.0,2800000.0
2002-01-22,8927,9278,8856,9208,2550,36680.0,2800000.0
2002-01-23,9068,9279,8857,9067,2392,36120.0,2800000.0
2002-01-24,8927,9981,8927,9313,256972,37100.0,2800000.0
2002-01-25,9454,9910,9454,9734,10460,38780.0,2800000.0
2002-01-28,10893,10893,9663,10121,6870,40320.0,2800000.0
2002-01-29,9979,9979,9628,9875,5290,39340.0,2800000.0
2002-01-30,9663,9909,9628,9629,1490,38360.0,2800000.0
2002-01-31,9348,9699,9348,9699,760,38640.0,2800000.0
2002-02-01,9629,10051,9419,9419,13460,37520.0,2800000.0
2002-02-04,9209,9630,9209,9559,1902,38080.0,2800000.0
2002-02-05,9279,9630,9279,9559,1187,38080.0,2800000.0
2002-02-06,9489,9769,9454,9734,5360,38780.0,2800000.0
2002-02-07,9558,9698,9453,9594,1730,38220.0,2800000.0
2002-02-08,9454,9699,9313,9699,2450,38640.0,2800000.0
2002-02-14,9559,9945,9419,9699,4700,38640.0,2800000.0
2002-02-15,9698,10014,9628,9840,19010,39200.0,2800000.0
2002-02-18,9839,10682,9804,9840,19671,39200.0,2800000.0
