두산중공업(034020),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-10-25,4486,5047,4314,4323,5462050,522042.0,104200000.0
2000-10-26,4236,4253,3675,3702,3274750,447018.0,104200000.0
2000-10-27,3753,3913,3667,3706,2404710,447539.0,104200000.0
2000-10-30,3710,3921,3710,3732,1301010,450665.0,104200000.0
2000-10-31,3701,3727,3494,3624,1094300,437640.0,104200000.0
2000-11-01,3649,3796,3598,3753,1349550,453270.0,104200000.0
2000-11-02,3667,3796,3645,3753,766200,453270.0,104200000.0
2000-11-03,3770,3951,3727,3771,868250,455354.0,104200000.0
2000-11-06,3736,3809,3710,3736,632260,451186.0,104200000.0
2000-11-07,3714,3736,3667,3667,486810,442850.0,104200000.0
2000-11-08,3624,3693,3589,3641,371680,439724.0,104200000.0
2000-11-09,3667,3667,3589,3594,298440,433993.0,104200000.0
2000-11-10,3615,3641,3520,3538,359630,427220.0,104200000.0
2000-11-13,3460,3485,3399,3477,685430,419926.0,104200000.0
2000-11-14,3460,3524,3408,3512,347400,424094.0,104200000.0
2000-11-15,3494,3537,3481,3512,421080,424094.0,104200000.0
2000-11-16,3481,3503,3464,3490,175770,421489.0,104200000.0
2000-11-17,3460,3464,3416,3417,312950,412632.0,104200000.0
2000-11-20,3416,3438,3378,3378,218390,407943.0,104200000.0
2000-11-21,3365,3365,3162,3305,548690,399086.0,104200000.0
2000-11-22,3304,3451,3304,3451,419690,416800.0,104200000.0
2000-11-23,3373,3477,3334,3421,255910,413153.0,104200000.0
2000-11-24,3369,3425,3352,3426,265240,413674.0,104200000.0
2000-11-27,3451,3451,3403,3404,115130,411069.0,104200000.0
2000-11-28,3399,3438,3386,3426,252460,413674.0,104200000.0
2000-11-29,3399,3399,3322,3382,131650,408464.0,104200000.0
2000-11-30,3360,3391,3322,3391,153970,409506.0,104200000.0
2000-12-01,3365,3429,3296,3426,216450,413674.0,104200000.0
2000-12-04,3425,3425,3313,3365,188840,406380.0,104200000.0
2000-12-05,3356,3399,3326,3365,93650,406380.0,104200000.0
2000-12-06,3399,3399,3356,3365,147340,406380.0,104200000.0
2000-12-07,3330,3386,3278,3279,230050,395960.0,104200000.0
