일진머티리얼즈(020150),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-03-04,14812,15200,12973,13651,5188793,552720.0,39200000.0
2011-03-07,13893,15587,13796,14813,4682457,599760.0,39200000.0
2011-03-08,14909,14909,14135,14619,1286775,591920.0,39200000.0
2011-03-09,15151,15684,14764,15297,1923684,619360.0,39200000.0
2011-03-10,15926,16168,14909,15103,1655996,611520.0,39200000.0
2011-03-11,14812,15974,14716,15636,1217067,633080.0,39200000.0
2011-03-14,15200,15393,14328,15394,1043631,623280.0,39200000.0
2011-03-15,15345,15587,13941,14619,951624,591920.0,39200000.0
2011-03-16,14958,15393,14425,15394,702242,623280.0,39200000.0
2011-03-17,14909,15877,14812,15394,944511,623280.0,39200000.0
2011-03-18,15587,15974,15442,15588,742287,631120.0,39200000.0
2011-03-21,15539,17911,15490,17911,2969686,725200.0,39200000.0
2011-03-22,17911,18346,17475,18298,2526775,740880.0,39200000.0
2011-03-23,18104,18250,17669,17766,790457,719320.0,39200000.0
2011-03-24,17911,19605,17620,18686,2457950,756560.0,39200000.0
2011-03-25,18879,19799,18395,18395,1593068,744800.0,39200000.0
2011-03-28,18443,18879,17862,18202,909569,736960.0,39200000.0
2011-03-29,18298,19944,17959,19509,1398165,789880.0,39200000.0
2011-03-30,19460,21299,19363,19847,1450063,803600.0,39200000.0
2011-03-31,20137,20767,19847,20332,669364,823200.0,39200000.0
2011-04-01,20331,21299,19944,21155,1168269,856520.0,39200000.0
2011-04-04,21590,21638,20960,21348,586836,864360.0,39200000.0
2011-04-05,21348,22558,21348,21929,1090741,887880.0,39200000.0
2011-04-06,22219,22364,21541,21929,729149,887880.0,39200000.0
2011-04-07,22267,22558,20960,22123,725102,895720.0,39200000.0
2011-04-08,21832,23768,21832,22268,1096291,901600.0,39200000.0
2011-04-11,22703,23332,22413,22946,539312,929040.0,39200000.0
2011-04-12,23042,23623,22606,23575,627172,954520.0,39200000.0
2011-04-13,23574,24397,23284,23527,789298,952560.0,39200000.0
2011-04-14,23768,25366,22994,25027,1198753,1013320.0,39200000.0
2011-04-15,25366,28464,25366,26673,2312888,1079960.0,39200000.0
