LG(003550),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,16379,16968,15672,16496,1511870,1058592.0,75613734.0
1999-01-05,16497,18500,16261,17557,3181410,1126645.0,75613734.0
1999-01-06,17911,19325,17440,18971,2326420,1217381.0,75613734.0
1999-01-07,21799,21799,20621,21799,3625160,1398854.0,75613734.0
1999-01-08,21210,21328,20032,20385,1506240,1308118.0,75613734.0
1999-01-11,20503,20857,19502,20562,1326630,1319460.0,75613734.0
1999-01-12,20503,20562,19089,19560,925380,1255188.0,75613734.0
1999-01-13,19325,19443,18618,19030,798700,1221162.0,75613734.0
1999-01-14,18382,18618,17675,17793,976130,1141767.0,75613734.0
1999-01-15,17793,18205,17557,17910,790640,1149329.0,75613734.0
1999-01-18,18147,18382,17675,17910,1075750,1149329.0,75613734.0
1999-01-19,18029,18264,17557,17910,939290,1149329.0,75613734.0
1999-01-20,17911,18205,17440,17675,901860,1134206.0,75613734.0
1999-01-21,18264,18264,16497,16732,1751480,1073715.0,75613734.0
1999-01-22,16379,16497,15319,15318,1256410,982979.0,75613734.0
1999-01-25,15319,15554,14847,14906,901370,956514.0,75613734.0
1999-01-26,15436,15790,14729,14729,1093710,945172.0,75613734.0
1999-01-27,14847,15613,14788,15554,751230,998101.0,75613734.0
1999-01-28,15554,16261,14906,16261,1280260,1043470.0,75613734.0
1999-01-29,16143,16379,15613,16261,1093890,1043470.0,75613734.0
1999-02-01,16143,16850,15908,16555,1175480,1062373.0,75613734.0
1999-02-02,16615,16615,15967,15966,644800,1024566.0,75613734.0
1999-02-03,15908,15908,15201,15318,879580,982979.0,75613734.0
1999-02-04,15319,15672,15083,15318,935770,982979.0,75613734.0
1999-02-05,14729,15613,14729,15318,882220,982979.0,75613734.0
1999-02-08,15554,15790,15319,15318,663600,982979.0,75613734.0
1999-02-09,15319,15319,14494,15200,518820,975417.0,75613734.0
1999-02-10,15201,15201,14612,14965,539640,960294.0,75613734.0
1999-02-11,14965,15260,14847,15200,944750,975417.0,75613734.0
1999-02-12,15201,15672,15083,15672,708440,1005663.0,75613734.0
1999-02-18,15672,15790,15201,15554,349130,998101.0,75613734.0
1999-02-19,15436,15436,14612,15082,515740,967856.0,75613734.0
1999-02-22,14376,15083,14258,15082,311120,967856.0,75613734.0
1999-02-23,15083,15319,14847,15318,512330,982979.0,75613734.0
1999-02-24,15319,15554,15083,15554,560740,998101.0,75613734.0
1999-02-25,15436,15790,15319,15672,841980,1005663.0,75613734.0
1999-02-26,15672,16143,15613,15672,1546760,1005663.0,75613734.0
1999-03-02,15672,15908,15377,15554,861130,998101.0,75613734.0
1999-03-03,15554,15790,15083,15200,685240,975417.0,75613734.0
1999-03-04,15083,15495,14847,15082,875650,967856.0,75613734.0
1999-03-05,15890,15890,15207,15517,646770,945172.0,75613734.0
1999-03-08,15704,16324,15579,16138,1032330,982979.0,75613734.0
1999-03-09,16138,16138,15517,15703,544310,956514.0,75613734.0
1999-03-10,15766,15952,15517,15951,309110,971636.0,75613734.0
1999-03-11,15952,16324,15704,15889,1169670,967856.0,75613734.0
