롯데정보통신(286940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-07-27,30550,31800,28850,29000,2140343,414294.0,14286000.0
2018-07-30,29000,29800,28550,29200,247510,417151.0,14286000.0
2018-07-31,29500,30100,29000,29000,275150,414294.0,14286000.0
2018-08-01,28850,29000,28300,28500,150711,407151.0,14286000.0
2018-08-02,28600,30050,28350,29600,258694,422866.0,14286000.0
2018-08-03,29900,31300,29600,30200,299028,431437.0,14286000.0
2018-08-06,30200,30550,29550,30000,85050,428580.0,14286000.0
2018-08-07,30200,30750,29700,30300,109855,432866.0,14286000.0
2018-08-08,30450,30750,30100,30300,97684,432866.0,14286000.0
2018-08-09,30500,30500,29450,29800,85264,425723.0,14286000.0
2018-08-10,29950,30750,29600,30400,115758,434294.0,14286000.0
2018-08-13,30300,30750,29650,29800,78584,425723.0,14286000.0
2018-08-14,29600,29950,29350,29400,60640,420008.0,14286000.0
2018-08-16,29400,29400,28200,28800,93216,411437.0,14286000.0
2018-08-17,28500,29050,28500,28850,63301,412151.0,14286000.0
2018-08-20,29050,29050,27150,27150,167533,387865.0,14286000.0
2018-08-21,27200,27200,25650,25950,249432,370722.0,14286000.0
2018-08-22,26100,26250,25750,25850,87562,369293.0,14286000.0
2018-08-23,26000,26950,25850,26400,134371,377150.0,14286000.0
2018-08-24,26400,27900,26400,27400,121937,391436.0,14286000.0
2018-08-27,27400,27750,26900,27150,117389,387865.0,14286000.0
2018-08-28,27400,27500,26250,26550,85448,379293.0,14286000.0
2018-08-29,26700,26750,26300,26450,66019,377865.0,14286000.0
2018-08-30,26500,27250,25950,27100,118482,387151.0,14286000.0
2018-08-31,27000,28200,26600,27950,110902,399294.0,14286000.0
2018-09-03,27600,28350,27500,27950,61338,399294.0,14286000.0
2018-09-04,27900,28200,27300,27950,47324,399294.0,14286000.0
2018-09-05,28500,28850,28150,28500,104072,407151.0,14286000.0
2018-09-06,28350,30000,28300,29500,204521,421437.0,14286000.0
2018-09-07,29200,30050,29150,30050,103295,429294.0,14286000.0
2018-09-10,30000,30000,28700,29050,93235,415008.0,14286000.0
2018-09-11,29050,29450,28800,29350,64355,419294.0,14286000.0
2018-09-12,29500,29500,28150,28450,93047,406437.0,14286000.0
2018-09-13,28450,29750,28150,29750,99237,425008.0,14286000.0
2018-09-14,29750,32800,29750,31700,346660,452866.0,14286000.0
2018-09-17,31500,33600,30900,33600,265318,480010.0,14286000.0
2018-09-18,33700,36650,33700,35000,476862,500010.0,14286000.0
2018-09-19,35200,36550,33950,34800,193805,497153.0,14286000.0
2018-09-20,34800,37350,34500,37350,205873,533582.0,14286000.0
2018-09-21,38050,39600,36100,37200,224719,531439.0,14286000.0
2018-09-27,37500,37500,35800,37050,123144,529296.0,14286000.0
2018-09-28,36800,38900,36150,38400,161850,548582.0,14286000.0
2018-10-01,37750,39150,37200,38150,109459,545011.0,14286000.0
2018-10-02,38400,38650,34700,35250,168735,503582.0,14286000.0
2018-10-04,35400,35950,33600,34250,172314,489296.0,14286000.0
2018-10-05,33950,36100,33150,36050,157784,515010.0,14286000.0
2018-10-08,37400,37500,35950,35950,144997,513582.0,14286000.0
2018-10-10,35950,36000,33600,35100,90807,501439.0,14286000.0
2018-10-11,34050,34550,32500,32700,147165,467152.0,14286000.0
2018-10-12,32600,34350,31850,34050,84527,486438.0,14286000.0
2018-10-15,34050,34050,33200,33300,68425,475724.0,14286000.0
2018-10-16,33450,34600,33400,33750,46346,482152.0,14286000.0
2018-10-17,34300,36450,34150,35150,97448,502153.0,14286000.0
2018-10-18,35150,35850,33250,34050,104574,486438.0,14286000.0
2018-10-19,33500,35400,33300,34800,55424,497153.0,14286000.0
2018-10-22,34800,34800,33800,34200,56861,488581.0,14286000.0
2018-10-23,33850,35400,33550,34200,118410,488581.0,14286000.0
2018-10-24,35100,37400,35100,36150,305673,516439.0,14286000.0
2018-10-25,35450,37500,34550,37000,218660,528582.0,14286000.0
2018-10-26,36800,38100,34850,36950,144997,527868.0,14286000.0
2018-10-29,36800,36950,31800,32650,148687,466438.0,14286000.0
2018-10-30,31500,33500,30500,32750,152877,467866.0,14286000.0
2018-10-31,32900,33300,31900,32700,53234,467152.0,14286000.0
2018-11-01,33400,36200,33200,34400,172083,491438.0,14286000.0
2018-11-02,34800,36500,34700,35900,81391,512867.0,14286000.0
2018-11-05,35400,35900,34650,35300,39893,504296.0,14286000.0
2018-11-06,35400,36200,34350,34600,49765,494296.0,14286000.0
2018-11-07,35300,35350,33500,33850,56912,483581.0,14286000.0
2018-11-08,34500,34950,33750,34200,57270,488581.0,14286000.0
2018-11-09,33500,34900,33400,34450,45316,492153.0,14286000.0
2018-11-12,34100,35550,33600,34850,47880,497867.0,14286000.0
2018-11-13,33500,35000,33100,34500,83179,492867.0,14286000.0
2018-11-14,34500,36000,34050,35300,106434,504296.0,14286000.0
2018-11-15,34850,35300,34100,34700,71174,495724.0,14286000.0
2018-11-16,34700,34900,33200,33350,128543,476438.0,14286000.0
2018-11-19,33050,33900,33000,33700,49904,481438.0,14286000.0
2018-11-20,33100,34500,32700,33450,61529,477867.0,14286000.0
2018-11-21,33450,33650,32550,33150,39808,473581.0,14286000.0
2018-11-22,33250,33700,32750,32900,44927,470009.0,14286000.0
2018-11-23,32450,33400,32350,33000,47421,471438.0,14286000.0
2018-11-26,32700,33000,32150,32450,45243,463581.0,14286000.0
2018-11-27,32450,32850,32100,32400,49614,462866.0,14286000.0
2018-11-28,32700,33900,32350,33650,68533,480724.0,14286000.0
2018-11-29,34000,34750,33750,33750,74854,482152.0,14286000.0
2018-11-30,34050,34500,33500,33500,43106,478581.0,14286000.0
2018-12-03,33850,34200,32600,32900,74468,470009.0,14286000.0
2018-12-04,33250,33250,31400,31750,112558,453580.0,14286000.0
2018-12-05,31000,31850,30850,31300,55218,447152.0,14286000.0
2018-12-06,31500,31650,28850,30100,125454,430009.0,14286000.0
2018-12-07,30900,31450,29650,31400,69362,448580.0,14286000.0
2018-12-10,31000,31850,30700,31850,58565,455009.0,14286000.0
2018-12-11,31850,32000,30750,31650,28605,452152.0,14286000.0
2018-12-12,31600,33750,31500,33500,105282,478581.0,14286000.0
2018-12-13,33200,34800,33150,34100,62676,487153.0,14286000.0
2018-12-14,34500,35000,33850,34350,62899,490724.0,14286000.0
2018-12-17,34050,34850,33200,33850,56616,483581.0,14286000.0
2018-12-18,33500,34500,33000,34500,33069,492867.0,14286000.0
2018-12-19,34400,35150,34000,35050,57539,500724.0,14286000.0
