KC코트렐(119650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-01-29,7139,8199,7139,8200,139411,77010.0,2550000.0
2010-02-01,8987,9421,8512,8961,369398,84150.0,2550000.0
2010-02-02,8973,10303,8715,9341,195625,87720.0,2550000.0
2010-02-03,9530,10154,9259,9517,197225,89378.0,2550000.0
2010-02-04,9285,9448,8959,9368,85838,87975.0,2550000.0
2010-02-05,8878,9380,8823,9232,68012,86700.0,2550000.0
2010-02-08,9271,9380,8878,9097,40282,85425.0,2550000.0
2010-02-09,8933,9041,8715,9042,40407,84915.0,2550000.0
2010-02-10,9285,9543,9136,9178,53350,86190.0,2550000.0
2010-02-11,9285,9312,8959,9273,27759,87082.0,2550000.0
2010-02-12,9176,9367,8973,9123,35813,85680.0,2550000.0
2010-02-16,8987,9204,8851,9151,28278,85935.0,2550000.0
2010-02-17,9068,9190,8987,9028,17664,84788.0,2550000.0
2010-02-18,8973,9150,8973,9028,15048,84788.0,2550000.0
2010-02-19,8959,9041,8877,9015,17877,84660.0,2550000.0
2010-02-22,9068,9095,8987,9097,18883,85425.0,2550000.0
2010-02-23,9055,9095,8973,9002,15675,84532.0,2550000.0
2010-02-24,8947,8959,8824,8838,16161,83002.0,2550000.0
2010-02-25,8851,9231,8851,9151,38001,85935.0,2550000.0
2010-02-26,9150,10018,9150,9951,62966,93458.0,2550000.0
2010-03-02,10018,10535,9285,9463,83532,88868.0,2550000.0
2010-03-03,9448,9448,9150,9409,22002,88358.0,2550000.0
2010-03-04,9421,9530,9231,9409,19894,88358.0,2550000.0
2010-03-05,9367,9720,9367,9708,33617,91162.0,2550000.0
2010-03-08,9774,9896,9625,9721,32384,91290.0,2550000.0
2010-03-09,9652,9720,9421,9558,25922,89760.0,2550000.0
2010-03-10,9666,9666,9340,9544,21507,89632.0,2550000.0
2010-03-11,9462,9774,9462,9748,37445,91545.0,2550000.0
2010-03-12,10317,11050,9502,10535,79871,49470.0,2550000.0
2010-03-15,10588,11023,10263,10807,46694,50745.0,2550000.0
2010-03-16,10806,11078,10588,10590,41447,49725.0,2550000.0
2010-03-17,10588,10752,10154,10156,27187,47685.0,2550000.0
2010-03-18,10046,10289,9693,9775,40184,45900.0,2550000.0
2010-03-19,9937,10181,9829,9993,20066,46920.0,2550000.0
2010-03-22,9991,10046,9530,9558,35422,44880.0,2550000.0
2010-03-23,9693,9693,9366,9586,22664,45008.0,2550000.0
2010-03-24,9530,9882,9421,9884,29484,46410.0,2550000.0
2010-03-25,9991,9991,9583,9586,11781,45008.0,2550000.0
2010-03-26,9611,9937,9502,9639,9975,45262.0,2550000.0
2010-03-29,9638,9720,9475,9504,16926,44625.0,2550000.0
2010-03-30,9502,9611,9448,9613,8683,45135.0,2550000.0
2010-03-31,9611,9611,9150,9341,46647,43860.0,2550000.0
2010-04-01,9448,9448,9123,9396,26150,44115.0,2550000.0
2010-04-02,9259,9285,8959,9205,69267,86445.0,5100000.0
