남광토건(001260),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,15224262,17506824,15224262,17507384,95030,13550.0,4472000.0
1999-01-05,19067338,20107520,17911618,20107544,292680,15563.0,4472000.0
1999-01-06,20107898,22245532,19934604,20801008,166960,16099.0,4472000.0
1999-01-07,21378550,21956140,18778288,19645232,169480,15205.0,4472000.0
1999-01-08,19067030,21782802,19067030,21378494,167840,16546.0,4472000.0
1999-01-11,20800218,22533532,20800218,21956516,122900,16994.0,4472000.0
1999-01-12,22418578,23054488,19645624,21090154,134050,16323.0,4472000.0
1999-01-13,21089322,22823216,19644796,22707702,198610,17575.0,4472000.0
1999-01-14,21956378,21956378,19356158,20049822,134290,15518.0,4472000.0
1999-01-15,19645184,21379056,19645184,20512132,140060,15876.0,4472000.0
1999-01-18,20511768,21378162,19760910,20222986,98700,15652.0,4472000.0
1999-01-19,20280516,23256184,19124794,21378494,239490,16546.0,4472000.0
1999-01-20,22533814,23053640,19875784,19934110,89750,15428.0,4472000.0
1999-01-21,19933634,20222980,17969804,18605170,75800,14400.0,4472000.0
1999-01-22,18604748,18951858,15831242,18374282,101720,14221.0,4472000.0
1999-01-25,18489688,19934230,17333946,17333950,32930,13416.0,4472000.0
1999-01-26,15599851,18488906,15599851,16409598,55600,12700.0,4472000.0
1999-01-27,15658285,17911454,15196207,17045074,67880,13192.0,4472000.0
1999-01-28,17333808,18316278,16466849,17911972,66780,13863.0,4472000.0
1999-01-29,18489310,18778094,17333592,17651822,80200,13662.0,4472000.0
1999-02-01,17969716,18200190,17391574,17911972,90150,13863.0,4472000.0
1999-02-02,18027382,18200656,16525079,17218776,83770,13327.0,4472000.0
1999-02-03,17420328,17911268,16177951,16467320,131730,12745.0,4472000.0
1999-02-04,16467042,16929666,15426852,15600689,48150,12074.0,4472000.0
1999-02-05,15773403,16177693,15311341,15600689,58330,12074.0,4472000.0
1999-02-08,15600835,15889074,14964946,14964946,33730,11582.0,4472000.0
1999-02-09,14328948,14328948,12768377,13000530,44760,10062.0,4472000.0
1999-02-10,13230981,14935383,13173222,14935951,91180,11560.0,4472000.0
