한올바이오파마(009420),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,576,670,576,641,558400,20400.0,3000000.0
1999-01-05,651,736,651,684,869100,21750.0,3000000.0
1999-01-06,684,746,684,717,967100,22800.0,3000000.0
1999-01-07,755,773,699,698,1313000,22200.0,3000000.0
1999-01-08,709,717,699,712,702000,22650.0,3000000.0
1999-01-11,714,819,714,819,3553000,26040.0,3000000.0
1999-01-12,832,832,756,793,2305600,25200.0,3000000.0
1999-01-13,802,873,774,811,2799300,25800.0,3000000.0
1999-01-14,784,784,699,698,994400,22200.0,3000000.0
1999-01-15,746,774,710,745,1298700,23700.0,3000000.0
1999-01-18,765,826,760,797,1494000,25350.0,3000000.0
1999-01-19,802,811,737,741,826100,23550.0,3000000.0
1999-01-20,741,807,721,722,1439000,22950.0,3000000.0
1999-01-21,727,736,680,684,918100,21750.0,3000000.0
1999-01-22,663,678,633,666,501400,21180.0,3000000.0
1999-01-25,663,680,653,677,656500,21540.0,3000000.0
1999-01-26,708,708,628,627,308700,19950.0,3000000.0
1999-01-27,614,661,605,641,370000,20400.0,3000000.0
1999-01-28,647,689,633,662,783100,21060.0,3000000.0
1999-01-29,656,675,642,656,302400,20850.0,3000000.0
1999-02-01,670,680,648,669,519300,21270.0,3000000.0
1999-02-02,680,708,661,679,1118600,21600.0,3000000.0
1999-02-03,661,680,649,679,490700,21600.0,3000000.0
1999-02-04,663,689,642,641,419100,20400.0,3000000.0
1999-02-05,643,661,642,646,385100,20550.0,3000000.0
1999-02-08,641,666,641,641,273800,20400.0,3000000.0
1999-02-09,624,641,587,594,504300,18900.0,3000000.0
1999-02-10,595,623,585,613,208900,19500.0,3000000.0
1999-02-11,595,633,595,607,248500,19320.0,3000000.0
1999-02-12,629,633,609,627,336100,19950.0,3000000.0
1999-02-18,628,628,606,606,131000,19260.0,3000000.0
1999-02-19,595,595,566,582,275900,18510.0,3000000.0
1999-02-22,582,583,557,566,234400,18000.0,3000000.0
1999-02-23,576,576,549,553,134400,17580.0,3000000.0
1999-02-24,539,575,539,556,275800,17700.0,3000000.0
1999-02-25,558,558,532,552,138600,17550.0,3000000.0
1999-02-26,571,576,553,566,281900,18000.0,3000000.0
1999-03-02,576,595,576,585,213300,18600.0,3000000.0
1999-03-03,593,604,573,573,299300,18210.0,3000000.0
1999-03-04,567,594,567,585,232400,18600.0,3000000.0
1999-03-05,603,603,585,585,221700,18600.0,3000000.0
1999-03-08,614,620,595,620,556300,19710.0,3000000.0
1999-03-09,619,646,616,615,583400,19560.0,3000000.0
