LS전선아시아(229640),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-09-22,7200,7200,6330,6350,3346717,194468.0,30624879.0
2016-09-23,6410,6870,6350,6590,1203796,201818.0,30624879.0
2016-09-26,6650,7090,6510,6970,1087013,213455.0,30624879.0
2016-09-27,6950,7100,6730,6890,449980,211005.0,30624879.0
2016-09-28,6890,7060,6660,6660,354530,203962.0,30624879.0
2016-09-29,6680,6970,6650,6890,183261,211005.0,30624879.0
2016-09-30,6890,6900,6720,6750,90210,206718.0,30624879.0
2016-10-04,6720,6880,6620,6710,122618,205493.0,30624879.0
2016-10-05,6780,6780,6550,6600,90513,202124.0,30624879.0
2016-10-06,6640,6640,6470,6500,110384,199062.0,30624879.0
2016-10-07,6500,6570,6400,6440,90763,197224.0,30624879.0
2016-10-10,6440,6590,6400,6560,67692,200899.0,30624879.0
2016-10-11,6570,6860,6520,6790,129120,207943.0,30624879.0
2016-10-12,6750,6800,6600,6610,61713,202430.0,30624879.0
2016-10-13,6630,6650,6550,6610,56688,202430.0,30624879.0
2016-10-14,6610,6750,6590,6680,66161,204574.0,30624879.0
2016-10-17,6690,6690,6600,6620,56815,202737.0,30624879.0
2016-10-18,6740,6740,6570,6590,30485,201818.0,30624879.0
2016-10-19,6580,6600,6520,6530,114221,199980.0,30624879.0
2016-10-20,6530,6630,6420,6470,73358,198143.0,30624879.0
2016-10-21,6470,6640,6470,6480,64026,198449.0,30624879.0
2016-10-24,6560,6600,6440,6440,38161,197224.0,30624879.0
2016-10-25,6490,6500,6370,6460,28630,197837.0,30624879.0
2016-10-26,6390,6390,5940,5980,292849,183137.0,30624879.0
2016-10-27,6000,6080,5510,5540,482600,169662.0,30624879.0
2016-10-28,5560,5560,5300,5380,240258,164762.0,30624879.0
2016-10-31,5370,5410,5200,5210,107814,159556.0,30624879.0
2016-11-01,5210,5410,5200,5320,132610,162924.0,30624879.0
2016-11-02,5280,5280,4995,5100,231582,156187.0,30624879.0
2016-11-03,5170,5270,5000,5130,101521,157106.0,30624879.0
2016-11-04,5190,5190,5020,5160,62842,158024.0,30624879.0
2016-11-07,5160,5580,5160,5450,219966,166906.0,30624879.0
2016-11-08,5580,5580,5350,5370,64517,164456.0,30624879.0
2016-11-09,5320,5470,5000,5180,123800,158637.0,30624879.0
2016-11-10,5200,5430,5140,5350,95925,163843.0,30624879.0
2016-11-11,5300,5630,5270,5570,88805,170581.0,30624879.0
2016-11-14,5570,5870,5500,5850,111073,179156.0,30624879.0
2016-11-15,5810,5850,5750,5770,34204,176706.0,30624879.0
2016-11-16,5880,5990,5620,5900,106214,180687.0,30624879.0
2016-11-17,5930,6020,5800,5980,65209,183137.0,30624879.0
2016-11-18,5950,6030,5720,5900,62820,180687.0,30624879.0
2016-11-21,5880,5880,5630,5800,100529,177624.0,30624879.0
2016-11-22,5930,5940,5660,5690,67791,174256.0,30624879.0
2016-11-23,5700,5700,5330,5400,104354,165374.0,30624879.0
2016-11-24,5400,5480,5100,5120,242096,156799.0,30624879.0
2016-11-25,5270,5340,5160,5200,74860,159249.0,30624879.0
2016-11-28,5240,5390,5090,5300,86515,162312.0,30624879.0
2016-11-29,5200,5420,5130,5410,83572,165681.0,30624879.0
2016-11-30,5410,5470,5300,5370,52314,164456.0,30624879.0
2016-12-01,5400,5440,5280,5390,47861,165068.0,30624879.0
2016-12-02,5400,5430,5250,5370,57689,164456.0,30624879.0
2016-12-05,5370,5370,5240,5250,64260,160781.0,30624879.0
2016-12-06,5340,5990,5280,5680,321626,173949.0,30624879.0
2016-12-07,5730,5910,5720,5800,144279,177624.0,30624879.0
2016-12-08,5900,5920,5630,5700,105819,174562.0,30624879.0
2016-12-09,5740,5760,5540,5680,104643,173949.0,30624879.0
2016-12-12,5680,5780,5550,5750,75101,176093.0,30624879.0
2016-12-13,5740,5780,5630,5650,81626,173031.0,30624879.0
2016-12-14,5660,5720,5570,5700,78102,174562.0,30624879.0
2016-12-15,5710,5910,5620,5900,102910,180687.0,30624879.0
2016-12-16,5930,5930,5710,5800,125717,177624.0,30624879.0
2016-12-19,5810,5810,5640,5660,87818,173337.0,30624879.0
2016-12-20,5610,5790,5600,5640,60691,172724.0,30624879.0
2016-12-21,5640,5640,5480,5580,132725,170887.0,30624879.0
2016-12-22,5610,5630,5500,5570,120543,170581.0,30624879.0
2016-12-23,5540,5600,5500,5590,91517,171193.0,30624879.0
2016-12-26,5590,5590,5520,5560,105816,170274.0,30624879.0
2016-12-27,5560,5730,5530,5700,126661,174562.0,30624879.0
2016-12-28,5690,5700,5540,5580,57101,170887.0,30624879.0
2016-12-29,5590,5770,5570,5660,45228,173337.0,30624879.0
2017-01-02,5690,5690,5530,5590,109867,171193.0,30624879.0
2017-01-03,5540,5560,5440,5480,147640,167824.0,30624879.0
2017-01-04,5470,5550,5420,5490,83357,168131.0,30624879.0
2017-01-05,5490,5890,5490,5690,145842,174256.0,30624879.0
2017-01-06,5780,5890,5720,5830,143820,178543.0,30624879.0
2017-01-09,5860,5860,5730,5780,26825,177012.0,30624879.0
2017-01-10,5780,5790,5660,5670,43322,173643.0,30624879.0
2017-01-11,5630,5740,5530,5740,91930,175787.0,30624879.0
2017-01-12,5790,6070,5770,5900,456366,180687.0,30624879.0
2017-01-13,5860,6170,5810,6120,290764,187424.0,30624879.0
2017-01-16,6170,6280,6080,6160,288183,188649.0,30624879.0
2017-01-17,6110,6360,6110,6250,396910,191405.0,30624879.0
2017-01-18,6270,6280,6070,6200,236545,189874.0,30624879.0
2017-01-19,6200,6300,6130,6200,145961,189874.0,30624879.0
2017-01-20,6150,6260,6090,6210,134564,190180.0,30624879.0
2017-01-23,6220,6260,5960,5960,172965,182524.0,30624879.0
2017-01-24,5970,6010,5750,5850,185867,179156.0,30624879.0
2017-01-25,5830,5950,5660,5680,200815,173949.0,30624879.0
2017-01-26,5690,5790,5670,5700,181122,174562.0,30624879.0
2017-01-31,5710,6000,5650,5980,227072,183137.0,30624879.0
2017-02-01,6030,6240,5970,6190,308648,189568.0,30624879.0
2017-02-02,6210,6250,5960,6120,273128,187424.0,30624879.0
2017-02-03,6210,6210,6060,6060,120362,185587.0,30624879.0
2017-02-06,6100,6150,6010,6080,103101,186199.0,30624879.0
2017-02-07,6100,6250,6100,6140,163755,188037.0,30624879.0
2017-02-08,6210,6210,6060,6170,84760,188956.0,30624879.0
2017-02-09,6180,6210,6120,6180,113831,189262.0,30624879.0
2017-02-10,6210,6610,6170,6550,605052,200593.0,30624879.0
2017-02-13,6490,6710,6480,6600,475533,202124.0,30624879.0
2017-02-14,6600,6740,6530,6680,424721,204574.0,30624879.0
2017-02-15,6680,6700,6500,6540,324277,200287.0,30624879.0
2017-02-16,6540,6870,6450,6840,184344,209474.0,30624879.0
2017-02-17,6890,6930,6740,6850,238411,209780.0,30624879.0
2017-02-20,6900,6930,6750,6810,196314,208555.0,30624879.0
2017-02-21,6950,7100,6830,6900,342211,211312.0,30624879.0
2017-02-22,6940,6960,6730,6910,167602,211618.0,30624879.0
2017-02-23,7000,7000,6860,6920,118438,211924.0,30624879.0
2017-02-24,6980,7000,6870,7000,151808,214374.0,30624879.0
2017-02-27,7150,7200,7010,7050,211573,215905.0,30624879.0
2017-02-28,7010,7060,6960,7000,146255,214374.0,30624879.0
2017-03-02,6980,7090,6810,6950,226033,212843.0,30624879.0
2017-03-03,6950,7000,6830,6990,170303,214068.0,30624879.0
2017-03-06,6960,7020,6880,7010,135406,214680.0,30624879.0
2017-03-07,7010,7010,6880,6890,197094,211005.0,30624879.0
2017-03-08,6890,7000,6770,6940,188864,212537.0,30624879.0
2017-03-09,7000,7000,6900,6970,149717,213455.0,30624879.0
2017-03-10,7000,7270,6900,7230,290110,221418.0,30624879.0
2017-03-13,7230,7300,7180,7200,217669,220499.0,30624879.0
2017-03-14,7170,7210,7030,7110,133165,217743.0,30624879.0
2017-03-15,7120,7270,7090,7130,237377,218355.0,30624879.0
2017-03-16,7130,7200,7050,7090,105633,217130.0,30624879.0
2017-03-17,7090,7180,6920,7170,169169,219580.0,30624879.0
2017-03-20,7200,7210,7050,7140,82665,218662.0,30624879.0
2017-03-21,7060,7060,6630,6690,626344,204880.0,30624879.0
2017-03-22,6740,6920,6630,6790,203616,207943.0,30624879.0
2017-03-23,6790,6880,6710,6720,116705,205799.0,30624879.0
2017-03-24,6740,6770,6560,6650,156236,203655.0,30624879.0
2017-03-27,6770,6920,6690,6910,143374,211618.0,30624879.0
2017-03-28,6950,6990,6850,6990,68268,214068.0,30624879.0
2017-03-29,6990,6990,6850,6970,123102,213455.0,30624879.0
2017-03-30,6970,7040,6850,7030,74631,215293.0,30624879.0
2017-03-31,7030,7100,7000,7020,66434,214987.0,30624879.0
2017-04-03,6950,7150,6930,7100,161905,217437.0,30624879.0
2017-04-04,7100,7170,6940,6950,134039,212843.0,30624879.0
