NAVER(035420),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-10-29,7366,7366,7366,7366,20549,327230.0,7437050.0
2002-10-30,8244,8244,8152,8245,853638,366275.0,7437050.0
2002-10-31,8369,8570,7641,7835,1320880,348054.0,7437050.0
2002-11-01,8036,8287,7065,7349,750761,326486.0,7437050.0
2002-11-04,7281,7331,6804,6981,692165,310125.0,7437050.0
2002-11-05,6946,7315,6946,6973,627360,309753.0,7437050.0
2002-11-06,7081,7132,6662,6822,510299,303060.0,7437050.0
2002-11-07,6780,7157,6763,6830,477344,303432.0,7437050.0
2002-11-08,6670,6762,6570,6697,275477,297482.0,7437050.0
2002-11-11,6679,7089,6679,6864,440667,304919.0,7437050.0
2002-11-12,6747,6780,6445,6495,293257,288558.0,7437050.0
2002-11-13,6495,6654,6143,6161,431938,273683.0,7437050.0
2002-11-14,6362,6429,5943,6127,350059,272196.0,7437050.0
2002-11-15,6277,6436,6076,6437,431033,285955.0,7437050.0
2002-11-18,6411,6520,6335,6345,266084,281864.0,7437050.0
2002-11-19,6427,6612,6411,6462,373084,287070.0,7437050.0
2002-11-20,6461,6721,6453,6722,439962,298598.0,7437050.0
2002-11-21,6813,6846,6578,6613,270533,293763.0,7437050.0
2002-11-22,6763,7082,6663,6755,711594,300085.0,7437050.0
2002-11-25,6846,6955,6662,6814,322877,302688.0,7437050.0
2002-11-26,6896,6947,6679,6697,337609,297482.0,7437050.0
2002-11-27,6613,6713,6161,6311,806951,280377.0,7437050.0
2002-11-28,6444,6771,6310,6596,780540,293020.0,7437050.0
2002-11-29,6679,7382,6578,7383,1479611,327974.0,7437050.0
2002-12-02,7549,8169,7281,7584,1485602,336898.0,7437050.0
2002-12-03,7700,7817,7599,7718,512423,342848.0,7437050.0
2002-12-04,7533,8036,7483,7818,574732,347310.0,7437050.0
2002-12-05,7984,8738,7750,8538,1135449,379290.0,7437050.0
2002-12-06,8470,9140,8453,8672,1032996,385239.0,7437050.0
2002-12-09,8838,8888,8420,8488,358735,377058.0,7437050.0
2002-12-10,8320,8839,8287,8722,477347,387470.0,7437050.0
2002-12-11,8822,9459,8755,8973,803784,398626.0,7437050.0
2002-12-12,9190,9843,9156,9660,992035,429118.0,7437050.0
2002-12-13,9726,10161,9575,9660,663596,429118.0,7437050.0
2002-12-16,9541,9809,9240,9459,346720,420193.0,7437050.0
2002-12-17,9743,9760,9291,9408,374268,417962.0,7437050.0
2002-12-18,9307,9642,9273,9375,341299,416475.0,7437050.0
2002-12-20,9274,9459,8973,9023,285080,400857.0,7437050.0
2002-12-23,8973,9174,8362,8705,408308,386727.0,7437050.0
2002-12-24,8705,9107,8688,8956,555890,397882.0,7437050.0
2002-12-26,8940,8973,8370,8370,347899,371852.0,7437050.0
2002-12-27,8169,8537,7951,8237,328805,365903.0,7437050.0
2002-12-30,8202,8235,7298,7450,458753,330949.0,7437050.0
