현대종합상사(011760),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,244464,249853,238689,240614,431740,137500.0,22000000.0
1999-01-05,240614,244464,235224,239844,518330,137060.0,22000000.0
1999-01-06,240615,261789,237920,250239,768670,143000.0,22000000.0
1999-01-07,265253,265638,250239,256783,1216470,146740.0,22000000.0
1999-01-08,249853,257938,242924,252163,733550,144100.0,22000000.0
1999-01-11,254858,277188,254858,269488,1240490,154000.0,22000000.0
1999-01-12,267563,286042,261788,281037,1707430,160600.0,22000000.0
1999-01-13,273337,296051,269872,279112,1410970,159500.0,22000000.0
1999-01-14,269102,271412,243308,249854,605850,142780.0,22000000.0
1999-01-15,246389,269103,242924,262943,956130,150260.0,22000000.0
1999-01-18,273338,277188,257939,257938,894780,147400.0,22000000.0
1999-01-19,261788,261788,254088,257168,524200,146960.0,22000000.0
1999-01-20,250239,257938,242539,244464,534890,139700.0,22000000.0
1999-01-21,235224,240614,211740,211740,498170,121000.0,22000000.0
1999-01-22,211740,211740,200576,204811,737380,193116.0,36300000.0
1999-01-25,208660,209815,200960,202116,461510,190575.0,36300000.0
1999-01-26,205966,207890,192492,192491,568110,181500.0,36300000.0
1999-01-27,192875,199035,188834,194416,551890,183315.0,36300000.0
1999-01-28,196341,207890,196341,204041,643640,192390.0,36300000.0
1999-01-29,204040,205965,199420,205581,662990,193842.0,36300000.0
1999-02-01,207538,209105,202448,204406,508290,189486.0,36300000.0
1999-02-02,201664,214978,201664,211846,778370,196383.0,36300000.0
1999-02-03,211846,218503,207930,218503,906940,202554.0,36300000.0
1999-02-04,219286,222419,210280,214195,703860,198561.0,36300000.0
1999-02-05,209496,213412,206364,209496,467660,194205.0,36300000.0
1999-02-08,209887,215370,205580,205581,385430,190575.0,36300000.0
1999-02-09,203622,205580,196574,200098,550920,185493.0,36300000.0
1999-02-10,202056,202839,193833,199707,651560,185130.0,36300000.0
1999-02-11,202448,206364,198141,202839,438360,188034.0,36300000.0
1999-02-12,205580,210671,204797,209496,637300,194205.0,36300000.0
1999-02-18,213412,215370,207538,207930,496370,192753.0,36300000.0
1999-02-19,203622,207146,199315,207147,523400,192027.0,36300000.0
1999-02-22,203622,210671,202056,202056,466770,187308.0,36300000.0
1999-02-23,205580,207538,197749,200490,423500,185856.0,36300000.0
1999-02-24,202448,204797,195791,195791,350880,181500.0,36300000.0
1999-02-25,194616,198532,189917,191875,516630,177870.0,36300000.0
1999-02-26,192267,195791,191092,195791,711630,181500.0,36300000.0
1999-03-02,197749,201665,195791,198532,902250,184041.0,36300000.0
1999-03-03,199706,200490,194616,195399,686580,181137.0,36300000.0
1999-03-04,198532,199315,195008,197749,763370,183315.0,36300000.0
1999-03-05,190701,198141,190701,194225,347180,180048.0,36300000.0
1999-03-08,199706,209104,196574,207147,1299290,192027.0,36300000.0
1999-03-09,209104,233775,207538,232991,3744400,215985.0,36300000.0
1999-03-10,232992,238865,227118,230642,4191510,213807.0,36300000.0
1999-03-11,232991,232991,218503,225551,2866330,209088.0,36300000.0
1999-03-12,229466,246305,225551,231033,2292370,214170.0,36300000.0
1999-03-15,236907,239256,223201,227118,1039080,210540.0,36300000.0
1999-03-16,227117,234557,226334,227118,645770,210540.0,36300000.0
1999-03-17,229075,232991,221635,223202,686950,206910.0,36300000.0
1999-03-18,217328,225159,211454,211454,405380,196020.0,36300000.0
1999-03-19,211845,225551,211845,219286,560990,203280.0,36300000.0
1999-03-22,227901,240431,227117,231033,1058310,214170.0,36300000.0
1999-03-23,242389,242780,231424,236907,796260,219615.0,36300000.0
1999-03-24,238865,242389,232991,240823,1414390,223245.0,36300000.0
1999-03-25,240822,246696,233382,234949,2822950,217800.0,36300000.0
1999-03-26,234949,239256,231033,236124,702250,218889.0,36300000.0
1999-03-29,236124,240040,229075,232208,822780,215259.0,36300000.0
1999-03-30,235340,245913,234949,240823,1579590,223245.0,36300000.0
1999-03-31,234949,244347,232991,234949,3550800,217800.0,36300000.0
1999-04-01,238864,261968,235732,256486,6992770,237765.0,36300000.0
1999-04-02,258444,278023,258444,272933,9962950,354215.0,50820000.0
1999-04-06,285855,301519,279981,297602,5609930,386232.0,50820000.0
1999-04-07,301519,301519,285855,285855,4287340,370986.0,50820000.0
1999-04-08,278415,285072,266276,285072,3342170,369970.0,50820000.0
1999-04-09,294078,301519,285855,289771,3299150,376068.0,50820000.0
1999-04-12,288595,293686,274890,278023,2216130,360822.0,50820000.0
1999-04-13,274108,287813,270583,275674,2136400,357773.0,50820000.0
1999-04-14,276456,285072,274890,276457,1487220,358789.0,50820000.0
1999-04-15,278024,299952,276457,295644,3483190,383691.0,50820000.0
1999-04-16,295644,299168,270974,279981,2194380,363363.0,50820000.0
1999-04-19,286637,291728,276065,281939,1633150,365904.0,50820000.0
1999-04-20,281939,293687,278023,288988,2213640,375052.0,50820000.0
1999-04-21,288988,301127,281939,283114,3293770,367429.0,50820000.0
1999-04-22,287030,325405,279198,325013,4323420,421806.0,50820000.0
1999-04-23,325013,330887,297602,306609,5404750,397921.0,50820000.0
1999-04-26,317182,346551,309741,338718,6774020,449013.0,51909000.0
1999-04-27,354382,389232,352815,389233,6626830,515975.0,51909000.0
1999-04-28,399414,434656,390799,391582,7900790,519090.0,51909000.0
1999-04-29,379835,387667,348508,348508,2994250,461990.0,51909000.0
1999-04-30,352815,367304,337152,359864,3149910,477044.0,51909000.0
1999-05-03,359865,363780,340677,344592,1877890,456799.0,51909000.0
1999-05-04,344593,352033,337152,350466,1736760,464586.0,51909000.0
1999-05-06,348508,379443,343026,356340,2406800,472372.0,51909000.0
1999-05-07,364172,379443,355556,366521,2845160,485868.0,51909000.0
1999-05-10,362605,365346,350466,352424,2017920,467181.0,51909000.0
1999-05-11,360256,361823,332845,332845,2329930,441226.0,51909000.0
1999-05-12,321098,332845,313657,321097,1646410,425654.0,51909000.0
1999-05-13,314049,324622,294862,294861,1500420,390875.0,51909000.0
1999-05-14,297602,302693,278806,283897,1380990,376340.0,51909000.0
1999-05-17,289380,296820,281548,281547,1006820,373226.0,51909000.0
1999-05-18,281548,289380,272541,285855,923210,378936.0,51909000.0
1999-05-19,285854,289770,278023,279981,920760,371149.0,51909000.0
1999-05-20,280372,281939,258444,258444,1039680,342599.0,51909000.0
1999-05-21,258835,268233,252961,260402,987620,345195.0,51909000.0
1999-05-24,264317,265884,253354,254528,695780,337408.0,51909000.0
1999-05-25,254528,267058,249045,260402,887880,345195.0,51909000.0
1999-05-26,264709,299169,260793,299169,2248880,396585.0,51909000.0
1999-05-27,343809,343809,343809,343809,933580,455761.0,51909000.0
1999-05-28,367696,367696,325013,338718,9562710,449013.0,51909000.0
1999-05-31,330495,347724,325404,327363,3468480,433959.0,51909000.0
1999-06-01,331278,342243,319922,321880,2832150,426692.0,51909000.0
1999-06-02,329321,339893,317965,325013,4227580,430845.0,51909000.0
1999-06-03,328929,350466,321098,332845,5039280,441226.0,51909000.0
1999-06-04,333236,338327,321489,324622,2042710,430326.0,51909000.0
1999-06-07,329321,360256,325405,344592,5380530,456799.0,51909000.0
1999-06-08,344592,390799,337152,372003,9451250,493136.0,51909000.0
1999-06-09,360256,383751,344593,344592,4199910,456799.0,51909000.0
1999-06-10,348508,356340,337543,355948,2442060,471853.0,51909000.0
1999-06-11,372003,389624,362214,371611,5163830,492616.0,51909000.0
1999-06-14,376310,391582,372394,383359,4600310,508189.0,51909000.0
1999-06-15,375527,379835,341068,344201,3234140,456280.0,51909000.0
1999-06-16,348508,354382,342634,347725,2158810,460952.0,51909000.0
1999-06-17,347725,358298,338719,338718,2612150,449013.0,51909000.0
