세아베스틸(001430),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,257008,257008,231307,235590,327420,15382.0,27967992.0
1999-01-05,227024,263433,227024,250582,382410,16361.0,27967992.0
1999-01-06,252724,261291,252724,254866,190520,16641.0,27967992.0
1999-01-07,252724,257008,239874,252724,350650,16501.0,27967992.0
1999-01-08,250583,265575,250583,261291,445570,17060.0,27967992.0
1999-01-11,265575,274142,261291,265574,283460,17340.0,27967992.0
1999-01-12,278425,278425,252724,257007,253300,16781.0,27967992.0
1999-01-13,257008,295559,257008,295559,540880,19298.0,27967992.0
1999-01-14,308409,312693,261291,293417,720180,19158.0,27967992.0
1999-01-15,291276,299842,280567,291275,422600,19018.0,27967992.0
1999-01-18,297701,297701,282709,286992,321930,18739.0,27967992.0
1999-01-19,286992,286992,269858,278425,313750,18179.0,27967992.0
1999-01-20,278425,278425,265575,265574,223210,17340.0,27967992.0
1999-01-21,257008,265575,227024,231307,513430,15103.0,27967992.0
1999-01-22,244157,244157,222740,239873,253790,15662.0,27967992.0
1999-01-25,239874,239874,231307,235590,250710,15382.0,27967992.0
1999-01-26,239874,252724,239874,239873,227800,15662.0,27967992.0
1999-01-27,239874,239874,227024,229165,122430,14963.0,27967992.0
1999-01-28,229165,244157,227024,235590,140420,15382.0,27967992.0
1999-01-29,235591,261291,235591,259149,325110,16921.0,27967992.0
1999-02-01,269858,269858,244157,257007,318060,16781.0,27967992.0
1999-02-02,261291,261291,252724,257007,305420,16781.0,27967992.0
1999-02-03,248441,257008,246299,248440,179200,16221.0,27967992.0
1999-02-04,259150,284850,259150,284850,571160,18599.0,27967992.0
1999-02-05,325543,325543,299842,308409,2114640,20137.0,27967992.0
1999-02-08,263433,263433,263433,263433,26960,17200.0,27967992.0
1999-02-09,224882,224882,224882,224881,86840,14683.0,27967992.0
1999-02-10,192756,192756,192756,192755,119700,12586.0,27967992.0
1999-02-11,173480,184189,173480,175622,4449070,11467.0,27967992.0
1999-02-12,177764,192756,177764,179905,1696910,11747.0,27967992.0
1999-02-18,192756,192756,177764,177763,573610,11607.0,27967992.0
1999-02-19,175622,175622,162772,171338,428250,11187.0,27967992.0
1999-02-22,169197,175622,162772,171338,611100,11187.0,27967992.0
1999-02-23,171339,171339,162772,167055,294000,10908.0,27967992.0
1999-02-24,164913,164913,154205,158488,422270,10348.0,27967992.0
1999-02-25,149921,149921,134929,134929,444940,8810.0,27967992.0
1999-02-26,124220,130646,119937,119936,702530,7831.0,27967992.0
1999-03-02,122079,137071,122079,137070,394290,8950.0,27967992.0
1999-03-03,145638,149921,141354,141354,610200,9229.0,27967992.0
1999-03-04,128504,137071,128504,128503,903000,8390.0,27967992.0
1999-03-05,128504,128504,128504,128503,0,8390.0,27967992.0
1999-03-08,128504,128504,128504,128503,0,,
1999-03-09,128504,128504,128504,128503,0,,
1999-03-10,128504,128504,128504,128503,0,,
1999-03-11,128504,128504,128504,128503,0,,
1999-03-12,128504,128504,128504,128503,0,,
1999-03-15,128504,128504,128504,128503,0,,
1999-03-16,128504,128504,128504,128503,0,,
1999-03-17,128504,128504,128504,128503,0,,
1999-03-18,128504,128504,128504,128503,0,,
1999-03-19,128504,128504,128504,128503,0,,
1999-03-22,128504,128504,128504,128503,0,,
1999-03-23,128504,128504,128504,128503,0,,
1999-03-24,128504,128504,128504,128503,0,,
1999-03-25,128504,128504,128504,128503,0,,
1999-03-26,128504,128504,128504,128503,0,,
1999-03-29,128504,128504,128504,128503,0,,
1999-03-30,128504,128504,128504,128503,0,,
