SK디앤디(210980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-23,34686,45091,34686,45092,1168081,667212.0,9870000.0
2015-06-24,50695,53296,40956,43358,1417333,641550.0,9870000.0
2015-06-25,42757,47293,41756,44959,353704,665238.0,9870000.0
2015-06-26,45758,46225,43024,43024,134417,636615.0,9870000.0
2015-06-29,42357,43024,38955,42624,176077,630693.0,9870000.0
2015-06-30,42357,43357,41223,41690,59026,616875.0,9870000.0
2015-07-01,41823,43224,40489,42490,77983,628719.0,9870000.0
2015-07-02,43357,47626,42757,45892,125898,679056.0,9870000.0
2015-07-03,46025,50828,45825,49161,166275,727419.0,9870000.0
2015-07-06,49027,50028,45892,48494,57525,717549.0,9870000.0
2015-07-07,49094,49694,44091,44492,66124,658329.0,9870000.0
2015-07-08,45358,45358,40689,44692,94253,661290.0,9870000.0
2015-07-09,43424,44624,41823,44425,28955,657342.0,9870000.0
2015-07-10,44358,45292,42623,45159,28303,668199.0,9870000.0
2015-07-13,44358,47093,44358,46960,25527,694848.0,9870000.0
2015-07-14,47159,48560,45959,45959,16916,680043.0,9870000.0
2015-07-15,45758,46492,44158,44158,21891,653394.0,9870000.0
2015-07-16,44158,46292,43424,45626,32047,675108.0,9870000.0
2015-07-17,45358,46959,44091,46493,31681,687939.0,9870000.0
2015-07-20,46892,49894,46559,49428,55344,731367.0,9870000.0
2015-07-21,49961,50428,46759,49695,54546,735315.0,9870000.0
2015-07-22,49694,64502,49094,58233,229074,861651.0,9870000.0
2015-07-23,58232,61567,53763,57966,137057,857703.0,9870000.0
2015-07-24,53696,55364,52095,52096,142904,770847.0,9870000.0
2015-07-27,51362,55030,50094,53363,68952,789600.0,9870000.0
2015-07-28,52829,54630,49360,54497,59096,806379.0,9870000.0
2015-07-29,54497,55364,52362,54697,42053,809340.0,9870000.0
2015-07-30,54630,55030,52496,53897,18625,797496.0,9870000.0
2015-07-31,54830,56831,53496,55765,66027,825132.0,9870000.0
2015-08-03,54764,56765,54764,56031,23902,829080.0,9870000.0
2015-08-04,56031,56031,54163,54564,18700,807366.0,9870000.0
2015-08-05,54697,54697,51628,53363,35424,789600.0,9870000.0
2015-08-06,52829,57565,52162,56432,39318,835002.0,9870000.0
2015-08-07,57298,58899,54697,57566,31878,851781.0,9870000.0
2015-08-10,56965,58032,55030,56098,19020,830067.0,9870000.0
2015-08-11,56898,63568,56164,60967,64680,902118.0,9870000.0
2015-08-12,60967,61634,56164,58166,45465,860664.0,9870000.0
2015-08-13,56965,64302,56965,59633,64329,882378.0,9870000.0
2015-08-17,61167,63702,58899,61968,37708,916923.0,9870000.0
2015-08-18,63235,65703,58632,59367,38615,878430.0,9870000.0
2015-08-19,58766,60967,51895,60767,74273,899157.0,9870000.0
2015-08-20,59299,60700,56765,56765,75261,839937.0,9870000.0
2015-08-21,53429,58966,53096,55298,38485,818223.0,9870000.0
2015-08-24,49094,49761,38755,38755,622745,573447.0,9870000.0
2015-08-25,39955,44891,34219,43825,638631,648459.0,9870000.0
2015-08-26,43824,46225,42357,43891,115141,649446.0,9870000.0
2015-08-27,44158,46492,43691,43958,102679,650433.0,9870000.0
2015-08-28,44224,45492,43624,44358,62485,656355.0,9870000.0
2015-08-31,45025,45025,36553,38288,299727,566538.0,9870000.0
2015-09-01,38755,42557,38488,40556,216437,600096.0,9870000.0
2015-09-02,40089,41223,39355,40423,73280,598122.0,9870000.0
2015-09-03,40422,41623,39355,40689,55078,602070.0,9870000.0
2015-09-04,40422,40822,37154,38021,73077,562590.0,9870000.0
2015-09-07,38554,38554,35286,36621,70429,591273.0,10770000.0
2015-09-08,36687,37420,33818,33819,86050,546039.0,10770000.0
2015-09-09,35219,38554,34552,38288,95910,618198.0,10770000.0
2015-09-10,38021,39355,37020,38755,41028,625737.0,10770000.0
2015-09-11,38421,40689,38421,39756,61687,641892.0,10770000.0
2015-09-14,40022,40556,38888,39022,38524,630045.0,10770000.0
2015-09-15,39021,39822,38088,39089,27280,631122.0,10770000.0
2015-09-16,39221,41489,39221,41357,42862,667740.0,10770000.0
2015-09-17,42290,43357,39622,39622,41608,639738.0,10770000.0
2015-09-18,40022,40956,39688,40823,38693,659124.0,10770000.0
2015-09-21,40822,40822,39155,39489,31216,637584.0,10770000.0
2015-09-22,39889,40089,38755,39022,30987,630045.0,10770000.0
2015-09-23,38688,38955,36753,36954,57089,596658.0,10770000.0
2015-09-24,37687,37821,35686,35753,45841,577272.0,10770000.0
2015-09-25,35886,36353,33418,35020,122647,565425.0,10770000.0
2015-09-30,34152,35486,33685,35286,60691,569733.0,10770000.0
2015-10-01,35486,35820,34419,35553,52619,574041.0,10770000.0
2015-10-02,35353,35619,34686,34686,21533,560040.0,10770000.0
2015-10-05,34952,38354,34952,37955,88874,612813.0,10770000.0
2015-10-06,38288,38354,36353,36687,36496,592350.0,10770000.0
2015-10-07,36687,37220,35219,35687,26211,576195.0,10770000.0
2015-10-08,35753,35953,34085,34619,61132,558963.0,10770000.0
2015-10-12,35886,37621,35820,36621,85414,591273.0,10770000.0
2015-10-13,36620,36687,34552,34886,50267,563271.0,10770000.0
2015-10-14,34686,35219,34352,34553,32833,557886.0,10770000.0
2015-10-15,34552,36620,34552,36554,51631,590196.0,10770000.0
2015-10-16,37220,39422,37020,39222,146960,633276.0,10770000.0
2015-10-19,40489,42290,40422,41090,107331,663432.0,10770000.0
2015-10-20,41356,41823,39822,41290,47681,666663.0,10770000.0
2015-10-21,40689,42823,40422,42024,51312,678510.0,10770000.0
2015-10-22,41823,42823,41356,41690,50551,673125.0,10770000.0
2015-10-23,42690,43024,40822,42891,42296,692511.0,10770000.0
2015-10-26,43357,43691,41956,43224,35143,697896.0,10770000.0
2015-10-27,43090,43157,41356,42157,37607,680664.0,10770000.0
2015-10-28,41823,43957,41556,43825,24704,707589.0,10770000.0
2015-10-29,44891,44891,43357,44091,18616,711897.0,10770000.0
2015-10-30,44091,45225,42957,43558,35009,703281.0,10770000.0
2015-11-02,42890,43557,41623,42157,38915,680664.0,10770000.0
2015-11-03,42156,43424,40889,43358,53983,700050.0,10770000.0
2015-11-04,43357,46492,42690,45892,79994,740976.0,10770000.0
2015-11-05,46225,46225,44224,44892,45921,724821.0,10770000.0
2015-11-06,44224,44825,43090,44425,37972,717282.0,10770000.0
2015-11-09,45025,45025,41823,42290,45739,682818.0,10770000.0
2015-11-10,41489,41489,39221,39489,52801,637584.0,10770000.0
2015-11-11,38821,41156,38821,40689,37623,656970.0,10770000.0
2015-11-12,40889,42290,40089,41757,16754,674202.0,10770000.0
2015-11-13,40889,42423,40355,42024,19773,678510.0,10770000.0
2015-11-16,41156,43090,41022,42757,20594,690357.0,10770000.0
2015-11-17,43557,44891,42490,44892,29848,724821.0,10770000.0
2015-11-18,45091,45091,43090,43091,23702,695742.0,10770000.0
2015-11-19,43224,45292,42423,43558,15902,703281.0,10770000.0
2015-11-20,43891,43957,41623,42424,25705,684972.0,10770000.0
2015-11-23,43024,43090,41223,41890,22660,676356.0,10770000.0
2015-11-24,41690,43357,41423,43224,29756,697896.0,10770000.0
2015-11-25,43224,44224,42823,43624,33939,704358.0,10770000.0
2015-11-26,43891,46225,43357,46159,50702,745284.0,10770000.0
2015-11-27,46025,48627,45425,47160,43164,761439.0,10770000.0
2015-11-30,47359,47693,44891,46493,438156,750669.0,10770000.0
2015-12-01,46025,48360,45225,46226,62046,746361.0,10770000.0
2015-12-02,46626,46692,45025,45626,24382,736668.0,10770000.0
2015-12-03,45091,46492,44691,46293,17075,747438.0,10770000.0
2015-12-04,45358,46359,45358,46359,12680,748515.0,10770000.0
2015-12-07,46826,47293,45825,45959,10461,742053.0,10770000.0
2015-12-08,46159,46559,44624,45892,22115,740976.0,10770000.0
2015-12-09,46292,46292,44691,45559,19959,735591.0,10770000.0
2015-12-10,45358,46025,41956,45759,54734,738822.0,10770000.0
2015-12-11,45292,46025,44891,45292,17497,731283.0,10770000.0
2015-12-14,44024,44024,43157,43158,21923,696819.0,10770000.0
2015-12-15,42557,45292,42557,44959,15068,725898.0,10770000.0
2015-12-16,46025,46225,44291,45225,20482,730206.0,10770000.0
2015-12-17,45358,45892,45025,45292,9555,731283.0,10770000.0
2015-12-18,45292,45825,44825,45359,10170,732360.0,10770000.0
2015-12-21,44825,45225,43224,44425,82752,717282.0,10770000.0
2015-12-22,43757,44358,42557,43624,38325,704358.0,10770000.0
2015-12-23,43824,43824,42557,42891,32677,692511.0,10770000.0
2015-12-24,42757,43157,42223,42290,313886,682818.0,10770000.0
2015-12-28,42690,42690,41223,41423,56009,668817.0,10770000.0
2015-12-29,41489,42557,41289,41957,48924,677433.0,10770000.0
2015-12-30,41956,43557,41556,43358,58221,700050.0,10770000.0
2016-01-04,43357,43691,42223,42224,22137,681741.0,10770000.0
2016-01-05,41356,42823,41356,42024,25535,678510.0,10770000.0
2016-01-06,42023,42823,41089,42090,33117,679587.0,10770000.0
2016-01-07,41556,42490,40222,40223,25419,649431.0,10770000.0
2016-01-08,39355,42690,38421,41023,44671,662355.0,10770000.0
2016-01-11,40622,40889,38554,40089,19329,647277.0,10770000.0
2016-01-12,40089,41223,39755,40823,13745,659124.0,10770000.0
2016-01-13,40822,43491,39955,42891,76498,692511.0,10770000.0
2016-01-14,42423,43290,42023,43291,11457,698973.0,10770000.0
2016-01-15,43357,43691,42757,43291,26036,698973.0,10770000.0
2016-01-18,42090,43957,41423,43891,38554,708666.0,10770000.0
2016-01-19,43557,44558,43157,44158,21429,712974.0,10770000.0
2016-01-20,44158,44358,41956,43758,23461,706512.0,10770000.0
2016-01-21,42957,43891,42890,43158,6889,696819.0,10770000.0
2016-01-22,43024,43691,42223,42757,21288,690357.0,10770000.0
2016-01-25,43024,43357,42090,42224,15285,681741.0,10770000.0
2016-01-26,42090,42690,41956,42557,9108,687126.0,10770000.0
2016-01-27,42290,43157,41823,42757,13900,690357.0,10770000.0
2016-01-28,42957,42957,41356,42024,28852,678510.0,10770000.0
2016-01-29,41956,43557,41823,43424,27027,701127.0,10770000.0
2016-02-01,43557,43757,42357,42357,16936,683895.0,10770000.0
2016-02-02,42890,43357,41623,42624,19843,688203.0,10770000.0
2016-02-03,42623,42757,41756,41957,14621,677433.0,10770000.0
2016-02-04,41623,43024,40289,42424,44476,684972.0,10770000.0
2016-02-05,42690,42690,40822,41690,28336,673125.0,10770000.0
2016-02-11,39889,41223,39889,40689,6279,656970.0,10770000.0
2016-02-12,40089,40622,37621,38088,21349,614967.0,10770000.0
2016-02-15,38821,39288,37287,39155,34797,632199.0,10770000.0
2016-02-16,39155,39755,38488,39155,24306,632199.0,10770000.0
2016-02-17,39155,39288,38154,39089,19590,631122.0,10770000.0
2016-02-18,38888,39221,37354,39022,69295,630045.0,10770000.0
2016-02-19,38688,39221,38221,38822,14713,626814.0,10770000.0
2016-02-22,40022,40022,38354,39889,36722,644046.0,10770000.0
2016-02-23,40022,41756,40022,41156,37198,664509.0,10770000.0
2016-02-24,41223,42823,40756,42691,30356,689280.0,10770000.0
2016-02-25,42223,42690,41623,42357,13224,683895.0,10770000.0
2016-02-26,42290,42757,41489,42691,14936,689280.0,10770000.0
2016-02-29,42623,42623,41356,42424,23371,684972.0,10770000.0
2016-03-02,42423,43157,41690,43158,40005,696819.0,10770000.0
2016-03-03,43157,43357,42223,42424,19863,684972.0,10770000.0
2016-03-04,42023,42623,41756,42357,16558,683895.0,10770000.0
2016-03-07,42023,42690,41690,42490,9282,686049.0,10770000.0
2016-03-08,42023,42557,41690,42157,11897,680664.0,10770000.0
2016-03-09,42156,43824,42090,43825,33766,707589.0,10770000.0
2016-03-10,43891,44758,43290,43891,28062,708666.0,10770000.0
2016-03-11,43557,43891,42690,43024,26204,694665.0,10770000.0
2016-03-14,42623,43290,41356,42157,32326,680664.0,10770000.0
2016-03-15,41823,42490,41756,42157,25258,680664.0,10770000.0
2016-03-16,42156,42156,41489,41957,18557,677433.0,10770000.0
2016-03-17,41956,42290,41223,41290,19118,666663.0,10770000.0
2016-03-18,41223,41556,40355,41156,19795,664509.0,10770000.0
2016-03-21,41156,41489,39622,41223,35375,665586.0,10770000.0
2016-03-22,40556,40689,39688,39689,22862,640815.0,10770000.0
2016-03-23,40022,40489,39288,40089,24907,647277.0,10770000.0
2016-03-24,39822,40022,39288,39489,12252,637584.0,10770000.0
2016-03-25,39088,39555,39021,39289,8281,634353.0,10770000.0
2016-03-28,38888,39488,38888,39022,8028,630045.0,10770000.0
2016-03-29,39021,39021,38288,38622,30210,623583.0,10770000.0
2016-03-30,38888,39021,37554,38355,32593,619275.0,10770000.0
2016-03-31,38688,38688,37154,38221,46242,617121.0,10770000.0
2016-04-01,38288,38288,36687,37488,57892,605274.0,10770000.0
2016-04-04,37554,39155,37087,39155,36336,632199.0,10770000.0
2016-04-05,38955,38955,37821,38088,24983,614967.0,10770000.0
2016-04-06,37954,38088,37020,37554,31500,606351.0,10770000.0
2016-04-07,37420,37420,36487,36487,30065,589119.0,10770000.0
2016-04-08,36553,38221,34552,38021,72616,613890.0,10770000.0
2016-04-11,37887,37887,36086,36621,31185,591273.0,10770000.0
2016-04-12,36553,36553,35486,35620,40915,575118.0,10770000.0
2016-04-14,35619,36287,35219,35620,22861,575118.0,10770000.0
2016-04-15,35286,36086,34752,35887,33372,579426.0,10770000.0
2016-04-18,35686,36353,35086,35620,31824,575118.0,10770000.0
2016-04-19,35886,36954,35219,36687,28556,592350.0,10770000.0
2016-04-20,36753,36753,35753,36020,28573,581580.0,10770000.0
2016-04-21,36020,37354,36020,37354,29267,603120.0,10770000.0
2016-04-22,37354,37554,36687,36821,18538,594504.0,10770000.0
2016-04-25,37020,37554,36620,37221,16654,600966.0,10770000.0
2016-04-26,37287,37554,36620,36754,20476,593427.0,10770000.0
2016-04-27,36753,37420,36220,36754,22246,593427.0,10770000.0
2016-04-28,37287,38755,36687,38088,30835,614967.0,10770000.0
2016-04-29,38221,38688,37487,38221,12692,617121.0,10770000.0
2016-05-02,38221,38488,37087,37221,13243,600966.0,10770000.0
2016-05-03,37287,37287,36220,36821,19428,594504.0,10770000.0
2016-05-04,36820,36820,36286,36554,7858,590196.0,10770000.0
2016-05-09,36220,36687,36220,36687,10054,592350.0,10770000.0
2016-05-10,36353,37621,36286,37621,14295,607428.0,10770000.0
2016-05-11,37687,37887,37020,37688,11134,608505.0,10770000.0
2016-05-12,37354,37821,37154,37688,7693,608505.0,10770000.0
2016-05-13,38221,38221,37154,37821,12060,610659.0,10770000.0
2016-05-16,37687,38088,36954,37754,16924,609582.0,10770000.0
2016-05-17,37887,38154,37287,38088,17891,614967.0,10770000.0
2016-05-18,38088,38354,37754,37955,9584,612813.0,10770000.0
2016-05-19,38088,38088,37087,37354,9635,603120.0,10770000.0
2016-05-20,37154,37887,36620,37221,12445,600966.0,10770000.0
2016-05-23,37220,37354,36687,36821,7546,594504.0,10770000.0
2016-05-24,36887,36954,36153,36420,11379,588042.0,10770000.0
2016-05-25,36353,37487,35886,37421,14573,604197.0,10770000.0
2016-05-26,37554,38021,37020,37754,9110,609582.0,10770000.0
2016-05-27,37354,38354,37354,38088,9134,614967.0,10770000.0
2016-05-30,38154,38221,37354,37754,5098,609582.0,10770000.0
2016-05-31,37287,38154,36887,38155,18235,616044.0,10770000.0
2016-06-01,38021,38288,37554,37554,11784,606351.0,10770000.0
2016-06-02,37287,37754,36687,37154,8322,599889.0,10770000.0
2016-06-03,37154,37487,36753,37288,5379,602043.0,10770000.0
2016-06-07,37020,38088,37020,38021,5962,613890.0,10770000.0
2016-06-08,38021,39088,37687,38955,17987,628968.0,10770000.0
2016-06-09,38755,39355,38755,38822,13332,626814.0,10770000.0
2016-06-10,38821,39955,38688,39689,21885,640815.0,10770000.0
2016-06-13,39955,40355,38821,40156,10710,648354.0,10770000.0
2016-06-14,40155,40489,39088,39756,15703,641892.0,10770000.0
2016-06-15,40022,40422,39021,39155,13969,632199.0,10770000.0
2016-06-16,39488,39488,38288,39155,12901,632199.0,10770000.0
2016-06-17,39155,39755,37287,37955,31879,612813.0,10770000.0
2016-06-20,37954,38221,37420,38221,11441,617121.0,10770000.0
2016-06-21,38221,38221,37154,37354,28635,603120.0,10770000.0
2016-06-22,37154,38221,36887,37754,11993,609582.0,10770000.0
2016-06-23,37954,37954,36220,36954,22641,596658.0,10770000.0
2016-06-24,36954,37220,34085,34953,33007,564348.0,10770000.0
2016-06-27,34419,34886,34019,34753,12627,561117.0,10770000.0
2016-06-28,34752,35419,34219,35420,11292,571887.0,10770000.0
2016-06-29,36220,36887,35953,36154,21570,583734.0,10770000.0
2016-06-30,36620,36954,36153,36821,16962,594504.0,10770000.0
2016-07-01,36553,37687,36553,37554,10694,606351.0,10770000.0
2016-07-04,37354,38288,37220,38088,14391,614967.0,10770000.0
2016-07-05,37887,37887,37487,37754,7964,609582.0,10770000.0
2016-07-06,37354,37354,36020,36154,16667,583734.0,10770000.0
2016-07-07,36487,36487,35019,36020,25302,581580.0,10770000.0
2016-07-08,35686,35753,34819,35086,22131,566502.0,10770000.0
2016-07-11,35019,35086,34552,34753,20340,561117.0,10770000.0
2016-07-12,34485,35419,34419,35220,18348,568656.0,10770000.0
2016-07-13,35019,35286,34485,35220,23034,568656.0,10770000.0
2016-07-14,34819,35219,34686,34686,20046,560040.0,10770000.0
2016-07-15,34686,34752,33885,34152,23512,551424.0,10770000.0
2016-07-18,34152,34152,33485,33485,25291,540654.0,10770000.0
2016-07-19,33685,34019,33118,33252,25446,536884.0,10770000.0
2016-07-20,33118,33418,32684,33185,24008,535808.0,10770000.0
2016-07-21,33085,33685,32684,32685,33133,527730.0,10770000.0
2016-07-22,32618,34019,32151,33686,24030,543885.0,10770000.0
2016-07-25,33418,34219,33185,33752,16672,544962.0,10770000.0
2016-07-26,33752,34352,32718,33085,40388,534192.0,10770000.0
2016-07-27,33418,33418,32718,32985,10512,532576.0,10770000.0
2016-07-28,32684,34152,32684,33886,28072,547116.0,10770000.0
2016-07-29,33885,34352,33218,33619,17589,542808.0,10770000.0
2016-08-01,34219,34819,33885,34419,39051,555732.0,10770000.0
2016-08-02,34752,35086,34019,34820,18499,562194.0,10770000.0
2016-08-03,34619,34686,33618,33686,19631,543885.0,10770000.0
2016-08-04,33885,33952,33485,33819,10197,546039.0,10770000.0
2016-08-05,33552,34152,33352,33552,8899,541731.0,10770000.0
2016-08-08,33485,33818,33185,33352,8309,538500.0,10770000.0
2016-08-09,33218,33552,32818,33252,13370,536884.0,10770000.0
2016-08-10,33151,33685,33051,33119,8806,534730.0,10770000.0
2016-08-11,33051,33618,32684,33552,15357,541731.0,10770000.0
2016-08-12,33352,33818,33218,33419,12683,539577.0,10770000.0
2016-08-16,33418,33552,33151,33185,9345,535808.0,10770000.0
2016-08-17,32985,33085,32718,32852,10718,530422.0,10770000.0
2016-08-18,32951,33185,32518,32952,10491,532038.0,10770000.0
2016-08-19,32951,33418,32885,32918,9411,531500.0,10770000.0
2016-08-22,32951,33185,32684,32685,8559,527730.0,10770000.0
2016-08-23,32551,32885,32351,32351,12162,522345.0,10770000.0
2016-08-24,32184,32918,32051,32885,11135,530961.0,10770000.0
