한국제지(002300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,17000,17300,16700,17100,41950,85585.0,5004949.0
1999-01-05,17300,18750,16900,18400,92310,92091.0,5004949.0
1999-01-06,18400,19500,18000,19100,102460,95595.0,5004949.0
1999-01-07,19200,19300,18150,18800,89610,94093.0,5004949.0
1999-01-08,18800,18900,18300,18500,26020,92592.0,5004949.0
1999-01-11,18600,19400,18500,19300,86550,96596.0,5004949.0
1999-01-12,19500,19950,18800,19950,67520,99849.0,5004949.0
1999-01-13,19500,20000,19150,19800,22000,99098.0,5004949.0
1999-01-14,19400,19400,18500,18600,55090,93092.0,5004949.0
1999-01-15,18700,18950,18400,18700,23420,93593.0,5004949.0
1999-01-18,20500,20500,18200,19100,49710,95595.0,5004949.0
1999-01-19,19000,19000,18300,18300,25160,91591.0,5004949.0
1999-01-20,18500,18700,18000,18300,35720,91591.0,5004949.0
1999-01-21,18350,18350,17100,18100,35590,90590.0,5004949.0
1999-01-22,18000,18000,16550,17000,13320,85084.0,5004949.0
1999-01-25,16500,16500,15500,16000,9660,80079.0,5004949.0
1999-01-26,16000,16900,15900,15900,9580,79579.0,5004949.0
1999-01-27,15900,16500,15800,16500,7750,82582.0,5004949.0
1999-01-28,16500,16700,16200,16400,3680,82081.0,5004949.0
1999-01-29,16400,16600,16300,16500,5710,82582.0,5004949.0
1999-02-01,16500,17200,16500,16800,10780,84083.0,5004949.0
1999-02-02,17000,17300,16350,16400,11430,82081.0,5004949.0
1999-02-03,16700,16700,16000,16400,16240,82081.0,5004949.0
1999-02-04,16600,16600,15800,16000,8080,80079.0,5004949.0
1999-02-05,16100,16100,15500,16000,18130,80079.0,5004949.0
1999-02-08,16000,16400,15800,15900,3540,79579.0,5004949.0
1999-02-09,15100,15500,14550,15300,13970,76576.0,5004949.0
1999-02-10,15300,15500,14600,15500,13870,77577.0,5004949.0
1999-02-11,15300,15700,15300,15300,10230,76576.0,5004949.0
