대성홀딩스(016710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-12-22,3645,3645,3645,3645,26700,58344.0,2860000.0
1999-12-23,3538,4109,3216,3323,489200,53196.0,2860000.0
1999-12-24,3663,3663,3145,3144,198250,50336.0,2860000.0
1999-12-27,3163,3234,2859,2858,391050,45760.0,2860000.0
1999-12-28,2787,2948,2725,2858,210000,45760.0,2860000.0
2000-01-04,2716,2948,2716,2841,160250,45474.0,2860000.0
2000-01-05,2894,2894,2725,2876,104850,46046.0,2860000.0
2000-01-06,2859,2877,2787,2858,146250,45760.0,2860000.0
2000-01-07,2815,2913,2734,2734,132350,43758.0,2860000.0
2000-01-10,2841,2984,2770,2832,153050,45331.0,2860000.0
2000-01-11,2966,3127,2913,3019,192750,48334.0,2860000.0
2000-01-12,3055,3091,2895,2948,61200,47190.0,2860000.0
2000-01-13,2859,3110,2859,3073,115450,49192.0,2860000.0
2000-01-14,3038,3100,2957,3091,91550,49478.0,2860000.0
2000-01-17,3145,3145,3046,3046,56500,48763.0,2860000.0
2000-01-18,3046,3216,3002,3046,99350,48763.0,2860000.0
2000-01-19,3181,3181,2913,2993,78700,47905.0,2860000.0
2000-01-20,3038,3038,2904,3019,37250,48334.0,2860000.0
2000-01-21,3020,3038,3002,3002,45450,48048.0,2860000.0
2000-01-24,3002,3074,3002,3002,35350,48048.0,2860000.0
2000-01-25,2949,2967,2913,2912,35700,46618.0,2860000.0
2000-01-26,2912,2948,2912,2948,31800,47190.0,2860000.0
2000-01-27,2966,3038,2949,3002,23200,48048.0,2860000.0
2000-01-28,3038,3038,2967,2993,26050,47905.0,2860000.0
2000-01-31,2993,3127,2993,3055,32250,48906.0,2860000.0
2000-02-01,3055,3323,3055,3216,73750,51480.0,2860000.0
2000-02-02,3216,3216,3127,3216,32400,51480.0,2860000.0
2000-02-03,3288,3431,3234,3377,77050,54054.0,2860000.0
2000-02-07,3306,3395,3252,3359,28150,53768.0,2860000.0
2000-02-08,3359,3395,3234,3233,29300,51766.0,2860000.0
2000-02-09,3306,3306,3127,3126,39100,50050.0,2860000.0
2000-02-10,3127,3127,3073,3126,18900,50050.0,2860000.0
2000-02-11,3163,3207,3020,3118,57950,49907.0,2860000.0
2000-02-14,2949,3109,2913,2912,31250,46618.0,2860000.0
2000-02-15,2913,2949,2913,2921,33300,46761.0,2860000.0
2000-02-16,2859,2966,2859,2965,19000,47476.0,2860000.0
2000-02-17,2966,3001,2966,2983,2450,47762.0,2860000.0
2000-02-18,2984,3001,2984,2983,23750,47762.0,2860000.0
2000-02-21,2984,3002,2841,2858,22150,45760.0,2860000.0
