한샘(009240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-07-16,6020,6920,6000,6920,562319,146272.0,21137500.0
2002-07-18,7950,7950,7950,7950,62853,168043.0,21137500.0
2002-07-19,9140,9140,8830,9140,2406392,193197.0,21137500.0
2002-07-22,9700,10500,9500,10500,2124721,221944.0,21137500.0
2002-07-23,12050,12050,11650,12050,1605507,254707.0,21137500.0
2002-07-24,13150,13800,10550,10950,6552258,231456.0,21137500.0
2002-07-25,12000,12200,9950,10350,2128356,218773.0,21137500.0
2002-07-26,10500,11900,9620,11900,2692150,251536.0,21137500.0
2002-07-29,12300,12700,10150,10150,2427774,214546.0,21137500.0
2002-07-30,9900,10550,9730,9800,1349033,207148.0,21137500.0
2002-07-31,9800,11050,9710,9810,1723353,207359.0,21137500.0
2002-08-01,9820,10500,9820,10150,1203539,214546.0,21137500.0
2002-08-02,9950,10500,9870,10100,912996,213489.0,21137500.0
2002-08-05,9900,10650,9750,9760,1237247,206302.0,21137500.0
2002-08-06,9760,9870,9510,9800,567936,207148.0,21137500.0
2002-08-07,10000,10900,9850,10500,1513247,221944.0,21137500.0
2002-08-08,10400,10600,10100,10200,385210,215602.0,21137500.0
2002-08-09,10400,10600,9950,9950,445870,210318.0,21137500.0
2002-08-12,9850,10000,9780,9860,273800,208416.0,21137500.0
2002-08-13,10000,10300,9800,9920,365170,209684.0,21137500.0
2002-08-14,9800,10300,9520,9660,713605,204188.0,21137500.0
2002-08-16,9850,11100,9830,11100,1960436,234626.0,21137500.0
2002-08-19,11700,11700,10500,10850,1307005,229342.0,21137500.0
2002-08-20,10650,11100,10500,10600,914545,224058.0,21137500.0
2002-08-21,10700,10950,10150,10300,1089250,217716.0,21137500.0
2002-08-22,10350,10650,10100,10500,722560,221944.0,21137500.0
2002-08-23,10600,11850,10500,10550,2722749,223001.0,21137500.0
2002-08-26,10400,10650,10150,10150,524401,214546.0,21137500.0
2002-08-27,9920,10050,9750,9900,767770,209261.0,21137500.0
2002-08-28,9710,10450,9710,10000,946182,211375.0,21137500.0
2002-08-29,10300,10300,10000,10050,578000,212432.0,21137500.0
2002-08-30,10050,10500,10000,10050,667080,236516.0,23533928.0
2002-09-02,10100,10600,10000,10500,942215,247106.0,23533928.0
2002-09-03,10600,11050,10400,10900,1497140,256520.0,23533928.0
2002-09-04,10700,11250,10700,11000,1038335,258873.0,23533928.0
2002-09-05,11300,12100,11300,11300,1631314,265933.0,23533928.0
2002-09-06,11750,12950,11600,12950,2768167,304764.0,23533928.0
2002-09-09,13900,14850,13550,14850,4037414,349479.0,23533928.0
2002-09-10,15250,15550,12950,13500,3558780,317708.0,23533928.0
2002-09-11,13700,14200,13100,14000,1641868,329475.0,23533928.0
2002-09-12,13700,14000,13200,13200,1032297,310648.0,23533928.0
2002-09-13,12700,13850,12700,13000,1141585,305941.0,23533928.0
2002-09-16,13250,13600,12650,13600,1416613,320061.0,23533928.0
2002-09-17,14000,15600,13950,15600,3210389,367129.0,23533928.0
2002-09-18,15600,15700,13300,13300,3739790,313001.0,23533928.0
2002-09-19,13150,13200,12100,12800,2068555,301234.0,23533928.0
2002-09-23,12700,13400,12300,12350,1568926,290644.0,23533928.0
2002-09-24,12050,12800,11700,12050,1735995,283584.0,23533928.0
2002-09-25,11900,12350,10250,11300,2120554,265933.0,23533928.0
2002-09-26,11850,12050,11350,11450,1218391,269463.0,23533928.0
2002-09-27,11700,12350,11650,12100,1843351,284761.0,23533928.0
2002-09-30,11800,11950,11150,11200,738857,263580.0,23533928.0
2002-10-01,10800,11550,10800,11450,773885,269463.0,23533928.0
2002-10-02,11900,12350,11350,11350,1273840,267110.0,23533928.0
2002-10-04,11500,13050,11450,13050,2569030,307118.0,23533928.0
2002-10-07,13550,13700,12250,12750,1718270,300058.0,23533928.0
2002-10-08,13050,14400,12800,13600,2786178,320061.0,23533928.0
2002-10-09,13650,13800,12500,12500,992005,294174.0,23533928.0
2002-10-10,12200,13350,12200,12800,1981678,301234.0,23533928.0
2002-10-11,13100,13500,11700,12250,1116181,288291.0,23533928.0
2002-10-14,12900,13050,12600,12750,773951,300058.0,23533928.0
2002-10-15,13100,14150,13100,13700,1791066,322415.0,23533928.0
2002-10-16,13950,14150,13100,13400,986424,315355.0,23533928.0
2002-10-17,13650,14100,13350,14100,1011321,331828.0,23533928.0
2002-10-18,14350,14800,14100,14100,1162429,331828.0,23533928.0
2002-10-21,14000,14150,13000,13000,831319,305941.0,23533928.0
2002-10-22,13300,13600,12850,13500,812486,317708.0,23533928.0
2002-10-23,13700,14150,13600,13600,1197818,320061.0,23533928.0
2002-10-24,13900,15000,13850,14900,1879789,350656.0,23533928.0
2002-10-25,14750,16200,14500,15100,2567908,355362.0,23533928.0
2002-10-28,15550,15550,14750,15100,1524678,355362.0,23533928.0
2002-10-29,14900,15100,14100,14150,941477,333005.0,23533928.0
2002-10-30,14050,14600,13500,13700,888436,322415.0,23533928.0
2002-10-31,14000,14500,13600,14400,1198960,338889.0,23533928.0
2002-11-01,14150,14700,13900,14000,692970,329475.0,23533928.0
2002-11-04,14300,14600,14100,14400,534563,338889.0,23533928.0
2002-11-05,14400,14900,14200,14300,642839,336535.0,23533928.0
2002-11-06,14600,14700,14300,14400,421493,338889.0,23533928.0
2002-11-07,14400,14550,13900,13900,567080,327122.0,23533928.0
2002-11-08,13700,14250,13700,14050,445624,330652.0,23533928.0
2002-11-11,14000,14150,13400,13500,385265,317708.0,23533928.0
2002-11-12,13200,13350,13150,13250,213520,311825.0,23533928.0
2002-11-13,13400,14300,13400,13950,931127,328298.0,23533928.0
2002-11-14,13900,14050,13550,13750,254570,323592.0,23533928.0
2002-11-15,14100,14100,13700,13850,324180,325945.0,23533928.0
2002-11-18,13700,13850,13450,13450,242650,316531.0,23533928.0
2002-11-19,13400,13650,13400,13500,176131,317708.0,23533928.0
2002-11-20,13350,13500,13200,13300,328199,313001.0,23533928.0
2002-11-21,13550,13550,12850,13200,480556,310648.0,23533928.0
2002-11-22,13400,13450,13100,13100,293763,308294.0,23533928.0
2002-11-25,13100,13500,13100,13250,294759,311825.0,23533928.0
2002-11-26,13350,13750,13300,13500,347810,317708.0,23533928.0
2002-11-27,13550,13550,12750,12900,647615,303588.0,23533928.0
2002-11-28,13100,13100,12250,12900,805099,303588.0,23533928.0
2002-11-29,12800,13050,12550,12900,450140,303588.0,23533928.0
2002-12-02,12750,13400,12750,13350,668390,314178.0,23533928.0
2002-12-03,13400,14700,13350,13850,1313240,325945.0,23533928.0
2002-12-04,13850,14150,13700,13750,548257,323592.0,23533928.0
2002-12-05,14100,14250,13500,13600,494929,320061.0,23533928.0
2002-12-06,13600,13850,13050,13100,313600,308294.0,23533928.0
2002-12-09,13000,13250,12900,12950,291383,304764.0,23533928.0
2002-12-10,12600,12800,12600,12700,257470,298881.0,23533928.0
2002-12-11,12750,13400,12600,13000,508930,305941.0,23533928.0
2002-12-12,13000,13200,12850,12850,176020,302411.0,23533928.0
