제일기획(030000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,2136,2324,2136,2200,57670,84528.0,1440000.0
1999-01-05,2230,2256,2151,2256,54950,86688.0,1440000.0
1999-01-06,2286,2323,2211,2226,71780,85536.0,1440000.0
1999-01-07,2243,2397,2209,2306,98000,88560.0,1440000.0
1999-01-08,2321,2471,2321,2399,98750,92160.0,1440000.0
1999-01-11,2471,2528,2340,2429,70540,93312.0,1440000.0
1999-01-12,2427,2472,2322,2362,39910,90720.0,1440000.0
1999-01-13,2305,2343,2249,2249,47750,86400.0,1440000.0
1999-01-14,2181,2215,2099,2174,41100,83520.0,1440000.0
1999-01-15,2136,2211,2103,2174,30060,83520.0,1440000.0
1999-01-18,2245,2249,2174,2174,54310,83520.0,1440000.0
1999-01-19,2190,2434,2190,2287,99490,87840.0,1440000.0
1999-01-20,2305,2323,2211,2211,33170,84960.0,1440000.0
1999-01-21,2193,2316,2133,2133,73040,81936.0,1440000.0
1999-01-22,2093,2093,1947,1950,37580,74880.0,1440000.0
1999-01-25,1949,2024,1836,1870,29880,71856.0,1440000.0
1999-01-26,1892,1941,1795,1795,37810,68976.0,1440000.0
1999-01-27,1779,1854,1761,1821,21370,69984.0,1440000.0
1999-01-28,1756,1984,1722,1931,121850,74160.0,1440000.0
1999-01-29,1934,1979,1874,1915,91990,73584.0,1440000.0
1999-02-01,1905,2134,1857,2099,233920,161280.0,2880000.0
1999-02-02,2092,2152,1987,1994,161560,153216.0,2880000.0
1999-02-03,1993,1997,1911,1911,85160,146880.0,2880000.0
1999-02-04,1890,2055,1890,2024,115250,155520.0,2880000.0
1999-02-05,2057,2211,2008,2136,252720,164160.0,2880000.0
1999-02-08,2153,2239,2097,2099,140280,161280.0,2880000.0
1999-02-09,2063,2090,1947,1950,92000,149760.0,2880000.0
1999-02-10,1946,1984,1894,1953,63550,150048.0,2880000.0
1999-02-11,1966,2033,1947,1950,66990,149760.0,2880000.0
1999-02-12,1965,2010,1947,1987,57990,152640.0,2880000.0
1999-02-18,2005,2005,1878,1904,44190,146304.0,2880000.0
1999-02-19,1874,1874,1761,1855,57550,142560.0,2880000.0
1999-02-22,1810,1874,1803,1803,33910,157830.0,3281299.0
1999-02-23,1818,1836,1746,1773,41750,155205.0,3281299.0
1999-02-24,1778,1797,1684,1687,33880,147658.0,3281299.0
1999-02-25,1616,1796,1616,1653,52890,144705.0,3281299.0
1999-02-26,1669,1770,1669,1743,49950,152580.0,3281299.0
1999-03-02,1773,1788,1743,1762,40600,154221.0,3281299.0
1999-03-03,1765,1778,1710,1724,37810,150940.0,3281299.0
1999-03-04,1759,1759,1710,1713,27610,149955.0,3281299.0
1999-03-05,1732,1825,1732,1762,52750,154221.0,3281299.0
1999-03-08,1817,1821,1780,1780,46610,155862.0,3281299.0
1999-03-09,1797,1815,1741,1743,51950,152580.0,3281299.0
1999-03-10,1778,1778,1710,1728,42090,151268.0,3281299.0
1999-03-11,1735,1795,1728,1792,54640,156846.0,3281299.0
1999-03-12,1795,1911,1780,1844,84510,161440.0,3281299.0
1999-03-15,1862,1941,1855,1855,67570,162424.0,3281299.0
1999-03-16,1863,1885,1818,1874,32780,164065.0,3281299.0
1999-03-17,1874,1877,1806,1814,47580,159564.0,3296769.0
1999-03-18,1799,1866,1744,1771,46700,155772.0,3296769.0
1999-03-19,1780,1836,1769,1799,43240,158245.0,3296769.0
1999-03-22,1810,1836,1780,1803,48240,158575.0,3296769.0
