일신방직(003200),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,41988,43323,41587,41587,5510,99680.0,1600000.0
1999-01-05,41654,41988,40252,41587,5910,99680.0,1600000.0
1999-01-06,42055,42055,40386,40385,9340,96800.0,1600000.0
1999-01-07,40719,46394,40719,41921,8620,100480.0,1600000.0
1999-01-08,42121,42121,40786,40852,2200,97920.0,1600000.0
1999-01-11,40853,42388,40386,41987,10170,100640.0,1600000.0
1999-01-12,42121,42589,41721,42054,6200,100800.0,1600000.0
1999-01-13,42655,43189,41721,42388,14030,101600.0,1600000.0
1999-01-14,43056,43857,41854,43389,11100,104000.0,1600000.0
1999-01-15,43323,44658,42722,44057,19850,105600.0,1600000.0
1999-01-18,45058,48062,44725,45725,10000,109600.0,1600000.0
1999-01-19,45392,45793,44057,45392,6070,108800.0,1600000.0
1999-01-20,45392,51934,45392,50064,20440,120000.0,1600000.0
1999-01-21,50065,52401,42722,45392,28360,108800.0,1600000.0
1999-01-22,47061,52201,45325,52201,44490,125120.0,1600000.0
1999-01-25,54738,55405,50065,50064,28480,120000.0,1600000.0
1999-01-26,49998,49998,46126,46260,16400,110880.0,1600000.0
1999-01-27,42121,46727,42121,46326,11740,111040.0,1600000.0
1999-01-28,46060,47395,45058,45659,5090,109440.0,1600000.0
1999-01-29,46727,47395,45392,46460,5340,111360.0,1600000.0
1999-02-01,47395,53403,46460,49397,18870,118400.0,1600000.0
1999-02-02,53403,53736,51400,51600,39030,123680.0,1600000.0
1999-02-03,52001,52335,51066,51066,15860,122400.0,1600000.0
1999-02-04,50599,56340,50599,55405,39024,132800.0,1600000.0
1999-02-05,55338,59410,54137,56005,21390,134240.0,1600000.0
1999-02-08,56006,58342,52869,53202,21500,127520.0,1600000.0
1999-02-09,53403,54738,50799,52735,19518,126400.0,1600000.0
1999-02-10,52735,53069,51066,51400,23760,123200.0,1600000.0
1999-02-11,45000,54500,45000,50200,13150,80320.0,1600000.0
1999-02-12,48100,49900,47000,48100,10330,76960.0,1600000.0
1999-02-18,49500,49500,46200,46900,5630,75040.0,1600000.0
1999-02-19,46700,51400,44000,49900,17770,79840.0,1600000.0
1999-02-22,49800,49800,48000,48200,6580,77120.0,1600000.0
1999-02-23,46500,49500,46500,47000,7000,75200.0,1600000.0
1999-02-24,46700,48300,46700,47500,5430,76000.0,1600000.0
1999-02-25,46100,47000,45100,45500,1900,72800.0,1600000.0
1999-02-26,46000,47000,45200,45450,6040,72720.0,1600000.0
1999-03-02,45450,46000,45000,45750,3690,73200.0,1600000.0
1999-03-03,45500,45800,44900,45800,4110,73280.0,1600000.0
1999-03-04,47000,49500,46800,49200,9070,78720.0,1600000.0
1999-03-05,49500,49900,48300,49200,5310,78720.0,1600000.0
1999-03-08,49500,50200,49200,49500,5550,79200.0,1600000.0
1999-03-09,49250,50800,47500,49000,3840,78400.0,1600000.0
1999-03-10,48200,49000,47700,47700,3530,76320.0,1600000.0
1999-03-11,47000,47900,46000,46500,14105,111600.0,2400000.0
1999-03-12,46600,47000,46000,46500,9224,111600.0,2400000.0
1999-03-15,47000,49200,46700,48100,22693,115440.0,2400000.0
1999-03-16,48200,48900,47500,47500,6980,114000.0,2400000.0
1999-03-17,46600,48600,46500,47500,16590,114000.0,2400000.0
