티웨이홀딩스(004870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,946023,946023,900975,900975,167200,1141.0,1901609.0
1999-01-05,900974,900974,825893,885959,264100,1122.0,1901609.0
1999-01-06,795860,885958,795860,810878,274600,1017.0,1901609.0
1999-01-07,810876,840910,810876,810878,257300,1027.0,1901609.0
1999-01-08,810877,870942,810877,870943,521800,1103.0,1901609.0
1999-01-11,1006088,1006088,870942,870943,231300,1103.0,1901609.0
1999-01-12,915990,1006087,915990,1006089,618700,1265.0,1901609.0
1999-01-13,1021103,1141234,1021103,1141235,973700,1445.0,1901609.0
1999-01-14,1306413,1306413,1171266,1306414,2502500,1654.0,1901609.0
1999-01-15,1306413,1396510,1276381,1336447,2287300,1683.0,1901609.0
1999-01-18,1291396,1291396,1141234,1216316,1764100,1531.0,1901609.0
1999-01-19,1216316,1216316,1066153,1081170,626500,1360.0,1901609.0
1999-01-20,1096185,1231332,1096185,1126219,647000,1426.0,1901609.0
1999-01-21,1171267,1171267,961039,976056,530200,1236.0,1901609.0
1999-01-22,840909,1036121,840909,1036121,177200,1312.0,1901609.0
1999-01-25,1096186,1111201,1051137,1051138,160400,1331.0,1901609.0
1999-01-26,1081169,1096185,1081169,1081170,221100,1369.0,1901609.0
1999-01-27,1051137,1051137,931007,976056,151700,1236.0,1901609.0
1999-01-28,976055,1051136,976055,1036121,274700,1312.0,1901609.0
1999-01-29,1186283,1186283,1186283,1186284,1147800,1502.0,1901609.0
1999-02-01,1276381,1306412,1276381,1291398,1002300,1635.0,1901609.0
1999-02-02,1291396,1291396,1186283,1186284,519800,1502.0,1901609.0
1999-02-03,1276380,1276380,1051137,1126219,469600,1426.0,1901609.0
1999-02-04,1141234,1201299,1141234,1156251,225800,1464.0,1901609.0
1999-02-05,1216316,1216316,1066153,1081170,245000,1369.0,1901609.0
1999-02-08,1126218,1126218,1036121,1036121,215100,1312.0,1901609.0
1999-02-09,1006088,1006088,885958,885959,330400,1122.0,1901609.0
1999-02-10,885958,1021104,885958,1021105,164300,1284.0,1901609.0
1999-02-11,1021104,1126218,1021104,1036121,242200,1312.0,1901609.0
1999-02-12,1051137,1171266,1051137,1051138,233400,1331.0,1901609.0
1999-02-18,1021104,1021104,976055,976056,242600,1236.0,1901609.0
1999-02-19,976055,1021104,976055,1021105,123700,1293.0,1901609.0
1999-02-22,1051137,1051137,991072,991073,28200,1255.0,1901609.0
1999-02-23,976055,991071,855926,855926,103000,1084.0,1901609.0
1999-02-24,900973,946023,900973,946024,163800,1198.0,1901609.0
1999-02-25,976055,976055,855926,915991,44700,1150.0,1901609.0
1999-02-26,946023,946023,885958,885959,140100,1122.0,1901609.0
1999-03-02,900975,961039,900975,900975,186200,1141.0,1901609.0
1999-03-03,976056,976056,885958,900975,80800,1141.0,1901609.0
1999-03-04,900974,915991,900974,915991,123900,1160.0,1901609.0
1999-03-05,915991,915991,915991,915991,44200,1160.0,1901609.0
1999-03-08,915991,961039,915991,915991,100300,1160.0,1901609.0
1999-03-09,931007,976056,931007,946024,98700,1198.0,1901609.0
1999-03-10,810876,946023,810876,915991,228200,1160.0,1901609.0
1999-03-11,825893,1051137,825893,1051138,576900,1331.0,1901609.0
1999-03-12,1186283,1186283,1051137,1051138,329500,1331.0,1901609.0
1999-03-15,1081169,1081169,1051137,1051138,120300,1331.0,1901609.0
1999-03-16,1036120,1036120,915990,1021105,66700,1293.0,1901609.0
1999-03-17,1021104,1021104,946023,1006089,91800,1274.0,1901609.0
1999-03-18,1006088,1006088,915991,931008,421500,1179.0,1901609.0
1999-03-19,1066153,1066153,900974,1036121,319000,1312.0,1901609.0
1999-03-22,931007,1021104,931007,961040,249800,1217.0,1901609.0
1999-03-23,976056,976056,946023,946024,134400,1198.0,1901609.0
1999-03-24,976056,976056,900974,931008,147900,1179.0,1901609.0
1999-03-25,961039,961039,931007,946024,217600,1198.0,1901609.0
1999-03-26,946023,946023,915991,946024,146300,1198.0,1901609.0
1999-03-29,915990,991072,900975,900975,118600,1141.0,1901609.0
1999-03-30,915990,961039,900975,900975,144100,1141.0,1901609.0
1999-03-31,900974,915991,900974,915991,85700,1150.0,1901609.0
1999-04-01,915990,931007,900975,900975,280200,1141.0,1901609.0
1999-04-02,900975,931007,885958,900975,271600,1141.0,1901609.0
1999-04-06,931007,931007,870942,870943,125900,1103.0,1901609.0
1999-04-07,870941,915990,870941,900975,377800,1141.0,1901609.0
1999-04-08,900975,900975,900975,900975,82700,1131.0,1901609.0
1999-04-09,870941,870941,825893,855926,225500,1074.0,1901609.0
1999-04-12,795861,976056,795861,900975,522400,1141.0,1901609.0
1999-04-13,915991,915991,870942,870943,224100,1103.0,1901609.0
1999-04-14,1006087,1006087,900974,1006089,923000,1265.0,1901609.0
1999-04-15,1096185,1096185,1006087,1006089,932800,1265.0,1901609.0
1999-04-16,1051137,1066153,976055,976056,552400,1236.0,1901609.0
1999-04-19,961039,1051137,915991,915991,90000,1160.0,1901609.0
1999-04-20,931007,946023,931007,931008,159600,1179.0,1901609.0
1999-04-21,976056,976056,900975,900975,332500,1141.0,1901609.0
1999-04-22,900974,915991,870941,915991,313200,1150.0,1901609.0
1999-04-23,885958,900974,855925,870943,278900,1093.0,1901609.0
1999-04-26,840910,885958,840910,840910,378800,1065.0,1901609.0
1999-04-27,900974,900974,855926,855926,229200,1084.0,1901609.0
1999-04-28,795860,855926,795860,840910,401000,1065.0,1901609.0
1999-04-29,840909,961039,840909,961040,309400,1208.0,1901609.0
1999-04-30,946023,961039,870942,870943,551800,1103.0,1901609.0
1999-05-03,855925,931007,855925,885959,254300,1112.0,1901609.0
1999-05-04,855925,915991,855925,885959,345200,1122.0,1901609.0
1999-05-06,900973,1021104,900973,1021105,829800,1284.0,1901609.0
1999-05-07,1111201,1111201,946022,976056,1530900,1236.0,1901609.0
1999-05-10,1081169,1081169,931007,961040,255900,1217.0,1901609.0
1999-05-11,976055,976055,931007,961040,441300,1217.0,1901609.0
1999-05-12,825893,946023,825893,855926,324800,1084.0,1901609.0
1999-05-13,900973,991072,900973,991073,419900,1246.0,1901609.0
1999-05-14,1126218,1126218,1126218,1126219,1154500,1426.0,1901609.0
1999-05-17,961039,961039,961039,961040,637400,1217.0,1901609.0
1999-05-18,825893,825893,825893,825894,464600,1036.0,1901609.0
1999-05-19,780845,931007,780845,915991,900300,1150.0,1901609.0
1999-05-20,780844,915991,780844,780845,1265500,989.0,1901609.0
1999-05-21,855925,855925,795861,825894,341800,1046.0,1901609.0
1999-05-24,705763,780844,705763,765829,404000,970.0,1901609.0
1999-05-25,750812,795860,750812,765829,211100,970.0,1901609.0
1999-05-26,765828,780844,735796,765829,388100,970.0,1901609.0
1999-05-27,750811,765828,720779,750813,899000,951.0,1901609.0
1999-05-28,750812,780844,750812,780845,319900,979.0,1901609.0
