케이티앤지(033780),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-10-08,36800,36800,36800,36800,2726950,7028502.0,190991897.0
1999-10-11,39700,39700,36800,38400,6580210,7334089.0,190991897.0
1999-10-12,37800,37950,36800,36900,2009970,7047601.0,190991897.0
1999-10-13,36000,36800,34900,36400,1408180,6952105.0,190991897.0
1999-10-14,35100,37450,35100,36500,926530,6971204.0,190991897.0
1999-10-15,36500,37000,36000,36050,582570,6885258.0,190991897.0
1999-10-18,35300,35350,34800,35000,764030,6684716.0,190991897.0
1999-10-19,35100,35500,34500,34900,540430,6665617.0,190991897.0
1999-10-20,35100,35400,35000,35100,318910,6703816.0,190991897.0
1999-10-21,35100,35300,34550,34650,372010,6617869.0,190991897.0
1999-10-22,33700,34400,33600,33800,379930,6455526.0,190991897.0
1999-10-25,33000,33500,31600,31850,435760,6083092.0,190991897.0
1999-10-26,31500,31800,31000,31400,309180,5997146.0,190991897.0
1999-10-27,31000,31200,30150,30750,356180,5873001.0,190991897.0
1999-10-28,30200,33400,29700,32000,729430,6111741.0,190991897.0
1999-10-29,31800,33300,31700,32700,522720,6245435.0,190991897.0
1999-11-01,32900,33500,32300,32950,430950,6293183.0,190991897.0
1999-11-02,32100,32800,32100,32200,399000,6149939.0,190991897.0
1999-11-03,32200,32200,31200,31400,349790,5997146.0,190991897.0
1999-11-04,31600,32900,31550,32000,312110,6111741.0,190991897.0
1999-11-05,32000,32300,31600,31650,333340,6044894.0,190991897.0
1999-11-08,31650,31850,31250,31350,369450,5987596.0,190991897.0
1999-11-09,31100,32000,31100,31600,361030,6035344.0,190991897.0
1999-11-10,31700,31700,30600,30750,820880,5873001.0,190991897.0
1999-11-11,30200,30500,29750,29900,1179270,5710658.0,190991897.0
1999-11-12,30000,30500,28750,29000,1092900,5538765.0,190991897.0
1999-11-15,29000,31500,29000,31200,905070,5958947.0,190991897.0
1999-11-16,30900,31200,30300,30400,662130,5806154.0,190991897.0
1999-11-17,30400,31200,29000,29000,544930,5538765.0,190991897.0
1999-11-18,29000,29700,29000,29150,311620,5567414.0,190991897.0
1999-11-19,29150,29850,28900,29250,386460,5586513.0,190991897.0
1999-11-22,29300,29600,28850,28900,280110,5519666.0,190991897.0
1999-11-23,29800,30000,29050,29150,354150,5567414.0,190991897.0
1999-11-24,29200,29250,28800,29200,271540,5576963.0,190991897.0
1999-11-25,29000,29050,28300,28300,392740,5405071.0,190991897.0
1999-11-26,28000,28300,27000,28000,431850,5347773.0,190991897.0
1999-11-29,27200,27700,27150,27500,234200,5252277.0,190991897.0
1999-11-30,26600,27800,26550,26700,616190,5099484.0,190991897.0
1999-12-01,26500,26650,25600,25700,547700,4908492.0,190991897.0
1999-12-02,26000,29200,25950,27900,768310,5328674.0,190991897.0
1999-12-03,28900,29000,28000,28200,512890,5385971.0,190991897.0
1999-12-06,28500,28900,27500,28500,463970,5443269.0,190991897.0
1999-12-07,28200,28450,27650,28000,376940,5347773.0,190991897.0
1999-12-08,27650,29200,26900,28700,566470,5481467.0,190991897.0
1999-12-09,29100,30900,28700,30500,1069460,5825253.0,190991897.0
1999-12-10,29500,30500,28900,29050,2369760,5548315.0,190991897.0
1999-12-13,28100,28800,27500,27500,752130,5252277.0,190991897.0
1999-12-14,27900,28300,27400,27600,546380,5271376.0,190991897.0
1999-12-15,27600,27900,26700,26750,394020,5109033.0,190991897.0
1999-12-16,26200,26600,26050,26100,333700,4984889.0,190991897.0
1999-12-17,26200,26900,26200,26500,428420,5061285.0,190991897.0
1999-12-20,26700,27000,26300,26700,227190,5099484.0,190991897.0
1999-12-21,26700,26850,25900,26650,316380,5089934.0,190991897.0
1999-12-22,26000,26500,25500,25500,253720,4870293.0,190991897.0
1999-12-23,25500,25550,24100,24750,418190,4727049.0,190991897.0
1999-12-24,24700,24750,23600,24400,272120,4660202.0,190991897.0
1999-12-27,24550,24700,23000,23000,298710,4392814.0,190991897.0
1999-12-28,22600,25100,21600,25100,487570,4793897.0,190991897.0
2000-01-04,21350,24000,21350,22000,309730,4201822.0,190991897.0
2000-01-05,22200,22950,21400,21600,431700,4125425.0,190991897.0
2000-01-06,21650,22200,20800,20950,379410,4001280.0,190991897.0
2000-01-07,20450,21500,20200,20400,356410,3896235.0,190991897.0
2000-01-10,20550,21000,20300,20400,327430,3896235.0,190991897.0
2000-01-11,20700,21800,20700,21350,582340,4077677.0,190991897.0
2000-01-12,21350,21400,20700,21050,306290,4020379.0,190991897.0
2000-01-13,21000,21100,20500,20500,778680,3915334.0,190991897.0
2000-01-14,20800,20950,20200,20700,382350,3953532.0,190991897.0
2000-01-17,21100,22500,21000,22500,658390,4297318.0,190991897.0
2000-01-18,22400,22400,21050,22000,331770,4201822.0,190991897.0
2000-01-19,21500,21700,20500,20500,396090,3915334.0,190991897.0
2000-01-20,20500,21000,20500,20900,365240,3991731.0,190991897.0
2000-01-21,21200,23250,20900,23000,1326920,4392814.0,190991897.0
2000-01-24,23200,25800,22700,24000,1358560,4583806.0,190991897.0
2000-01-25,24000,24600,23400,23900,665440,4564706.0,190991897.0
2000-01-26,23500,24000,23000,23400,397270,4469210.0,190991897.0
2000-01-27,22700,23400,22000,23400,432570,4469210.0,190991897.0
2000-01-28,23800,25400,23650,24900,893290,4755698.0,190991897.0
2000-01-31,24200,25700,24050,24950,801480,4765248.0,190991897.0
2000-02-01,24950,25000,24000,24800,349850,4736599.0,190991897.0
2000-02-02,24700,24900,24250,24800,310030,4736599.0,190991897.0
2000-02-03,24900,25100,24500,25000,385820,4774797.0,190991897.0
2000-02-07,25000,25200,24600,24950,473880,4765248.0,190991897.0
2000-02-08,24600,25100,24400,25100,840950,4793897.0,190991897.0
2000-02-09,24800,25150,24500,25000,650790,4774797.0,190991897.0
2000-02-10,24500,25000,23500,23750,561040,4536058.0,190991897.0
2000-02-11,24300,24900,23300,24800,518830,4736599.0,190991897.0
2000-02-14,23700,24700,23450,23700,402910,4526508.0,190991897.0
2000-02-15,23000,24000,22800,23500,613460,4488310.0,190991897.0
2000-02-16,23150,24050,21300,24050,393290,4593355.0,190991897.0
2000-02-17,23500,24900,23250,24300,455840,4641103.0,190991897.0
2000-02-18,24100,24500,23100,23800,554050,4545607.0,190991897.0
2000-02-21,23150,24200,22100,22100,769200,4220921.0,190991897.0
2000-02-22,22500,25000,22500,25000,1321510,4774797.0,190991897.0
2000-02-23,25200,27000,25200,26500,1293810,5061285.0,190991897.0
2000-02-24,26900,27800,26400,27500,905700,5252277.0,190991897.0
2000-02-25,27500,27500,26400,27200,310670,5194980.0,190991897.0
2000-02-28,27000,27200,26000,27200,254260,5194980.0,190991897.0
2000-02-29,27200,27700,26200,27700,546260,5290476.0,190991897.0
2000-03-02,27500,27500,26200,26500,527720,5061285.0,190991897.0
2000-03-03,26200,26200,25200,25200,231050,4812996.0,190991897.0
2000-03-06,25250,26450,25200,26450,254200,5051736.0,190991897.0
2000-03-07,26000,26750,25500,26750,208000,5109033.0,190991897.0
2000-03-08,25600,26750,25550,26650,172090,5089934.0,190991897.0
2000-03-09,26000,26500,22900,22900,717160,4373714.0,190991897.0
2000-03-10,24500,24900,24000,24750,593860,4727049.0,190991897.0
2000-03-13,24200,24250,23500,23500,322250,4488310.0,190991897.0
2000-03-14,23000,25000,23000,25000,304790,4774797.0,190991897.0
2000-03-15,25000,25000,24050,25000,253120,4774797.0,190991897.0
2000-03-16,24700,25750,24600,25500,234110,4870293.0,190991897.0
2000-03-17,25950,26000,24950,25800,245710,4927591.0,190991897.0
2000-03-20,25800,26000,25150,26000,172100,4965789.0,190991897.0
2000-03-21,25700,26000,25150,25950,258820,4956240.0,190991897.0
2000-03-22,26000,26200,24800,24800,610140,4736599.0,190991897.0
2000-03-23,24800,25300,24000,24100,200820,4602905.0,190991897.0
2000-03-24,24500,24900,24150,24900,168600,4755698.0,190991897.0
2000-03-27,24800,24800,24100,24200,138040,4622004.0,190991897.0
2000-03-28,23700,26000,23700,26000,392700,4965789.0,190991897.0
2000-03-29,24900,25000,24150,24200,362230,4622004.0,190991897.0
2000-03-30,24500,24700,24000,24600,231390,4698401.0,190991897.0
