국도화학(007690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,14100,14100,13400,14000,38780,81349.0,5810616.0
1999-01-05,14100,14100,13700,13900,58580,80768.0,5810616.0
1999-01-06,13900,15600,13800,15600,161790,90646.0,5810616.0
1999-01-07,15600,15650,15000,15400,91580,89483.0,5810616.0
1999-01-08,15750,16300,15400,15500,108440,90065.0,5810616.0
1999-01-11,15950,16100,15500,16100,118820,93551.0,5810616.0
1999-01-12,16300,16500,15300,15700,117600,91227.0,5810616.0
1999-01-13,15700,16100,15500,16000,79150,92970.0,5810616.0
1999-01-14,15900,15900,14100,14100,47580,81930.0,5810616.0
1999-01-15,14350,15500,14200,14600,42680,84835.0,5810616.0
1999-01-18,14950,15600,14700,15400,57350,89483.0,5810616.0
1999-01-19,15900,15900,14550,14800,20960,85997.0,5810616.0
1999-01-20,15000,15000,14100,14300,35700,83092.0,5810616.0
1999-01-21,14300,14700,13000,13000,46760,75538.0,5810616.0
1999-01-22,13100,13300,12700,12800,35150,74376.0,5810616.0
1999-01-25,13000,13000,12100,12100,24530,70308.0,5810616.0
1999-01-26,12500,12900,12000,12300,38970,71471.0,5810616.0
1999-01-27,12100,12600,12100,12550,20130,72923.0,5810616.0
1999-01-28,12700,12900,12400,12800,36700,74376.0,5810616.0
1999-01-29,12600,12800,12500,12700,25160,73795.0,5810616.0
1999-02-01,12900,13300,12700,12900,28380,74957.0,5810616.0
1999-02-02,13000,13200,12700,13200,34980,76700.0,5810616.0
1999-02-03,13150,13150,12600,12900,18460,74957.0,5810616.0
1999-02-04,12700,12850,12300,12300,15210,71471.0,5810616.0
1999-02-05,12300,12600,12200,12500,29660,72633.0,5810616.0
1999-02-08,12600,13100,12450,12700,63370,73795.0,5810616.0
1999-02-09,12700,12700,11700,11800,31830,68565.0,5810616.0
1999-02-10,12100,12100,11500,12000,34730,69727.0,5810616.0
1999-02-11,11800,12450,11800,11800,17220,68565.0,5810616.0
1999-02-12,11900,12200,11800,12100,21750,70308.0,5810616.0
1999-02-18,12200,12200,11950,12000,15660,69727.0,5810616.0
1999-02-19,11950,12000,11200,11800,18240,68565.0,5810616.0
1999-02-22,11800,11800,11400,11550,8430,67113.0,5810616.0
1999-02-23,11500,11500,11050,11300,10990,65660.0,5810616.0
1999-02-24,11000,11600,11000,11000,14810,63917.0,5810616.0
1999-02-25,10900,11400,10900,11000,16110,63917.0,5810616.0
1999-02-26,11050,11500,11050,11500,22700,66822.0,5810616.0
1999-03-02,11700,11800,11500,11800,32550,68565.0,5810616.0
1999-03-03,11900,12050,11600,11800,39300,68565.0,5810616.0
1999-03-04,11650,11900,11650,11900,12620,69146.0,5810616.0
1999-03-05,11800,12300,11700,12000,43010,69727.0,5810616.0
1999-03-08,12400,12700,12150,12500,45070,72633.0,5810616.0
1999-03-09,12700,12700,12100,12100,23500,70308.0,5810616.0
1999-03-10,12100,12350,11750,12000,16550,69727.0,5810616.0
1999-03-11,12100,12300,11800,12000,55730,69727.0,5810616.0
1999-03-12,12300,12700,12150,12500,61130,72633.0,5810616.0
1999-03-15,12800,12800,12300,12300,108010,71471.0,5810616.0
1999-03-16,12550,12600,12100,12100,59520,70308.0,5810616.0
1999-03-17,12300,12600,12100,12100,54540,70308.0,5810616.0
1999-03-18,12300,12400,12000,12200,37600,70890.0,5810616.0
1999-03-19,11800,12300,11800,12200,41580,70890.0,5810616.0
1999-03-22,12350,12700,12250,12300,92340,71471.0,5810616.0
1999-03-23,12400,12900,12400,12900,100390,74957.0,5810616.0
1999-03-24,13000,13700,12900,13000,162890,75538.0,5810616.0
1999-03-25,12700,13100,12700,12700,42040,73795.0,5810616.0
1999-03-26,12800,13100,12600,12700,87600,73795.0,5810616.0
1999-03-29,12700,12900,12500,12500,115430,72633.0,5810616.0
1999-03-30,12700,12850,12400,12700,60780,73795.0,5810616.0
1999-03-31,12700,13400,12600,13100,131110,76119.0,5810616.0
1999-04-01,13300,13450,13000,13400,94790,77862.0,5810616.0
1999-04-02,13400,13500,13050,13200,47990,76700.0,5810616.0
1999-04-06,13400,14200,13250,14100,164420,81930.0,5810616.0
1999-04-07,14300,14600,14000,14000,123890,81349.0,5810616.0
1999-04-08,14200,14800,13800,14600,111490,84835.0,5810616.0
1999-04-09,14900,14900,14300,14500,96290,84254.0,5810616.0
1999-04-12,14200,14750,13800,14000,64370,81349.0,5810616.0
1999-04-13,13700,14000,13700,13700,51080,79605.0,5810616.0
1999-04-14,13700,14000,13650,13800,55860,80187.0,5810616.0
1999-04-15,13900,14600,13800,14500,105160,84254.0,5810616.0
1999-04-16,14100,14400,13600,13900,37590,80768.0,5810616.0
1999-04-19,13950,14800,13600,13900,123280,80768.0,5810616.0
1999-04-20,14000,14400,14000,14200,69990,82511.0,5810616.0
1999-04-21,14500,14900,13900,14200,108160,82511.0,5810616.0
1999-04-22,14250,15700,14200,14800,270660,85997.0,5810616.0
1999-04-23,14800,15500,14800,15200,167370,88321.0,5810616.0
1999-04-26,15500,15500,14800,15150,81940,88031.0,5810616.0
1999-04-27,15400,15500,15000,15500,129610,90065.0,5810616.0
1999-04-28,16300,17500,16000,17500,291060,101686.0,5810616.0
1999-04-29,17800,18450,16800,17000,261510,98780.0,5810616.0
1999-04-30,18000,18000,16500,16700,185770,97037.0,5810616.0
1999-05-03,17000,17800,16800,17700,145900,102848.0,5810616.0
1999-05-04,18300,18300,17200,17500,118430,101686.0,5810616.0
1999-05-06,17700,18400,17700,18100,208510,105172.0,5810616.0
1999-05-07,19100,19500,18500,18900,402600,109821.0,5810616.0
1999-05-10,19250,19250,18500,19100,177440,110983.0,5810616.0
1999-05-11,19100,19200,17850,17850,127610,103719.0,5810616.0
1999-05-12,17350,17800,16900,17300,183630,100524.0,5810616.0
1999-05-13,17100,17300,16800,17000,118160,98780.0,5810616.0
1999-05-14,16800,17200,15700,15900,100760,92389.0,5810616.0
1999-05-17,16100,16100,14800,14800,60910,85997.0,5810616.0
1999-05-18,14300,15000,14300,15000,60880,87159.0,5810616.0
1999-05-19,15500,15500,14800,15200,43030,88321.0,5810616.0
1999-05-20,15000,15100,13900,13900,40760,80768.0,5810616.0
1999-05-21,14100,14300,13800,14300,18840,83092.0,5810616.0
1999-05-24,14300,14500,14100,14400,29380,83673.0,5810616.0
1999-05-25,14500,14900,14300,14850,43110,86288.0,5810616.0
1999-05-26,14900,15500,14900,15500,45030,90065.0,5810616.0
1999-05-27,15600,15600,15100,15100,37330,87740.0,5810616.0
1999-05-28,15100,15200,14600,15000,31930,87159.0,5810616.0
1999-05-31,15500,15750,15000,15700,97450,91227.0,5810616.0
1999-06-01,15400,15700,15150,15300,32100,88902.0,5810616.0
1999-06-02,15200,15550,15200,15400,41840,89483.0,5810616.0
1999-06-03,16000,16000,13800,15050,32940,87450.0,5810616.0
1999-06-04,15100,16000,15000,16000,116260,92970.0,5810616.0
1999-06-07,16300,17300,16300,16800,155310,97618.0,5810616.0
1999-06-08,17050,17200,16550,16700,94520,97037.0,5810616.0
1999-06-09,16700,16900,15300,15700,50050,91227.0,5810616.0
1999-06-10,15700,16600,15300,15800,88560,91808.0,5810616.0
1999-06-11,16100,16500,15800,16000,80000,92970.0,5810616.0
1999-06-14,13800,16000,13800,15700,28820,91227.0,5810616.0
1999-06-15,15500,15700,14600,14900,43850,86578.0,5810616.0
1999-06-16,14300,15200,14300,14800,40250,85997.0,5810616.0
1999-06-17,15000,15200,14900,15000,31750,87159.0,5810616.0
1999-06-18,14800,15100,14200,14550,62460,84544.0,5810616.0
1999-06-21,14200,14850,14200,14500,35400,84254.0,5810616.0
1999-06-22,14500,15000,14400,15000,140690,87159.0,5810616.0
1999-06-23,15200,15300,14800,15000,74600,87159.0,5810616.0
1999-06-24,15000,15700,14900,15500,88610,90065.0,5810616.0
1999-06-25,15350,15900,15300,15500,46730,90065.0,5810616.0
1999-06-28,15800,15900,15600,15850,68320,92098.0,5810616.0
1999-06-29,15850,16000,15600,15800,52310,91808.0,5810616.0
1999-06-30,15800,16400,15750,16200,97880,94132.0,5810616.0
1999-07-01,16300,17600,16100,17600,146940,102267.0,5810616.0
1999-07-02,17700,18300,17600,18100,289440,105172.0,5810616.0
1999-07-05,18650,20750,18300,20600,342780,119699.0,5810616.0
1999-07-06,20700,22200,20700,21400,348350,124347.0,5810616.0
1999-07-07,21550,24000,21550,24000,305110,139455.0,5810616.0
1999-07-08,24500,25600,23500,24050,253150,139745.0,5810616.0
1999-07-09,23900,25700,23700,25450,172230,147880.0,5810616.0
