BGF리테일(282330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-02-07,209000,210500,206500,206500,26237,3569127.0,17283906.0
2018-02-08,203500,209500,203500,206000,21050,3560485.0,17283906.0
2018-02-09,204000,211500,202000,210500,28746,3638262.0,17283906.0
2018-02-12,209000,211500,206500,210500,12513,3638262.0,17283906.0
2018-02-13,209000,211000,197000,199000,41843,3439497.0,17283906.0
2018-02-14,201000,201500,182500,187000,143124,3232090.0,17283906.0
2018-02-19,191000,191000,186500,188000,26245,3249374.0,17283906.0
2018-02-20,186000,187500,184500,186000,72152,3214807.0,17283906.0
2018-02-21,188000,188000,185000,187000,34023,3232090.0,17283906.0
2018-02-22,186000,186000,178000,178000,56556,3076535.0,17283906.0
2018-02-23,178000,180500,172500,178000,103525,3076535.0,17283906.0
2018-02-26,180000,180000,170500,172000,68871,2972832.0,17283906.0
2018-02-27,172000,174500,168000,170000,58047,2938264.0,17283906.0
2018-02-28,170000,174500,169000,174000,47346,3007400.0,17283906.0
2018-03-02,171000,172500,167000,169000,42902,2920980.0,17283906.0
2018-03-05,168500,173000,166000,167000,32831,2886412.0,17283906.0
2018-03-06,168000,171000,161000,161500,49441,2791351.0,17283906.0
2018-03-07,162000,163000,154500,157000,73222,2713573.0,17283906.0
2018-03-08,157000,161000,156500,158500,45232,2739499.0,17283906.0
2018-03-09,158500,166000,158500,163500,113100,2825919.0,17283906.0
2018-03-12,164500,170000,163500,167500,60143,2895054.0,17283906.0
2018-03-13,165000,169500,162000,168500,67916,2912338.0,17283906.0
2018-03-14,165500,168500,163000,164500,32816,2843203.0,17283906.0
2018-03-15,164000,169500,161500,167500,42601,2895054.0,17283906.0
2018-03-16,167500,170500,166000,169500,29903,2929622.0,17283906.0
2018-03-19,170000,170000,163500,164000,17328,2834561.0,17283906.0
2018-03-20,162000,165500,161500,162500,37351,2808635.0,17283906.0
2018-03-21,162000,164000,161500,163000,45677,2817277.0,17283906.0
2018-03-22,162500,167500,162500,165500,35416,2860486.0,17283906.0
2018-03-23,164000,165000,160000,161500,37074,2791351.0,17283906.0
2018-03-26,161500,162500,152500,155500,55806,2687647.0,17283906.0
2018-03-27,156000,158500,150500,155000,59085,2679005.0,17283906.0
2018-03-28,155000,158500,152500,154500,25435,2670363.0,17283906.0
2018-03-29,153500,161000,152500,152500,40141,2635796.0,17283906.0
2018-03-30,155000,170000,153500,169000,64701,2920980.0,17283906.0
2018-04-02,170000,170000,164000,169500,36758,2929622.0,17283906.0
2018-04-03,169500,186000,167000,179000,106031,3093819.0,17283906.0
2018-04-04,178000,183000,176500,176500,51757,3050609.0,17283906.0
2018-04-05,176500,180000,170500,171500,31697,2964190.0,17283906.0
2018-04-06,171000,175000,168500,174500,20944,3016042.0,17283906.0
2018-04-09,172500,191000,169500,186500,42051,3223448.0,17283906.0
2018-04-10,183500,184000,177500,178000,39175,3076535.0,17283906.0
2018-04-11,175000,179000,173500,179000,29113,3093819.0,17283906.0
2018-04-12,177000,180000,175000,179000,34531,3093819.0,17283906.0
2018-04-13,176500,178500,174000,176500,33583,3050609.0,17283906.0
2018-04-16,176500,177000,172000,175000,31541,3024684.0,17283906.0
2018-04-17,172500,176500,172500,174500,20739,3016042.0,17283906.0
2018-04-18,174000,177500,173000,177500,31816,3067893.0,17283906.0
2018-04-19,175500,176500,170500,171500,23304,2964190.0,17283906.0
2018-04-20,170000,179000,170000,177000,39494,3059251.0,17283906.0
2018-04-23,180000,188000,178000,186500,49545,3223448.0,17283906.0
2018-04-24,189000,190000,181500,181500,32646,3137029.0,17283906.0
2018-04-25,182000,186500,180000,185500,33450,3206165.0,17283906.0
2018-04-26,183500,185500,182500,182500,40095,3154313.0,17283906.0
2018-04-27,181000,182000,177500,179000,26178,3093819.0,17283906.0
2018-04-30,186500,200000,182000,191000,95325,3301226.0,17283906.0
2018-05-02,191000,209000,190000,206500,121961,3569127.0,17283906.0
2018-05-03,207000,211000,196500,200000,85693,3456781.0,17283906.0
2018-05-04,200000,204500,195000,199000,34255,3439497.0,17283906.0
2018-05-08,198000,202000,196500,200000,31697,3456781.0,17283906.0
2018-05-09,200500,203500,196500,200500,37843,3465423.0,17283906.0
2018-05-10,197500,204500,197500,204500,48591,3534559.0,17283906.0
2018-05-11,200500,201500,194000,196500,54740,3396288.0,17283906.0
2018-05-14,193500,195000,190500,191500,42413,3309868.0,17283906.0
2018-05-15,188500,193000,188500,189000,46160,3266658.0,17283906.0
2018-05-16,189000,189000,182500,186000,34351,3214807.0,17283906.0
2018-05-17,184500,186000,180500,181500,36108,3137029.0,17283906.0
2018-05-18,180500,188000,180500,186500,27860,3223448.0,17283906.0
2018-05-21,186500,189500,185000,185500,17329,3206165.0,17283906.0
2018-05-23,182500,185000,179000,179000,23982,3093819.0,17283906.0
2018-05-24,180000,188500,180000,187000,35877,3232090.0,17283906.0
2018-05-25,189500,189500,181500,185500,13448,3206165.0,17283906.0
2018-05-28,186000,187500,179000,180000,27040,3111103.0,17283906.0
2018-05-29,179000,188500,179000,183500,36871,3171597.0,17283906.0
2018-05-30,181500,183000,177500,177500,34544,3067893.0,17283906.0
2018-05-31,178000,185000,177500,182500,78871,3154313.0,17283906.0
2018-06-01,183500,184500,179000,184500,24251,3188881.0,17283906.0
2018-06-04,185000,189500,184500,188000,18763,3249374.0,17283906.0
2018-06-05,188000,190500,182000,182500,24660,3154313.0,17283906.0
2018-06-07,186000,196000,184000,193500,53852,3344436.0,17283906.0
2018-06-08,192500,197500,191500,196000,26582,3387646.0,17283906.0
2018-06-11,196500,199500,191000,195500,26374,3379004.0,17283906.0
2018-06-12,197000,205000,196000,203500,39578,3517275.0,17283906.0
2018-06-14,201000,203500,199000,199000,71596,3439497.0,17283906.0
2018-06-15,197500,199500,190000,192500,45356,3327152.0,17283906.0
2018-06-18,195000,207000,194500,201000,44563,3474065.0,17283906.0
2018-06-19,196500,213000,196500,209000,65911,3612336.0,17283906.0
2018-06-20,207500,208000,195500,196000,57442,3387646.0,17283906.0
2018-06-21,193500,196000,191500,192000,15496,3318510.0,17283906.0
2018-06-22,190500,197000,186000,195500,34028,3379004.0,17283906.0
2018-06-25,193000,204500,193000,197500,46758,3413571.0,17283906.0
2018-06-26,201000,202500,195000,197000,38292,3404929.0,17283906.0
2018-06-27,196000,200000,188500,188500,36398,3258016.0,17283906.0
2018-06-28,193500,202500,188000,197000,57752,3404929.0,17283906.0
2018-06-29,195500,201000,191000,195000,27181,3370362.0,17283906.0
2018-07-02,192500,197500,187500,187500,23589,3240732.0,17283906.0
2018-07-03,191500,191500,177500,179000,38610,3093819.0,17283906.0
2018-07-04,177000,184000,176000,182000,41571,3145671.0,17283906.0
2018-07-05,183000,183500,175000,176500,24646,3050609.0,17283906.0
