KPX홀딩스(092230),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-10-12,36000,36500,30600,30600,151052,108670.0,3551310.0
2006-10-13,31300,33650,31050,32350,100593,114885.0,3551310.0
2006-10-16,32750,32900,30900,30900,42951,109735.0,3551310.0
2006-10-17,31200,31600,29500,30050,30922,106717.0,3551310.0
2006-10-18,29800,30650,29500,30150,19316,107072.0,3551310.0
2006-10-19,30300,30300,29300,29300,19627,104053.0,3551310.0
2006-10-20,29300,29550,28800,28900,22131,102633.0,3551310.0
2006-10-23,29000,29000,27650,28250,28051,100325.0,3551310.0
2006-10-24,28350,31000,28000,29200,35334,103698.0,3551310.0
2006-10-25,29200,29250,28700,28750,16663,102100.0,3551310.0
2006-10-26,28700,30000,28700,29000,9480,102988.0,3551310.0
2006-10-27,29100,29200,28700,29000,10680,102988.0,3551310.0
2006-10-30,28450,28900,28300,28350,5845,100680.0,3551310.0
2006-10-31,28100,29150,28100,29000,6650,102988.0,3551310.0
2006-11-01,28700,29500,28700,29250,4158,103876.0,3551310.0
2006-11-02,29700,29700,29100,29350,6097,104231.0,3551310.0
2006-11-03,29300,31400,29300,31300,16848,111156.0,3551310.0
2006-11-06,31850,31850,31200,31200,4504,110801.0,3551310.0
2006-11-07,31200,31850,31200,31450,6897,111689.0,3551310.0
2006-11-08,31250,31600,31200,31400,7707,111511.0,3551310.0
2006-11-09,31400,31550,31100,31250,44291,110978.0,3551310.0
2006-11-10,31000,31300,31000,31050,4550,110268.0,3551310.0
2006-11-13,31200,31200,30600,30650,2140,108848.0,3551310.0
2006-11-14,30400,30800,30350,30700,2672,109025.0,3551310.0
2006-11-15,30600,30750,30450,30750,8700,109203.0,3551310.0
2006-11-16,30550,30900,30550,30800,1330,109380.0,3551310.0
2006-11-17,31250,31950,30800,31700,4660,112577.0,3551310.0
2006-11-20,31200,31650,30500,30900,2700,109735.0,3551310.0
2006-11-21,31900,31900,30700,31400,2150,111511.0,3551310.0
2006-11-22,31400,31400,30800,30900,3247,109735.0,3551310.0
2006-11-23,31600,31600,30900,30900,2190,109735.0,3551310.0
2006-11-24,30900,31000,30700,30900,5740,109735.0,3551310.0
2006-11-27,30900,31200,30900,31050,1480,110268.0,3551310.0
2006-11-28,31050,31200,30800,30900,817,109735.0,3551310.0
2006-11-29,30800,31150,30750,31100,3550,110446.0,3551310.0
2006-11-30,31100,31900,31100,31900,4840,113287.0,3551310.0
2006-12-01,31900,33600,31750,33200,10340,117903.0,3551310.0
2006-12-04,33450,33450,32850,33150,2350,117726.0,3551310.0
2006-12-05,33000,33700,33000,33600,4350,119324.0,3551310.0
2006-12-06,32600,33500,32000,33350,3860,118436.0,3551310.0
2006-12-07,33250,33300,33000,33000,2810,117193.0,3551310.0
2006-12-08,33000,33000,32200,32200,1287,114352.0,3551310.0
2006-12-11,32200,32200,31750,31750,1440,112754.0,3551310.0
2006-12-12,31550,31650,31100,31650,4980,133710.0,4224646.0
2006-12-13,31500,32000,31500,32000,2070,135189.0,4224646.0
2006-12-14,32000,32850,31500,32000,6090,135189.0,4224646.0
2006-12-15,32000,32550,31300,32550,3110,137512.0,4224646.0
2006-12-18,32500,32500,32000,32000,1681,135189.0,4224646.0
2006-12-19,32000,32000,31700,32000,2430,135189.0,4224646.0
2006-12-20,32000,32500,31700,32500,2315,137301.0,4224646.0
2006-12-21,32000,32500,31650,32100,2040,135611.0,4224646.0
2006-12-22,32400,32400,31750,31950,1500,134977.0,4224646.0
2006-12-26,31950,32000,31500,32000,8010,135189.0,4224646.0
2006-12-27,31900,32400,31500,31850,740,134555.0,4224646.0
2006-12-28,31850,33400,31400,31950,2940,134977.0,4224646.0
