씨에스윈드(112610),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-11-27,39150,39150,33300,33300,298837,575614.0,17285715.0
2014-11-28,32100,34250,30350,31050,3377836,536721.0,17285715.0
2014-12-01,30950,31500,28750,29550,1224674,510793.0,17285715.0
2014-12-02,30000,30350,28800,29450,901086,509064.0,17285715.0
2014-12-03,29450,30150,29150,29750,679329,514250.0,17285715.0
2014-12-04,29550,29950,26800,27000,1179223,466714.0,17285715.0
2014-12-05,27000,27450,25800,26300,986535,454614.0,17285715.0
2014-12-08,26800,29000,26650,28000,1141743,484000.0,17285715.0
2014-12-09,29100,29250,28150,28250,531908,488321.0,17285715.0
2014-12-10,27850,28750,27300,28500,282158,492643.0,17285715.0
2014-12-11,28350,28500,27650,27650,169862,477950.0,17285715.0
2014-12-12,27850,27850,25450,25700,414706,444243.0,17285715.0
2014-12-15,26500,26500,25500,25800,220502,445971.0,17285715.0
2014-12-16,26000,26000,23850,24100,479480,416586.0,17285715.0
2014-12-17,24300,25500,24050,25150,343904,434736.0,17285715.0
2014-12-18,25250,26350,24800,25400,236250,439057.0,17285715.0
2014-12-19,25500,26450,25050,25950,145072,448564.0,17285715.0
2014-12-22,25850,27900,25600,27250,263381,471036.0,17285715.0
2014-12-23,27450,27900,26700,26750,162380,462393.0,17285715.0
2014-12-24,27100,28100,26800,27750,134092,479679.0,17285715.0
2014-12-26,27750,28400,27750,28150,149126,486593.0,17285715.0
2014-12-29,27650,27700,26350,26550,160223,458936.0,17285715.0
2014-12-30,26800,27300,26150,26450,146765,457207.0,17285715.0
2015-01-02,26300,26600,25900,26450,77763,457207.0,17285715.0
2015-01-05,26700,28050,26650,27700,179879,478814.0,17285715.0
2015-01-06,27400,28000,27000,27900,131410,482271.0,17285715.0
2015-01-07,27900,27950,27200,27200,118530,470171.0,17285715.0
2015-01-08,27300,27850,26850,26850,122565,464121.0,17285715.0
2015-01-09,27100,27400,26650,26750,90548,462393.0,17285715.0
2015-01-12,26850,26900,25800,25950,120613,448564.0,17285715.0
2015-01-13,25750,25900,24800,25050,132550,433007.0,17285715.0
2015-01-14,25100,25650,25050,25200,71503,435600.0,17285715.0
2015-01-15,25500,26250,25300,26000,93527,449429.0,17285715.0
2015-01-16,25800,27350,25700,26950,179789,465850.0,17285715.0
2015-01-19,27400,27500,26450,26550,90189,458936.0,17285715.0
2015-01-20,26750,26950,26200,26400,79897,456343.0,17285715.0
2015-01-21,26400,26400,25050,25150,158577,434736.0,17285715.0
2015-01-22,25250,27050,25250,25900,253437,447700.0,17285715.0
2015-01-23,26350,26550,25300,25350,135377,438193.0,17285715.0
2015-01-26,25450,27700,25400,27500,338852,475357.0,17285715.0
2015-01-27,27500,27950,26950,27100,197393,468443.0,17285715.0
2015-01-28,27050,27250,26500,26950,184316,465850.0,17285715.0
2015-01-29,26950,27600,26600,27400,138055,473629.0,17285715.0
2015-01-30,27400,27500,26250,26650,106398,460664.0,17285715.0
2015-02-02,27300,28450,26950,27450,420480,474493.0,17285715.0
2015-02-03,27650,28300,27100,27450,237207,474493.0,17285715.0
2015-02-04,28900,29150,28100,28200,372133,487457.0,17285715.0
2015-02-05,28200,28400,27650,27850,141345,481407.0,17285715.0
2015-02-06,28150,28800,27650,27650,150607,477950.0,17285715.0
2015-02-09,27500,27650,26250,26450,172697,457207.0,17285715.0
2015-02-10,26200,26500,25450,26100,128448,451157.0,17285715.0
2015-02-11,26650,27050,26350,26500,126486,458071.0,17285715.0
2015-02-12,26500,26750,25950,26400,90634,456343.0,17285715.0
2015-02-13,26450,27400,26350,27250,128990,471036.0,17285715.0
2015-02-16,27250,28000,26900,27850,150455,481407.0,17285715.0
2015-02-17,28000,28050,27250,27500,66986,475357.0,17285715.0
2015-02-23,27500,27550,26650,26950,149602,465850.0,17285715.0
2015-02-24,26750,28000,26750,27450,115737,474493.0,17285715.0
2015-02-25,27550,27750,26800,26850,133884,464121.0,17285715.0
2015-02-26,26950,27350,26550,27100,176387,468443.0,17285715.0
2015-02-27,28350,29600,27400,27650,976020,477950.0,17285715.0
2015-03-02,27700,29000,27400,29000,502040,501286.0,17285715.0
2015-03-03,29800,30000,28800,29400,540603,508200.0,17285715.0
2015-03-04,29700,33050,29400,31900,1337885,551414.0,17285715.0
2015-03-05,32800,32900,30400,30550,846167,528079.0,17285715.0
2015-03-06,30700,32250,30600,32150,463773,555736.0,17285715.0
2015-03-09,32150,32550,31300,31350,240042,541907.0,17285715.0
2015-03-10,31600,34200,31500,32700,780485,565243.0,17285715.0
2015-03-11,32450,34650,31700,34000,492685,587714.0,17285715.0
2015-03-12,34100,35000,33150,33450,328888,578207.0,17285715.0
2015-03-13,34500,36650,34050,36000,563981,622286.0,17285715.0
2015-03-16,37800,38450,36900,37350,486985,645621.0,17285715.0
2015-03-17,37500,37550,36600,37550,224845,649079.0,17285715.0
2015-03-18,37250,37550,36100,36200,227260,625743.0,17285715.0
2015-03-19,37000,38100,35100,35300,346515,610186.0,17285715.0
2015-03-20,36050,36200,34150,34850,318260,602407.0,17285715.0
2015-03-23,35150,35700,34350,35200,186432,608457.0,17285715.0
2015-03-24,35500,36400,34600,36350,266608,628336.0,17285715.0
2015-03-25,37400,37450,36150,36250,257777,626607.0,17285715.0
2015-03-26,36000,36250,34700,35150,168338,607593.0,17285715.0
2015-03-27,35250,35700,34300,34400,164875,594629.0,17285715.0
2015-03-30,34550,35200,34200,34500,117670,596357.0,17285715.0
2015-03-31,34900,35500,34550,35300,111873,610186.0,17285715.0
2015-04-01,35050,35600,34300,34450,144690,595493.0,17285715.0
2015-04-02,34300,35550,34150,34900,148980,603271.0,17285715.0
2015-04-03,35300,35750,34650,35250,127783,609321.0,17285715.0
2015-04-06,35250,35350,34700,34800,92267,601543.0,17285715.0
2015-04-07,35250,35300,34400,34500,82888,596357.0,17285715.0
2015-04-08,34600,34700,32800,32850,286931,567836.0,17285715.0
2015-04-09,32800,34000,32200,33400,183142,577343.0,17285715.0
2015-04-10,33500,34350,33500,33700,146768,582529.0,17285715.0
2015-04-13,34100,34100,32800,33350,116915,576479.0,17285715.0
2015-04-14,33450,34350,32750,33950,147485,586850.0,17285715.0
2015-04-15,34450,36050,34400,35750,193503,617964.0,17285715.0
2015-04-16,36300,37150,35550,36550,238149,631793.0,17285715.0
2015-04-17,37000,37050,35400,36100,118897,624014.0,17285715.0
2015-04-20,35500,36000,34750,35900,158466,620557.0,17285715.0
2015-04-21,36100,36300,35300,35300,101002,610186.0,17285715.0
2015-04-22,35250,37200,34850,36950,313614,638707.0,17285715.0
2015-04-23,37400,38600,36900,37950,315453,655993.0,17285715.0
2015-04-24,37950,38100,36050,36950,151276,638707.0,17285715.0
2015-04-27,37350,37400,36600,37200,70967,643029.0,17285715.0
2015-04-28,38000,38750,37450,37700,176924,651671.0,17285715.0
2015-04-29,37950,37950,36350,36600,131628,632657.0,17285715.0
2015-04-30,36800,36800,35150,35500,126730,613643.0,17285715.0
2015-05-04,35000,35950,34700,35850,107766,619693.0,17285715.0
2015-05-06,36000,36050,34700,35650,98264,616236.0,17285715.0
2015-05-07,35600,37000,35350,36050,148434,623150.0,17285715.0
2015-05-08,35800,36300,35300,35950,67936,621421.0,17285715.0
2015-05-11,36300,39000,36200,39000,251193,674143.0,17285715.0
2015-05-12,39300,39500,37750,38600,186524,667229.0,17285715.0
2015-05-13,38500,38500,37800,38350,100773,662907.0,17285715.0
2015-05-14,38350,41200,38350,40750,346966,704393.0,17285715.0
2015-05-15,40750,41050,40000,40950,111105,707850.0,17285715.0
2015-05-18,41350,41900,39650,39700,156291,686243.0,17285715.0
