현대글로비스(086280),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-12-26,42600,48950,42600,48950,581110,1835625.0,37500000.0
2005-12-27,56200,56200,54000,56200,868235,2107500.0,37500000.0
2005-12-28,57700,63700,57700,59800,1013160,2242500.0,37500000.0
2005-12-29,62000,62000,56100,60000,351072,2250000.0,37500000.0
2006-01-02,59500,69000,59000,69000,362361,2587500.0,37500000.0
2006-01-03,72100,79300,71500,79300,415095,2973750.0,37500000.0
2006-01-04,83900,91100,76000,77500,777419,2906250.0,37500000.0
2006-01-05,80100,87000,77200,82400,587215,3090000.0,37500000.0
2006-01-06,85000,88000,82100,83100,335161,3116250.0,37500000.0
2006-01-09,82000,82500,74700,75100,282887,2816250.0,37500000.0
2006-01-10,74500,74700,69800,72500,270862,2718750.0,37500000.0
2006-01-11,72000,77500,71000,72300,206663,2711250.0,37500000.0
2006-01-12,71000,73000,69200,69800,183143,2617500.0,37500000.0
2006-01-13,67700,73000,66200,70500,235946,2643750.0,37500000.0
2006-01-16,70100,72900,70100,71400,138777,2677500.0,37500000.0
2006-01-17,71200,72100,69000,69000,119383,2587500.0,37500000.0
2006-01-18,67900,69500,62100,65500,150029,2456250.0,37500000.0
2006-01-19,65000,68000,65000,65500,119825,2456250.0,37500000.0
2006-01-20,65500,66500,59500,59600,130943,2235000.0,37500000.0
2006-01-23,56200,58800,55000,56700,166529,2126250.0,37500000.0
2006-01-24,56700,58500,53000,55700,135479,2088750.0,37500000.0
2006-01-25,56800,64000,55500,57300,481540,2148750.0,37500000.0
2006-01-26,55200,64000,54500,61000,2872417,2287500.0,37500000.0
2006-01-27,63500,67000,61100,66100,784797,2478750.0,37500000.0
2006-01-31,67100,67100,61800,63500,575049,2381250.0,37500000.0
2006-02-01,63000,64800,58600,61500,491921,2306250.0,37500000.0
2006-02-02,62000,62500,59700,62500,377695,2343750.0,37500000.0
2006-02-03,60600,61600,58600,58900,228488,2208750.0,37500000.0
2006-02-06,56500,60200,56500,59800,245654,2242500.0,37500000.0
2006-02-07,60000,61000,58400,58900,184137,2208750.0,37500000.0
2006-02-08,58000,59400,56500,58000,150280,2175000.0,37500000.0
2006-02-09,58700,59000,56500,56900,152254,2133750.0,37500000.0
2006-02-10,57000,57600,55700,56900,132873,2133750.0,37500000.0
2006-02-13,56800,58200,56300,56800,129326,2130000.0,37500000.0
2006-02-14,55700,59000,55600,59000,134013,2212500.0,37500000.0
2006-02-15,60500,60500,57100,58800,164583,2205000.0,37500000.0
2006-02-16,58100,59000,57100,58000,101334,2175000.0,37500000.0
2006-02-17,58900,58900,54900,56200,199675,2107500.0,37500000.0
2006-02-20,55600,56200,54000,54900,261444,2058750.0,37500000.0
2006-02-21,54500,55500,54000,55000,152287,2062500.0,37500000.0
2006-02-22,54500,55400,54000,54500,103385,2043750.0,37500000.0
2006-02-23,54500,56500,54500,56500,173311,2118750.0,37500000.0
2006-02-24,56000,56600,54900,55700,91244,2088750.0,37500000.0
2006-02-27,56400,59000,55700,58700,201815,2201250.0,37500000.0
2006-02-28,58700,60200,57300,59600,171157,2235000.0,37500000.0
2006-03-02,59500,60000,58100,58500,89342,2193750.0,37500000.0
2006-03-03,57500,58100,54700,55400,143381,2077500.0,37500000.0
2006-03-06,55500,56200,54900,56100,56451,2103750.0,37500000.0
2006-03-07,55300,56000,54700,55000,61662,2062500.0,37500000.0
2006-03-08,54000,55600,53700,54200,66505,2032500.0,37500000.0
2006-03-09,54000,55000,54000,55000,61900,2062500.0,37500000.0
2006-03-10,54200,55600,54200,54400,58083,2040000.0,37500000.0
2006-03-13,54800,55500,54700,55100,49990,2066250.0,37500000.0
2006-03-14,55500,58500,55300,57800,235538,2167500.0,37500000.0
2006-03-15,58000,58300,56800,57300,59301,2148750.0,37500000.0
2006-03-16,57300,57900,56000,57600,57140,2160000.0,37500000.0
2006-03-17,56500,57400,56300,56900,62821,2133750.0,37500000.0
2006-03-20,56000,56300,54900,55400,87574,2077500.0,37500000.0
2006-03-21,55200,55600,54500,54600,73705,2047500.0,37500000.0
2006-03-22,54400,54600,53900,54000,54135,2025000.0,37500000.0
2006-03-23,54000,54000,46900,50200,398628,1882500.0,37500000.0
2006-03-24,49000,49900,46200,47000,210308,1762500.0,37500000.0
2006-03-27,42100,43000,39950,39950,1695724,1498125.0,37500000.0
2006-03-28,38000,40100,37050,39200,2863431,1470000.0,37500000.0
2006-03-29,39200,40650,38000,38000,2106511,1425000.0,37500000.0
2006-03-30,38100,39200,38100,38550,761673,1445625.0,37500000.0
2006-03-31,38800,42200,38800,41650,1271495,1561875.0,37500000.0
2006-04-03,41150,42450,40450,41600,725603,1560000.0,37500000.0
2006-04-04,42100,44600,41250,44000,964353,1650000.0,37500000.0
2006-04-05,44500,44900,42150,43550,631940,1633125.0,37500000.0
2006-04-06,43500,43550,41700,41950,537511,1573125.0,37500000.0
2006-04-07,41200,41450,40100,40600,525090,1522500.0,37500000.0
2006-04-10,40350,42350,39600,41000,661240,1537500.0,37500000.0
2006-04-11,40550,41300,40200,40400,309293,1515000.0,37500000.0
2006-04-12,40050,40250,39650,39850,313332,1494375.0,37500000.0
2006-04-13,40050,41700,40050,41700,478837,1563750.0,37500000.0
2006-04-14,42500,43000,41200,42400,619791,1590000.0,37500000.0
2006-04-17,42600,42700,41250,41550,374899,1558125.0,37500000.0
2006-04-18,41000,41800,40900,41750,295694,1565625.0,37500000.0
2006-04-19,42500,44550,35500,35500,5075584,1331250.0,37500000.0
2006-04-20,34500,37800,33100,35550,3581577,1333125.0,37500000.0
2006-04-21,36100,36500,33700,34000,1517494,1275000.0,37500000.0
2006-04-24,33800,33950,31850,31850,1262305,1194375.0,37500000.0
2006-04-25,31850,33100,31850,33100,914202,1241250.0,37500000.0
2006-04-26,33200,34450,32400,33900,801097,1271250.0,37500000.0
2006-04-27,33100,34800,32750,33500,703809,1256250.0,37500000.0
2006-04-28,33200,34150,33150,33800,458215,1267500.0,37500000.0
2006-05-02,33700,33800,30250,31250,718987,1171875.0,37500000.0
2006-05-03,31000,31750,30650,30700,420257,1151250.0,37500000.0
2006-05-04,31900,35300,31550,35300,1116018,1323750.0,37500000.0
2006-05-08,37200,40400,37100,39950,2226907,1498125.0,37500000.0
2006-05-09,40000,40350,37400,37950,929549,1423125.0,37500000.0
2006-05-10,38000,39600,36650,36800,737431,1380000.0,37500000.0
2006-05-11,36800,39200,36200,39000,1150078,1462500.0,37500000.0
2006-05-12,38200,38950,37550,37900,398838,1421250.0,37500000.0
2006-05-15,37500,37600,36500,36700,335029,1376250.0,37500000.0
2006-05-16,37100,37800,36100,37000,364602,1387500.0,37500000.0
2006-05-17,37100,37500,36100,36300,318464,1361250.0,37500000.0
2006-05-18,34700,34700,32700,34100,326258,1278750.0,37500000.0
2006-05-19,33600,34800,33600,34700,211422,1301250.0,37500000.0
2006-05-22,34800,35050,32900,33000,251045,1237500.0,37500000.0
2006-05-23,32400,33600,32250,32850,188218,1231875.0,37500000.0
2006-05-24,32550,32800,31650,32400,230209,1215000.0,37500000.0
2006-05-25,32450,33750,31850,31850,229786,1194375.0,37500000.0
2006-05-26,33000,33150,32300,33000,176786,1237500.0,37500000.0
2006-05-29,34500,35850,33400,34650,369307,1299375.0,37500000.0
2006-05-30,34500,34600,33200,33900,186377,1271250.0,37500000.0
2006-06-01,33200,34550,33200,33350,134077,1250625.0,37500000.0
2006-06-02,34000,34300,32750,32950,191830,1235625.0,37500000.0
