모토닉(009680),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1120,1200,1080,1190,69460,39270.0,3300000.0
1999-01-05,1180,1290,1150,1255,191710,41415.0,3300000.0
1999-01-06,1280,1430,1260,1380,247430,45540.0,3300000.0
1999-01-07,1420,1430,1320,1380,199320,45540.0,3300000.0
1999-01-08,1360,1450,1360,1400,95960,46200.0,3300000.0
1999-01-11,1400,1500,1380,1500,143000,49500.0,3300000.0
1999-01-12,1500,1520,1400,1480,98830,48840.0,3300000.0
1999-01-13,1455,1550,1430,1450,78880,47850.0,3300000.0
1999-01-14,1400,1410,1255,1300,85150,42900.0,3300000.0
1999-01-15,1350,1400,1280,1370,64110,45210.0,3300000.0
1999-01-18,1375,1550,1375,1480,153060,48840.0,3300000.0
1999-01-19,1480,1480,1380,1400,58490,46200.0,3300000.0
1999-01-20,1410,1410,1350,1350,43870,44550.0,3300000.0
1999-01-21,1300,1340,1240,1250,39340,41250.0,3300000.0
1999-01-22,1110,1240,1110,1155,36600,38115.0,3300000.0
1999-01-25,1155,1170,1125,1155,24450,38115.0,3300000.0
1999-01-26,1200,1200,1120,1125,33760,37125.0,3300000.0
1999-01-27,1100,1175,1100,1150,27350,37950.0,3300000.0
1999-01-28,1170,1220,1170,1200,31280,39600.0,3300000.0
1999-01-29,1250,1250,1180,1210,23960,39930.0,3300000.0
1999-02-01,1210,1230,1170,1220,30700,40260.0,3300000.0
1999-02-02,1230,1230,1180,1205,33200,39765.0,3300000.0
1999-02-03,1215,1215,1150,1150,15510,37950.0,3300000.0
1999-02-04,1145,1160,1115,1135,12690,37455.0,3300000.0
1999-02-05,1140,1170,1110,1140,19750,37620.0,3300000.0
1999-02-08,1155,1180,1145,1170,21360,38610.0,3300000.0
1999-02-09,1160,1160,1050,1100,41840,36300.0,3300000.0
1999-02-10,1050,1130,1050,1095,44020,36135.0,3300000.0
1999-02-11,1095,1170,1095,1115,96350,36795.0,3300000.0
1999-02-12,1150,1180,1120,1140,97310,37620.0,3300000.0
1999-02-18,1180,1200,1130,1130,34490,37290.0,3300000.0
1999-02-19,1100,1150,1040,1070,42580,35310.0,3300000.0
1999-02-22,1020,1040,1000,1010,16490,33330.0,3300000.0
1999-02-23,1030,1030,970,980,28460,32340.0,3300000.0
1999-02-24,990,1040,980,1010,29530,33330.0,3300000.0
1999-02-25,1000,1020,989,989,14700,32637.0,3300000.0
1999-02-26,990,1025,990,1000,18740,33000.0,3300000.0
1999-03-02,1120,1150,1055,1150,52640,37950.0,3300000.0
