드림텍(192650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-14,8696,9247,7543,7719,9851345,424817.0,27585500.0
2019-03-15,7719,7944,7092,7318,2044462,402748.0,27585500.0
2019-03-18,7468,7919,7318,7920,2036740,435851.0,27585500.0
2019-03-19,7819,8044,7593,7869,1555641,433092.0,27585500.0
2019-03-20,7944,8069,7618,7869,1292452,433092.0,27585500.0
2019-03-21,7819,8044,7693,8020,1101904,441368.0,27585500.0
2019-03-22,8019,8019,7518,7569,889670,416541.0,27585500.0
2019-03-25,7318,7468,7092,7118,702367,391714.0,27585500.0
2019-03-26,6917,7017,6716,7017,1055893,386197.0,27585500.0
2019-03-27,7292,7343,6791,6817,999490,375163.0,27585500.0
2019-03-28,6766,7142,6641,6842,559076,384409.0,28161850.0
2019-03-29,6942,7167,6816,6942,624715,390042.0,28161850.0
2019-04-01,7117,7192,6942,6992,468788,392858.0,28161850.0
2019-04-02,7067,7292,6967,7143,665213,401306.0,28161850.0
2019-04-03,7117,7267,7067,7143,385140,401306.0,28161850.0
2019-04-04,7343,7518,7242,7293,1011772,409755.0,28161850.0
2019-04-05,7242,7292,7117,7218,339848,405531.0,28161850.0
2019-04-08,7242,7267,7067,7218,320239,405531.0,28161850.0
2019-04-09,7368,7393,7142,7168,472953,402714.0,28161850.0
2019-04-10,7167,7167,6992,6992,374325,392858.0,28161850.0
2019-04-11,6992,7167,6841,7042,429834,395674.0,28161850.0
2019-04-12,7067,7167,6967,7017,364309,394266.0,28161850.0
2019-04-15,7092,7643,7042,7619,1793635,428060.0,28161850.0
2019-04-16,7643,7994,7493,7819,1459905,439325.0,28161850.0
2019-04-17,7719,7819,7418,7569,699023,425244.0,28161850.0
2019-04-18,7618,8245,7568,7970,2022115,447773.0,28161850.0
2019-04-19,8019,8069,7844,7970,1342840,456264.0,28695850.0
2019-04-22,7944,8195,7719,7794,836535,446220.0,28695850.0
2019-04-23,7693,7844,7568,7794,474766,446220.0,28695850.0
2019-04-24,7844,7969,7543,7544,399442,431873.0,28695850.0
2019-04-25,7593,7668,7343,7619,335908,436177.0,28695850.0
2019-04-26,7593,8019,7518,7869,1436453,450525.0,28695850.0
2019-04-29,7969,10200,7944,9724,9338391,556699.0,28695850.0
2019-04-30,9924,10074,9322,9874,2916404,565308.0,28695850.0
2019-05-02,9824,10726,9749,10075,2601349,576787.0,28695850.0
2019-05-03,10074,10250,9799,10200,715652,583961.0,28695850.0
2019-05-07,10074,10626,9974,10325,1014285,591135.0,28695850.0
2019-05-08,10300,11027,10175,10250,1156689,586830.0,28695850.0
2019-05-09,10375,10450,10024,10250,510865,586830.0,28695850.0
2019-05-10,10275,10601,10124,10551,880812,604048.0,28695850.0
2019-05-13,10676,10776,10150,10150,635026,581091.0,28695850.0
2019-05-14,10250,12950,10150,10800,4135968,309915.0,28695850.0
2019-05-15,10900,11900,9890,10000,1968089,286958.0,28695850.0
2019-05-16,10000,10000,8870,8970,1647132,257402.0,28695850.0
2019-05-17,9050,9440,9050,9200,792273,264002.0,28695850.0
2019-05-20,9220,11250,9220,10550,4541139,302741.0,28695850.0
2019-05-21,10450,12550,10050,11750,6651160,337176.0,28695850.0
2019-05-22,11850,12350,11600,11950,1514549,342915.0,28695850.0
