롯데푸드(002270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,27401,30386,26912,30386,66950,39099.0,1259243.0
1999-01-05,30239,31022,27597,30141,43700,38785.0,1259243.0
1999-01-06,31511,32294,29847,30826,45450,39666.0,1259243.0
1999-01-07,33273,33273,30826,32490,36780,41807.0,1259243.0
1999-01-08,32392,33273,31315,33175,31470,42688.0,1259243.0
1999-01-11,33762,35132,31805,31805,48360,40925.0,1259243.0
1999-01-12,32000,34055,32000,32490,34150,41807.0,1259243.0
1999-01-13,30826,32587,30826,32294,34180,41555.0,1259243.0
1999-01-14,31805,31805,28477,29848,21280,38407.0,1259243.0
1999-01-15,30337,30924,28967,30826,18450,39666.0,1259243.0
1999-01-18,30826,31413,30043,30924,23840,39792.0,1259243.0
1999-01-19,30337,31413,30337,31022,10430,39918.0,1259243.0
1999-01-20,31315,31511,30875,31022,22750,39918.0,1259243.0
1999-01-21,30826,30826,28967,29359,13860,37777.0,1259243.0
1999-01-22,29309,29847,28869,29848,26060,38407.0,1259243.0
1999-01-25,29847,30826,29358,30826,22810,39666.0,1259243.0
1999-01-26,31315,31805,30337,30826,28540,39666.0,1259243.0
1999-01-27,30924,31805,29945,30044,22340,38659.0,1259243.0
1999-01-28,30141,32294,29847,30044,39410,38659.0,1259243.0
1999-01-29,29847,30679,29358,29554,9450,38029.0,1259243.0
1999-02-01,29847,30337,29260,29848,12640,38407.0,1259243.0
1999-02-02,29358,29847,29162,29750,7980,38281.0,1259243.0
1999-02-03,30043,30043,28477,28869,4890,37148.0,1259243.0
1999-02-04,28379,29260,27499,27597,12840,35511.0,1259243.0
1999-02-05,28379,28379,26960,27206,13390,35007.0,1259243.0
1999-02-08,27205,27401,26520,26814,15510,34503.0,1259243.0
1999-02-09,26520,26814,24759,24955,10690,32111.0,1259243.0
1999-02-10,23584,25444,23584,24955,3640,32111.0,1259243.0
1999-02-11,25052,27254,24465,26031,10120,33496.0,1259243.0
1999-02-12,26422,26912,26422,26521,10320,34125.0,1259243.0
1999-02-18,27303,27303,26422,26472,8930,34063.0,1259243.0
1999-02-19,26226,26912,25052,26912,7390,34629.0,1259243.0
1999-02-22,25639,26912,25639,26716,6070,34377.0,1259243.0
1999-02-23,28379,28379,27205,27206,7160,35007.0,1259243.0
1999-02-24,27401,29652,27009,28380,15080,36518.0,1259243.0
1999-02-25,27499,29554,27009,28674,8310,36896.0,1259243.0
1999-02-26,28673,29847,28673,29848,14790,38407.0,1259243.0
1999-03-02,30337,30337,29652,29946,14760,38533.0,1259243.0
1999-03-03,29456,30337,29456,30239,6670,38911.0,1259243.0
1999-03-04,29847,32685,29456,32686,35670,42059.0,1259243.0
1999-03-05,32000,33273,31413,31512,4240,40548.0,1259243.0
1999-03-08,31315,33175,31315,32392,8880,41681.0,1259243.0
1999-03-09,32392,32783,32196,32392,11410,41681.0,1259243.0
1999-03-10,32294,32294,31022,31022,3090,39918.0,1259243.0
1999-03-11,31413,32979,31120,32979,14790,42436.0,1259243.0
1999-03-12,32294,33273,32000,32050,8780,41240.0,1259243.0
1999-03-15,32392,33273,32294,33175,11950,42688.0,1259243.0
1999-03-16,33273,33664,32490,33175,4510,42688.0,1259243.0
1999-03-17,33175,34740,33175,34252,27350,44074.0,1259243.0
1999-03-18,32392,34740,32392,34056,6880,43822.0,1259243.0
1999-03-19,32783,35621,32783,35230,9570,45333.0,1259243.0
1999-03-22,35230,35719,34251,35720,10910,45962.0,1259243.0
1999-03-23,35670,36698,34838,35817,17870,46088.0,1259243.0
1999-03-24,35230,35817,34545,35230,5580,45333.0,1259243.0
1999-03-25,34740,35230,34251,34252,6450,44074.0,1259243.0
1999-03-26,32392,34643,32392,34252,3510,44074.0,1259243.0
1999-03-29,33370,38166,32979,34741,8780,44703.0,1259243.0
1999-03-30,33468,36208,33468,36111,43000,46466.0,1259243.0
1999-03-31,36306,36502,35230,36405,13350,46844.0,1259243.0
1999-04-01,35719,36208,35034,35524,14620,45711.0,1259243.0
1999-04-02,36208,36453,35132,36209,21360,46592.0,1259243.0
1999-04-06,36502,37676,35328,37188,14530,47851.0,1259243.0
1999-04-07,37285,40123,37285,38166,36990,49110.0,1259243.0
1999-04-08,40123,40123,38166,38949,5330,50118.0,1259243.0
1999-04-09,39144,39829,38655,39145,8080,50370.0,1259243.0
1999-04-12,39242,39340,38166,38655,9320,49740.0,1259243.0
1999-04-13,38655,41101,38655,40613,60080,52259.0,1259243.0
1999-04-14,41053,43548,40612,42766,35560,55029.0,1259243.0
1999-04-15,43548,44820,43548,44821,16370,57673.0,1259243.0
1999-04-16,44918,47854,44918,47169,30290,60696.0,1259243.0
1999-04-19,48930,48930,47952,48735,22250,62710.0,1259243.0
1999-04-20,44135,48539,44037,46484,11680,59814.0,1259243.0
1999-04-21,47462,47952,44135,44919,5170,57799.0,1259243.0
1999-04-22,45897,45897,42374,43059,16670,55407.0,1259243.0
1999-04-23,45505,48930,44527,48931,24260,62962.0,1259243.0
1999-04-26,50888,55781,50888,54803,35210,70518.0,1259243.0
1999-04-27,53824,54802,49909,52845,40510,67999.0,1259243.0
1999-04-28,52845,53824,51866,52356,29420,67370.0,1259243.0
1999-04-29,52356,53628,51573,51671,24280,66488.0,1259243.0
1999-04-30,50203,52845,50203,52748,14050,67873.0,1259243.0
1999-05-03,53334,53334,44918,51867,11040,66740.0,1259243.0
1999-05-04,52356,54411,50888,53824,25520,69258.0,1259243.0
1999-05-06,55291,55291,52845,53824,22480,69258.0,1259243.0
1999-05-07,54802,56270,53334,53824,29960,69258.0,1259243.0
1999-05-10,54802,60185,54411,58717,57680,75555.0,1259243.0
1999-05-11,62142,63120,56662,56662,36150,72910.0,1259243.0
1999-05-12,58227,58717,54802,57738,26190,74295.0,1259243.0
1999-05-13,56270,58521,53824,53824,11190,69258.0,1259243.0
1999-05-14,52062,52845,49420,50301,22430,64725.0,1259243.0
1999-05-17,50300,51573,49224,49225,10030,63340.0,1259243.0
1999-05-18,48441,49811,47560,48344,10150,62207.0,1259243.0
1999-05-19,48441,49909,48050,49812,11690,64095.0,1259243.0
1999-05-20,50398,50398,44037,45995,19250,59184.0,1259243.0
1999-05-21,46092,46973,45016,46974,10230,60444.0,1259243.0
1999-05-24,46973,47952,44527,46484,5900,59814.0,1259243.0
1999-05-25,46973,48343,46777,47463,18940,61073.0,1259243.0
1999-05-26,48833,51866,48539,51867,15510,66740.0,1259243.0
1999-05-27,51866,53138,49909,50888,11130,65481.0,1259243.0
1999-05-28,51083,52845,49518,52845,10350,67999.0,1259243.0
1999-05-31,53824,54606,51866,52356,17390,67370.0,1259243.0
1999-06-01,51866,52845,51377,51867,8500,66740.0,1259243.0
1999-06-02,52747,55781,52747,55781,21670,71777.0,1259243.0
1999-06-03,56662,56759,52845,54803,14140,70518.0,1259243.0
1999-06-04,54802,55683,53334,53726,8610,69132.0,1259243.0
1999-06-07,53921,56759,53921,56760,40090,73036.0,1259243.0
1999-06-08,56662,56662,53921,54803,8760,70518.0,1259243.0
1999-06-09,53824,54509,52062,52356,10920,67370.0,1259243.0
1999-06-10,50496,54215,50496,54215,10230,69762.0,1259243.0
1999-06-11,54606,56270,53726,54313,14260,69888.0,1259243.0
1999-06-14,54802,54802,52453,52845,7000,67999.0,1259243.0
1999-06-15,52943,53138,50888,51867,11250,66740.0,1259243.0
1999-06-16,52356,52356,50888,51475,4610,66236.0,1259243.0
1999-06-17,51475,52845,50594,51475,7860,66236.0,1259243.0
1999-06-18,51573,53334,51181,52063,10120,66992.0,1259243.0
1999-06-21,54802,54802,52356,53824,12220,69258.0,1259243.0
1999-06-22,53334,53824,52845,53628,16000,69007.0,1259243.0
1999-06-23,54802,58717,54606,56760,53500,73036.0,1259243.0
1999-06-24,56955,56955,54998,56271,17050,72406.0,1259243.0
1999-06-25,56857,56857,55291,55292,12480,71147.0,1259243.0
1999-06-28,55487,61163,54900,59891,56720,77066.0,1259243.0
1999-06-29,62631,62631,59891,60381,23250,77695.0,1259243.0
1999-06-30,60674,67035,59402,65078,45970,83740.0,1259243.0
