롯데관광개발(032350),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-06-08,17256,19258,17256,17949,751249,260000.0,10000000.0
2006-06-09,18430,18568,17290,17604,151760,255000.0,10000000.0
2006-06-12,17326,17809,17256,17259,96222,250000.0,10000000.0
2006-06-13,16635,17429,16635,17259,87877,250000.0,10000000.0
2006-06-14,17118,19845,16981,19847,116140,287500.0,10000000.0
2006-06-15,21848,22815,21538,22816,126099,330500.0,10000000.0
2006-06-16,26232,26232,23678,26234,432122,380000.0,10000000.0
2006-06-19,26991,29200,24920,25957,654755,376000.0,10000000.0
2006-06-20,25679,29820,24677,29823,861957,432000.0,10000000.0
2006-06-21,32307,34275,31479,34276,410047,496500.0,10000000.0
2006-06-22,37761,37898,29269,33344,1230886,483000.0,10000000.0
2006-06-23,31443,32030,28371,28373,369981,411000.0,10000000.0
2006-06-26,26231,29199,25333,26958,592145,390500.0,10000000.0
2006-06-27,27336,27957,25679,25854,271697,374500.0,10000000.0
2006-06-28,24850,25644,23539,23541,230209,341000.0,10000000.0
2006-06-29,24092,25367,23815,23887,287298,346000.0,10000000.0
2006-06-30,24504,27128,23987,25681,573625,372000.0,10000000.0
2006-07-03,26232,26266,24955,24956,188108,361500.0,10000000.0
2006-07-04,25196,25920,24229,24715,179760,358000.0,10000000.0
2006-07-05,23816,24368,23608,23678,110549,343000.0,10000000.0
2006-07-06,23539,24298,22538,22920,117448,332000.0,10000000.0
2006-07-07,23056,23228,21123,21228,247753,307500.0,10000000.0
2006-07-10,19189,19949,18050,18053,1448692,261500.0,10000000.0
2006-07-11,17947,18983,17603,18846,1001525,273000.0,10000000.0
2006-07-12,19191,19259,18327,18329,582230,265500.0,10000000.0
2006-07-13,17879,18535,17707,17811,417508,258000.0,10000000.0
2006-07-14,17463,17533,16807,17259,360469,250000.0,10000000.0
2006-07-18,16980,17878,16877,17294,450752,250500.0,10000000.0
2006-07-19,17326,17602,16670,16672,322237,241500.0,10000000.0
2006-07-20,17155,18431,17016,17500,520888,253500.0,10000000.0
2006-07-21,17119,17257,16566,16913,285671,245000.0,10000000.0
2006-07-24,16980,17981,16773,17604,328516,255000.0,10000000.0
2006-07-25,17913,18224,17395,17397,213288,252000.0,10000000.0
2006-07-26,17533,17636,16912,17121,171993,248000.0,10000000.0
2006-07-27,17256,17533,17118,17431,176366,252500.0,10000000.0
2006-07-28,17429,17739,17256,17259,179540,250000.0,10000000.0
2006-07-31,17533,17602,16980,17121,123851,248000.0,10000000.0
2006-08-01,17118,17395,16980,16982,112808,246000.0,10000000.0
2006-08-02,16981,16981,16740,16913,98045,245000.0,10000000.0
2006-08-03,17015,17118,16429,16499,152465,239000.0,10000000.0
2006-08-04,16497,16739,15910,16154,158590,234000.0,10000000.0
2006-08-07,16153,16153,15566,15601,150458,226000.0,10000000.0
2006-08-08,15601,16014,15601,15913,114205,230500.0,10000000.0
2006-08-09,15772,16049,15600,16016,95760,232000.0,10000000.0
2006-08-10,15910,15945,15668,15844,87058,229500.0,10000000.0
2006-08-11,15808,16809,15601,16223,277356,235000.0,10000000.0
2006-08-14,16326,17051,16223,16913,219160,245000.0,10000000.0
2006-08-16,17084,17119,16429,16430,127960,238000.0,10000000.0
2006-08-17,16428,16532,15945,16189,125109,234500.0,10000000.0
2006-08-18,16152,16462,16014,16154,78770,234000.0,10000000.0
2006-08-21,16083,16359,15806,15844,100690,229500.0,10000000.0
2006-08-22,15738,16014,15634,15809,112255,229000.0,10000000.0
2006-08-23,15841,16117,15738,16016,123152,232000.0,10000000.0
2006-08-24,16118,16152,15841,16154,121440,234000.0,10000000.0
2006-08-25,16289,16635,15910,16016,214579,232000.0,10000000.0
2006-08-28,16084,16118,15634,15740,103840,228000.0,10000000.0
2006-08-29,15877,15877,15497,15601,111615,226000.0,10000000.0
2006-08-30,15600,15806,15565,15809,83765,229000.0,10000000.0
2006-08-31,15841,16221,15600,16120,177984,233500.0,10000000.0
2006-09-01,16153,16257,15877,16085,99040,233000.0,10000000.0
2006-09-04,16221,16704,16014,16499,253316,239000.0,10000000.0
2006-09-05,16670,16981,16429,16742,215511,242500.0,10000000.0
2006-09-06,16842,16842,16289,16293,117515,236000.0,10000000.0
2006-09-07,16014,16326,16014,16085,76776,233000.0,10000000.0
2006-09-08,16084,16430,16014,16223,83654,235000.0,10000000.0
2006-09-11,16289,16429,15979,15981,73295,231500.0,10000000.0
2006-09-12,15530,15530,13597,14221,735147,206000.0,10000000.0
2006-09-13,14185,14565,13564,14014,288115,203000.0,10000000.0
2006-09-14,14046,14634,14013,14360,257437,208000.0,10000000.0
2006-09-15,14667,15357,14529,15188,392993,220000.0,10000000.0
2006-09-18,15221,15394,14876,15084,142035,218500.0,10000000.0
2006-09-19,14909,15117,14667,15049,179108,218000.0,10000000.0
2006-09-20,14840,15013,14702,14705,105385,213000.0,10000000.0
2006-09-21,14702,14702,14702,14705,0,213000.0,10000000.0
2006-09-22,14496,14980,14358,14429,138230,209000.0,10000000.0
2006-09-25,14289,14600,14289,14601,61517,211500.0,10000000.0
2006-09-26,14840,14840,14322,14360,68805,208000.0,10000000.0
2006-09-27,14393,14496,14324,14325,68610,207500.0,10000000.0
2006-09-28,14185,14391,14150,14360,80520,208000.0,10000000.0
2006-09-29,14288,14426,14184,14221,58206,206000.0,10000000.0
2006-10-02,14219,14288,13839,13877,102860,201000.0,10000000.0
2006-10-04,13667,13805,13494,13738,75422,199000.0,10000000.0
2006-10-09,13598,13701,11735,11736,182517,170000.0,10000000.0
2006-10-10,11699,12217,11699,11978,89650,173500.0,10000000.0
2006-10-11,11734,12045,11423,11667,68775,169000.0,10000000.0
2006-10-12,11596,12804,11596,12806,144808,185500.0,10000000.0
2006-10-13,12838,13045,12596,12633,94540,183000.0,10000000.0
2006-10-16,12769,12769,12458,12633,42788,183000.0,10000000.0
2006-10-17,12702,12702,12080,12357,60222,179000.0,10000000.0
2006-10-18,12183,12251,12009,12116,47178,175500.0,10000000.0
2006-10-19,12079,12562,12045,12150,82853,176000.0,10000000.0
2006-10-20,12149,12493,12080,12219,61280,177000.0,10000000.0
2006-10-23,12321,12941,12217,12633,129920,183000.0,10000000.0
2006-10-24,12803,13149,12631,12633,79082,183000.0,10000000.0
2006-10-25,12666,12839,12425,12565,91680,182000.0,10000000.0
2006-10-26,12458,12769,12458,12633,58710,183000.0,10000000.0
2006-10-27,12803,12838,12493,12633,45696,183000.0,10000000.0
2006-10-30,12597,12631,12424,12426,28894,180000.0,10000000.0
2006-10-31,12424,12562,12251,12426,46875,180000.0,10000000.0
2006-11-01,12735,13218,12563,12979,132500,188000.0,10000000.0
2006-11-02,12976,13321,12838,12945,52356,187500.0,10000000.0
2006-11-03,13115,13149,12840,12841,53586,186000.0,10000000.0
2006-11-06,12839,13358,12702,13358,71921,193500.0,10000000.0
2006-11-07,13425,14115,13217,13773,172471,199500.0,10000000.0
2006-11-08,14081,14288,13736,14049,125035,203500.0,10000000.0
2006-11-09,14082,14082,13736,14014,48436,203000.0,10000000.0
2006-11-10,13910,14565,13874,14497,111525,210000.0,10000000.0
2006-11-13,14634,14945,14427,14912,137370,216000.0,10000000.0
2006-11-14,14909,15013,14667,14739,80101,213500.0,10000000.0
2006-11-15,14738,14980,14427,14429,85953,209000.0,10000000.0
2006-11-16,14047,14151,13564,13945,158250,202000.0,10000000.0
2006-11-17,13737,14013,13737,13945,43933,202000.0,10000000.0
2006-11-20,13873,14081,13633,13911,36201,201500.0,10000000.0
2006-11-21,13910,14530,13910,14463,75410,209500.0,10000000.0
2006-11-22,14634,14634,14290,14463,75180,209500.0,10000000.0
2006-11-23,14634,15082,14461,15049,138770,218000.0,10000000.0
2006-11-24,15186,15186,14874,15049,52323,218000.0,10000000.0
2006-11-27,15048,15256,14807,14808,75121,214500.0,10000000.0
2006-11-28,14565,14703,14290,14635,72380,212000.0,10000000.0
2006-11-29,14807,14979,14738,14808,67166,214500.0,10000000.0
2006-11-30,14737,14840,14529,14670,62540,212500.0,10000000.0
2006-12-01,14529,14771,14529,14566,43571,211000.0,10000000.0
2006-12-04,14496,14668,14324,14325,53210,207500.0,10000000.0
2006-12-05,14185,14427,13978,13980,53720,202500.0,10000000.0
2006-12-06,14151,14634,14013,14325,124060,207500.0,10000000.0
2006-12-07,14426,14461,13943,14049,56820,203500.0,10000000.0
2006-12-08,14013,14151,13874,14014,31685,203000.0,10000000.0
2006-12-11,13944,14289,13944,14014,43375,203000.0,10000000.0
2006-12-12,14012,14116,13701,13738,28520,199000.0,10000000.0
2006-12-13,13736,14082,13564,13841,44420,200500.0,10000000.0
2006-12-14,13701,13839,13667,13738,29874,199000.0,10000000.0
2006-12-15,13736,14082,13736,14014,33850,203000.0,10000000.0
2006-12-18,14081,14701,14081,14566,87086,211000.0,10000000.0
2006-12-19,14634,14806,14391,14670,47830,212500.0,10000000.0
2006-12-20,14771,14771,14219,14256,80552,206500.0,10000000.0
2006-12-21,14047,14185,13944,14014,27580,203000.0,10000000.0
2006-12-22,14047,14082,13841,13945,20040,202000.0,10000000.0
2006-12-26,13770,13942,13633,13738,28010,199000.0,10000000.0
2006-12-27,13737,13841,13598,13807,20255,200000.0,10000000.0
2006-12-28,14219,14253,14012,14256,21686,206500.0,10000000.0
2007-01-02,14289,14358,13910,14014,21960,203000.0,10000000.0
2007-01-03,14046,14046,13701,13738,20118,199000.0,10000000.0
2007-01-04,13736,13873,13633,13703,22130,198500.0,10000000.0
2007-01-05,13737,13771,13115,13462,27780,195000.0,10000000.0
2007-01-08,13253,13287,13114,13220,17492,191500.0,10000000.0
2007-01-09,13218,13218,12978,13048,20620,189000.0,10000000.0
2007-01-10,13011,13045,12562,12806,29710,185500.0,10000000.0
2007-01-11,12702,13012,12702,12875,11372,186500.0,10000000.0
2007-01-12,13183,13253,12976,13117,12920,190000.0,10000000.0
2007-01-15,13115,13115,12840,12841,14912,186000.0,10000000.0
2007-01-16,12839,12908,12632,12875,16393,186500.0,10000000.0
2007-01-17,12701,12735,12494,12565,15994,182000.0,10000000.0
2007-01-18,12562,12631,12424,12426,16380,180000.0,10000000.0
2007-01-19,12286,12286,11908,12081,26070,175000.0,10000000.0
2007-01-22,11941,11941,11629,11667,34121,169000.0,10000000.0
2007-01-23,11665,11804,11494,11701,15034,169500.0,10000000.0
2007-01-24,11699,12148,11699,12150,16149,176000.0,10000000.0
2007-01-25,12251,12321,12113,12289,16690,178000.0,10000000.0
2007-01-26,12148,12251,12010,12253,13860,177500.0,10000000.0
2007-01-29,12287,12322,12011,12013,16221,174000.0,10000000.0
2007-01-30,11908,12080,11803,11908,17140,172500.0,10000000.0
