현대위아(011210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-02-21,76500,76500,70000,70200,2335275,1806254.0,25730119.0
2011-02-22,68000,70600,65800,69900,862076,1798535.0,25730119.0
2011-02-23,69500,72600,69200,71600,441504,1842277.0,25730119.0
2011-02-24,71200,72600,71200,71300,215507,1834557.0,25730119.0
2011-02-25,71500,71700,69700,70800,175787,1821692.0,25730119.0
2011-02-28,70000,70000,67100,67500,394760,1736783.0,25730119.0
2011-03-02,66700,68100,66100,66300,196862,1705907.0,25730119.0
2011-03-03,66800,69800,66300,69500,363268,1788243.0,25730119.0
2011-03-04,70000,70800,68200,69000,230771,1775378.0,25730119.0
2011-03-07,68600,72500,68300,72200,507726,1857715.0,25730119.0
2011-03-08,72200,75300,71800,74300,469300,1911748.0,25730119.0
2011-03-09,74600,74900,72900,73300,218451,1886018.0,25730119.0
2011-03-10,73300,74400,72200,73900,182397,1901456.0,25730119.0
2011-03-11,72800,75600,71500,74900,245314,1927186.0,25730119.0
2011-03-14,75800,75900,72700,73500,212813,1891164.0,25730119.0
2011-03-15,73500,73900,67000,70800,251682,1821692.0,25730119.0
2011-03-16,70600,71900,69400,70800,126781,1821692.0,25730119.0
2011-03-17,68400,70000,68300,69400,187319,1785670.0,25730119.0
2011-03-18,69900,71600,69500,70500,160801,1813973.0,25730119.0
2011-03-21,70000,70700,69300,70000,402010,1801108.0,25730119.0
2011-03-22,70600,70600,68800,69000,407412,1775378.0,25730119.0
2011-03-23,69200,75100,69200,74600,745943,1919467.0,25730119.0
2011-03-24,75300,77300,74600,76500,687119,1968354.0,25730119.0
2011-03-25,77000,77400,74700,75400,268996,1940051.0,25730119.0
2011-03-28,75800,78900,74600,77800,337829,2001803.0,25730119.0
2011-03-29,77800,79700,77300,77900,351791,2004376.0,25730119.0
2011-03-30,77500,79200,76800,77800,310478,2001803.0,25730119.0
2011-03-31,78500,78600,77200,77300,190636,1988938.0,25730119.0
2011-04-01,77300,77400,76000,76400,213434,1965781.0,25730119.0
