하이골드3호(153360),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-05-04,5000,5030,4855,5000,5105,80749.0,16149790.0
2012-05-07,4990,5000,4980,4990,7780,80587.0,16149790.0
2012-05-08,4990,5000,4970,4990,25969,80587.0,16149790.0
2012-05-09,4970,5000,4970,4995,12385,80668.0,16149790.0
2012-05-10,4995,5010,4995,5010,3050,80910.0,16149790.0
2012-05-11,5000,5010,5000,5000,830,80749.0,16149790.0
2012-05-14,5000,5000,5000,5000,40,80749.0,16149790.0
2012-05-15,5000,5000,4980,5000,3200,80749.0,16149790.0
2012-05-16,5000,5000,4980,4990,5331,80587.0,16149790.0
2012-05-17,4995,4995,4990,4990,9180,80587.0,16149790.0
2012-05-18,4980,5000,4970,4995,1580,80668.0,16149790.0
2012-05-21,4995,4995,4995,4995,1060,80668.0,16149790.0
2012-05-22,4995,4995,4980,4990,2677,80587.0,16149790.0
2012-05-23,4995,4995,4990,4990,6165,80587.0,16149790.0
2012-05-24,4990,4990,4980,4990,1233,80587.0,16149790.0
2012-05-25,4990,4995,4990,4995,1460,80668.0,16149790.0
2012-05-29,4995,4995,4995,4995,310,80668.0,16149790.0
2012-05-30,4985,4985,4985,4985,2940,80507.0,16149790.0
2012-05-31,4995,4995,4995,4995,2000,80668.0,16149790.0
2012-06-01,4995,4995,4995,4995,18810,80668.0,16149790.0
2012-06-04,4995,4995,4980,4995,3290,80668.0,16149790.0
2012-06-05,0,0,0,5000,0,80749.0,16149790.0
2012-06-07,4995,4995,4990,4995,1900,80668.0,16149790.0
2012-06-08,4995,5020,4980,4980,1200,80426.0,16149790.0
2012-06-11,4980,4980,4980,4980,3265,80426.0,16149790.0
2012-06-12,4980,4980,4970,4980,26381,80426.0,16149790.0
2012-06-13,4980,4980,4980,4980,280,80426.0,16149790.0
2012-06-14,4990,4990,4920,4990,2720,80587.0,16149790.0
2012-06-15,4960,4960,4960,4960,1100,80103.0,16149790.0
2012-06-18,4920,4960,4800,4855,23010,78407.0,16149790.0
2012-06-19,4955,4955,4955,4955,30,80022.0,16149790.0
2012-06-20,4860,4920,4810,4920,25292,79457.0,16149790.0
2012-06-21,4850,4905,4810,4810,8010,77680.0,16149790.0
2012-06-22,4895,4895,4840,4840,983,78165.0,16149790.0
2012-06-25,4885,4885,4845,4845,157,78246.0,16149790.0
2012-06-26,4805,4885,4760,4870,18660,78649.0,16149790.0
2012-06-27,4890,4890,4890,4890,200,78972.0,16149790.0
2012-06-28,4895,4895,4840,4885,240,78892.0,16149790.0
2012-06-29,4860,4880,4860,4880,270,78811.0,16149790.0
2012-07-02,4895,4930,4840,4930,330,79618.0,16149790.0
2012-07-03,4885,4905,4850,4890,980,78972.0,16149790.0
2012-07-04,4880,4880,4880,4880,610,78811.0,16149790.0
2012-07-05,4895,4895,4865,4880,1270,78811.0,16149790.0
2012-07-06,4900,4900,4880,4895,350,79053.0,16149790.0
2012-07-09,4870,4895,4870,4895,273,79053.0,16149790.0
2012-07-10,4890,4895,4875,4895,1450,79053.0,16149790.0
2012-07-11,4895,4895,4885,4895,1280,79053.0,16149790.0
2012-07-12,4875,4875,4875,4875,1000,78730.0,16149790.0
2012-07-13,4850,4870,4850,4870,810,78649.0,16149790.0
2012-07-16,4870,4885,4870,4885,490,78892.0,16149790.0
2012-07-17,0,0,0,4885,0,78892.0,16149790.0
2012-07-18,4880,4880,4855,4855,280,78407.0,16149790.0
2012-07-19,4850,4875,4850,4850,1440,78326.0,16149790.0
2012-07-20,4850,4870,4850,4870,210,78649.0,16149790.0
2012-07-23,4860,4860,4860,4860,990,78488.0,16149790.0
2012-07-24,4860,4875,4850,4875,1970,78730.0,16149790.0
2012-07-25,4850,4850,4850,4850,500,78326.0,16149790.0
2012-07-26,4850,4985,4790,4875,2210,78730.0,16149790.0
2012-07-27,4870,4870,4850,4855,390,78407.0,16149790.0
2012-07-30,4850,4870,4850,4870,1800,78649.0,16149790.0
2012-07-31,4870,4870,4870,4870,820,78649.0,16149790.0
2012-08-01,4850,4870,4850,4870,310,78649.0,16149790.0
2012-08-02,4850,4870,4845,4870,2030,78649.0,16149790.0
2012-08-03,4850,4870,4150,4870,60,78649.0,16149790.0
2012-08-06,4870,4870,4870,4870,10,78649.0,16149790.0
2012-08-07,4840,4870,4830,4870,1970,78649.0,16149790.0
2012-08-08,4810,4865,4805,4865,5470,78569.0,16149790.0
2012-08-09,4865,4865,4865,4865,10,78569.0,16149790.0
2012-08-10,4865,4870,4850,4870,360,78649.0,16149790.0
2012-08-13,4840,4875,4840,4875,4600,78730.0,16149790.0
2012-08-14,4860,4870,4850,4870,3650,78649.0,16149790.0
2012-08-16,4830,4930,4830,4915,520,79376.0,16149790.0
2012-08-17,4825,4870,4825,4870,110,78649.0,16149790.0
2012-08-20,4865,4865,4865,4865,20,78569.0,16149790.0
2012-08-21,4830,4830,4830,4830,6420,78003.0,16149790.0
2012-08-22,4865,4865,4865,4865,10,78569.0,16149790.0
2012-08-23,4860,4865,4840,4865,450,78569.0,16149790.0
2012-08-24,4865,4865,4865,4865,10,,
2012-08-27,4865,4865,4860,4860,40,78488.0,16149790.0
2012-08-28,4860,4865,4860,4865,160,78569.0,16149790.0
2012-08-29,4830,4925,4830,4925,130,79538.0,16149790.0
2012-08-30,4935,4950,4830,4840,1140,78165.0,16149790.0
2012-08-31,4840,4875,4840,4875,581,78730.0,16149790.0
2012-09-03,4830,4870,4830,4870,230,78649.0,16149790.0
2012-09-04,4875,4875,4850,4850,1423,78326.0,16149790.0
2012-09-05,4870,4870,4865,4865,20,78569.0,16149790.0
2012-09-06,4860,4875,4860,4875,40,78730.0,16149790.0
