웅진에너지(103130),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-06-30,95211,109492,95211,109493,8026009,855600.0,62000000.0
2010-07-01,116633,125758,111873,121791,13384602,951700.0,62000000.0
2010-07-02,119014,126948,113856,123775,5989444,967200.0,62000000.0
2010-07-05,127741,131708,115046,115047,3514931,899000.0,62000000.0
2010-07-06,114650,119410,112666,113063,2895427,883500.0,62000000.0
2010-07-07,114650,129725,114253,129725,4749189,1013700.0,62000000.0
2010-07-08,139246,149164,134882,140040,9790422,1094300.0,62000000.0
2010-07-09,142420,146784,135676,145991,5826827,1140800.0,62000000.0
2010-07-12,146387,147180,139246,142023,3190087,1109800.0,62000000.0
2010-07-13,139643,152338,138056,149958,4074918,1171800.0,62000000.0
2010-07-14,151544,151941,142023,142023,4134429,1109800.0,62000000.0
2010-07-15,142023,145197,137659,141230,2286633,1103600.0,62000000.0
2010-07-16,140833,142816,134089,134883,1880391,1054000.0,62000000.0
2010-07-19,132502,142420,131708,140040,1810526,1094300.0,62000000.0
2010-07-20,140833,146387,138849,139643,1893563,1091200.0,62000000.0
2010-07-21,142023,144403,140039,142817,1466547,1116000.0,62000000.0
2010-07-22,144007,145990,131708,134486,1934418,1050900.0,62000000.0
2010-07-23,137659,138849,129328,129725,1397567,1013700.0,62000000.0
2010-07-26,127741,130915,124568,126155,1191908,985800.0,62000000.0
2010-07-27,128138,129328,121791,125362,1349501,979600.0,62000000.0
2010-07-28,126551,132105,123774,130915,1620522,1023000.0,62000000.0
2010-07-29,132105,136072,126948,127345,2271430,995100.0,62000000.0
2010-07-30,127741,128535,119014,120204,2156102,939300.0,62000000.0
2010-08-02,120600,122981,117427,118221,1003567,923800.0,62000000.0
2010-08-03,119807,126948,119807,126155,1831472,985800.0,62000000.0
2010-08-04,129328,137262,128138,131709,3363331,1029200.0,62000000.0
2010-08-05,131708,132502,127345,129329,1028954,1010600.0,62000000.0
2010-08-06,129725,130915,122981,125758,726847,982700.0,62000000.0
2010-08-09,125758,126551,123377,125362,634736,979600.0,62000000.0
2010-08-10,125758,132502,125361,130122,1413433,1016800.0,62000000.0
2010-08-11,133692,136469,128931,130519,1921197,1019900.0,62000000.0
2010-08-12,126948,129725,120204,120204,1465163,939300.0,62000000.0
2010-08-13,122981,124171,120600,121394,730125,948600.0,62000000.0
2010-08-16,122584,130915,122187,130915,1386423,1023000.0,62000000.0
2010-08-17,132502,132502,128535,131709,994419,1029200.0,62000000.0
2010-08-18,132502,134485,128931,133692,1287122,1044700.0,62000000.0
2010-08-19,134882,139643,133295,133692,1867549,1044700.0,62000000.0
2010-08-20,133692,137659,133295,136469,1416663,1066400.0,62000000.0
2010-08-23,138849,138849,130915,131312,1245583,1026100.0,62000000.0
2010-08-24,133295,135676,132105,132106,1009937,1032300.0,62000000.0
2010-08-25,134089,137659,132899,134883,1484291,1054000.0,62000000.0
2010-08-26,136866,138056,128931,130122,1083897,1016800.0,62000000.0
2010-08-27,128931,131708,124568,131312,1099326,1026100.0,62000000.0
2010-08-30,133295,133692,128931,129725,576690,1013700.0,62000000.0
2010-08-31,128138,128535,125758,126948,474453,992000.0,62000000.0
2010-09-01,130122,131312,126154,126948,684122,992000.0,62000000.0
2010-09-02,129328,129725,126154,126552,555936,988900.0,62000000.0
2010-09-03,127741,130122,126551,129329,544894,1010600.0,62000000.0
2010-09-06,131312,132105,128535,129329,469375,1010600.0,62000000.0
2010-09-07,130518,134485,129725,131709,1008695,1029200.0,62000000.0
