오렌지라이프(079440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-05-11,31200,32800,31050,31600,3420627,2591200.0,82000000.0
2017-05-12,31350,31450,30600,31000,945170,2542000.0,82000000.0
2017-05-15,31050,32050,30850,31800,759196,2607600.0,82000000.0
2017-05-16,32150,32200,31700,31950,279754,2619900.0,82000000.0
2017-05-17,32000,32000,31350,31650,289706,2595300.0,82000000.0
2017-05-18,31250,31600,30800,31100,388955,2550200.0,82000000.0
2017-05-19,31100,31200,30500,31000,325338,2542000.0,82000000.0
2017-05-22,31000,31100,30700,30750,137214,2521500.0,82000000.0
2017-05-23,30950,31000,30450,31000,453082,2542000.0,82000000.0
2017-05-24,31000,31750,30750,31300,391519,2566600.0,82000000.0
2017-05-25,31300,31900,31200,31650,424620,2595300.0,82000000.0
2017-05-26,31850,31850,31300,31450,323300,2578900.0,82000000.0
2017-05-29,31500,31800,31450,31800,149365,2607600.0,82000000.0
2017-05-30,31800,31900,31500,31500,57031,2583000.0,82000000.0
2017-05-31,31500,32100,31350,32100,181965,2632200.0,82000000.0
2017-06-01,32100,32200,31650,32100,112052,2632200.0,82000000.0
2017-06-02,31800,32300,31800,32250,106400,2644500.0,82000000.0
2017-06-05,32250,32400,31900,31900,147850,2615800.0,82000000.0
2017-06-07,31900,32200,31600,31650,81159,2595300.0,82000000.0
2017-06-08,31850,32500,31550,32200,147038,2640400.0,82000000.0
2017-06-09,32350,32350,31550,31850,92013,2611700.0,82000000.0
2017-06-12,31650,32000,31600,31700,34260,2599400.0,82000000.0
2017-06-13,32050,32050,31300,31650,196523,2595300.0,82000000.0
2017-06-14,31500,31950,31500,31950,173767,2619900.0,82000000.0
2017-06-15,31950,31950,31400,31700,58613,2599400.0,82000000.0
2017-06-16,31950,32000,31650,31750,95592,2603500.0,82000000.0
2017-06-19,31950,32000,31400,31900,72450,2615800.0,82000000.0
2017-06-20,31800,32000,31300,32000,268869,2624000.0,82000000.0
2017-06-21,32000,32000,31600,31850,234923,2611700.0,82000000.0
2017-06-22,31900,33000,31750,32950,443313,2701900.0,82000000.0
2017-06-23,33100,33450,32700,33450,356619,2742900.0,82000000.0
2017-06-26,33500,33700,33100,33700,455792,2763400.0,82000000.0
2017-06-27,33900,33900,33050,33500,325209,2747000.0,82000000.0
2017-06-28,33500,33750,33400,33450,216459,2742900.0,82000000.0
2017-06-29,33400,33600,32450,33400,312536,2738800.0,82000000.0
2017-06-30,33400,34000,33150,34000,612723,2788000.0,82000000.0
2017-07-03,34300,37650,34150,35700,593576,2927400.0,82000000.0
2017-07-04,36100,36350,35750,35950,965397,2947900.0,82000000.0
2017-07-05,36250,36250,35800,36000,72237,2952000.0,82000000.0
2017-07-06,35900,36500,35750,36150,617321,2964300.0,82000000.0
2017-07-07,36300,36300,35800,35850,294440,2939700.0,82000000.0
2017-07-10,36000,36900,35850,36900,340455,3025800.0,82000000.0
2017-07-11,37100,37150,36500,36800,349099,3017600.0,82000000.0
2017-07-12,37000,37300,36750,37000,205053,3034000.0,82000000.0
2017-07-13,37000,38050,36850,37900,350622,3107800.0,82000000.0
2017-07-14,38500,39100,38400,39100,495600,3206200.0,82000000.0
2017-07-17,39500,40050,38300,39850,571315,3267700.0,82000000.0
2017-07-18,39800,39800,37800,38250,298915,3136500.0,82000000.0
2017-07-19,38300,38650,38100,38350,375094,3144700.0,82000000.0
2017-07-20,38350,38450,37250,38000,196780,3116000.0,82000000.0
2017-07-21,38450,38450,37800,38000,219449,3116000.0,82000000.0
2017-07-24,38050,38050,37700,37800,103569,3099600.0,82000000.0
2017-07-25,37850,37900,36750,37250,216334,3054500.0,82000000.0
2017-07-26,37400,38050,36850,37650,223530,3087300.0,82000000.0
2017-07-27,37800,37850,37000,37450,270585,3070900.0,82000000.0
2017-07-28,37300,37300,36900,37050,177278,3038100.0,82000000.0
2017-07-31,37400,37800,36500,37750,214910,3095500.0,82000000.0
2017-08-01,37600,38900,36900,38450,225746,3152900.0,82000000.0
2017-08-02,38650,38950,38150,38900,134459,3189800.0,82000000.0
2017-08-03,38500,38850,37600,38700,94698,3173400.0,82000000.0
2017-08-04,38550,39000,38050,38200,176389,3132400.0,82000000.0
2017-08-07,38150,38900,38000,38800,214109,3181600.0,82000000.0
2017-08-08,38750,38950,38700,38700,157174,3173400.0,82000000.0
2017-08-09,38800,39200,38600,38800,129306,3181600.0,82000000.0
2017-08-10,38800,39150,38650,39150,445443,3210300.0,82000000.0
2017-08-11,39100,39400,38750,39300,872454,3222600.0,82000000.0
2017-08-14,40050,41500,39000,41300,999558,3386600.0,82000000.0
2017-08-16,42700,44000,41200,43000,874440,3526000.0,82000000.0
2017-08-17,43000,43400,42400,43000,559119,3526000.0,82000000.0
2017-08-18,43000,43550,42700,42700,466144,3501400.0,82000000.0
2017-08-21,42600,42700,40500,41500,353414,3403000.0,82000000.0
2017-08-22,41600,41700,41000,41250,346848,3382500.0,82000000.0
2017-08-23,41800,42950,41600,42300,194633,3468600.0,82000000.0
2017-08-24,42850,42850,42000,42600,262202,3493200.0,82000000.0
2017-08-25,42000,42000,41600,41850,244729,3431700.0,82000000.0
2017-08-28,42050,42450,41750,42250,259431,3464500.0,82000000.0
2017-08-29,42200,42950,41700,42900,261483,3517800.0,82000000.0
