동성코퍼레이션(102260),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-06-23,3500,3500,2980,2980,138221,45743.0,3069972.0
2008-06-24,2960,3070,2540,2540,190000,38989.0,3069972.0
2008-06-25,2580,2920,2550,2920,174900,44822.0,3069972.0
2008-06-26,2960,2980,2550,2600,211816,39910.0,3069972.0
2008-06-27,2540,2760,2400,2500,102363,38375.0,3069972.0
2008-06-30,2530,2570,2370,2380,40942,36533.0,3069972.0
2008-07-01,2410,2450,2310,2350,33349,36072.0,3069972.0
2008-07-02,2380,2450,2250,2290,24814,35151.0,3069972.0
2008-07-03,2260,2360,2100,2290,21929,35151.0,3069972.0
2008-07-04,2320,2580,2290,2320,72093,35612.0,3069972.0
2008-07-07,2310,2640,2310,2340,120785,35919.0,3069972.0
2008-07-08,2330,2380,1990,2020,43530,31007.0,3069972.0
2008-07-09,2050,2190,2010,2050,262008,31467.0,3069972.0
2008-07-10,2000,2130,1920,2100,11850,32235.0,3069972.0
2008-07-11,2100,2180,2060,2110,13172,32388.0,3069972.0
2008-07-14,2060,2170,2060,2120,8686,32542.0,3069972.0
2008-07-15,2140,2140,2070,2080,8780,31928.0,3069972.0
2008-07-16,2080,2130,2040,2100,4970,32235.0,3069972.0
2008-07-17,2130,2360,2100,2320,35930,35612.0,3069972.0
2008-07-18,2250,2300,2110,2110,12661,32388.0,3069972.0
2008-07-21,2110,2200,2100,2120,12230,32542.0,3069972.0
2008-07-22,2110,2200,2070,2140,6520,32849.0,3069972.0
2008-07-23,2100,2200,2080,2160,5010,33156.0,3069972.0
2008-07-24,2180,2240,2140,2190,9210,33616.0,3069972.0
2008-07-25,2160,2190,2090,2140,8850,32849.0,3069972.0
2008-07-28,2140,2220,2100,2170,4300,33309.0,3069972.0
2008-07-29,2120,2160,2050,2100,11780,32235.0,3069972.0
2008-07-30,2140,2140,2100,2100,12990,32235.0,3069972.0
2008-07-31,2110,2410,2110,2410,188001,36993.0,3069972.0
2008-08-01,2300,2340,2190,2290,107378,35151.0,3069972.0
2008-08-04,2300,2380,2210,2320,45673,35612.0,3069972.0
2008-08-05,2330,2560,2290,2360,119198,36226.0,3069972.0
2008-08-06,2460,2480,2350,2360,38574,36226.0,3069972.0
2008-08-07,2340,2350,2210,2220,37532,34077.0,3069972.0
2008-08-08,2200,2280,2190,2230,11181,34230.0,3069972.0
2008-08-11,2260,2290,2230,2250,18580,34537.0,3069972.0
2008-08-12,2240,2290,2200,2290,12970,35151.0,3069972.0
2008-08-13,2280,2330,2230,2240,3937,34384.0,3069972.0
2008-08-14,2230,2280,2220,2240,6091,34384.0,3069972.0
2008-08-18,2240,2310,2120,2290,12973,35151.0,3069972.0
2008-08-19,2250,2250,2160,2190,7120,33616.0,3069972.0
2008-08-20,2230,2230,2170,2190,7250,33616.0,3069972.0
2008-08-21,2200,2200,2140,2150,11191,33002.0,3069972.0
2008-08-22,2140,2140,1990,2020,12931,31007.0,3069972.0
2008-08-25,2020,2100,1900,2000,9150,30700.0,3069972.0
2008-08-26,2000,2060,1940,1940,4700,29779.0,3069972.0
2008-08-27,1912,1974,1836,1860,14400,28551.0,3069972.0
2008-08-28,1860,1928,1750,1750,13480,26862.0,3069972.0
2008-08-29,1762,1800,1762,1762,1470,27046.0,3069972.0
2008-09-01,1760,1790,1680,1680,9330,25788.0,3069972.0
2008-09-02,1706,1898,1560,1582,14890,24283.0,3069972.0
2008-09-03,1600,1708,1600,1680,2890,25788.0,3069972.0
2008-09-04,1668,1730,1668,1730,1590,26555.0,3069972.0
2008-09-05,1678,1752,1618,1650,8242,25327.0,3069972.0
2008-09-08,1676,1798,1658,1658,11384,25450.0,3069972.0
2008-09-09,1684,1684,1652,1682,3530,25818.0,3069972.0
2008-09-10,1640,1680,1640,1652,7330,25358.0,3069972.0
2008-09-11,1670,1670,1602,1636,8240,25112.0,3069972.0
2008-09-12,1662,1780,1616,1740,13451,26709.0,3069972.0
2008-09-16,1592,1696,1546,1552,16440,23823.0,3069972.0
2008-09-17,1590,1626,1560,1584,6120,24314.0,3069972.0
2008-09-18,1540,1664,1506,1514,6570,23240.0,3069972.0
2008-09-19,1524,1630,1524,1556,9383,23884.0,3069972.0
2008-09-22,1532,1604,1530,1562,4930,23976.0,3069972.0
2008-09-23,1554,1584,1542,1566,3150,24038.0,3069972.0
2008-09-24,1608,1716,1604,1664,17276,25542.0,3069972.0
2008-09-25,1700,1912,1622,1912,48404,29349.0,3069972.0
2008-09-26,1890,1890,1654,1704,36599,26156.0,3069972.0
2008-09-29,1662,1726,1662,1682,8180,25818.0,3069972.0
2008-09-30,1570,1656,1466,1656,7950,25419.0,3069972.0
2008-10-01,1664,1786,1630,1700,9527,26095.0,3069972.0
2008-10-02,1664,1706,1640,1640,4255,25174.0,3069972.0
2008-10-06,1590,1590,1544,1544,8385,23700.0,3069972.0
2008-10-07,1460,1540,1460,1538,1440,23608.0,3069972.0
2008-10-08,1462,1530,1404,1460,5500,22411.0,3069972.0
2008-10-09,1350,1580,1350,1580,5430,24253.0,3069972.0
2008-10-10,1580,1580,1420,1460,5980,22411.0,3069972.0
2008-10-13,1470,1554,1460,1512,2480,23209.0,3069972.0
2008-10-14,1520,1608,1520,1550,5417,23792.0,3069972.0
2008-10-15,1570,1600,1550,1578,2120,24222.0,3069972.0
2008-10-16,1540,1648,1520,1578,12220,24222.0,3069972.0
2008-10-17,1620,1770,1502,1658,78680,25450.0,3069972.0
2008-10-20,1640,1684,1424,1510,19380,23178.0,3069972.0
2008-10-21,1520,1520,1432,1470,17379,22564.0,3069972.0
2008-10-22,1420,1460,1340,1344,17982,20630.0,3069972.0
2008-10-23,1304,1306,1238,1250,9042,19187.0,3069972.0
2008-10-24,1250,1270,1064,1064,18246,16332.0,3069972.0
