세아제강지주(003030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5099,5267,5099,5217,76210,67561.0,6623600.0
1999-01-05,5396,5575,5217,5421,40870,70210.0,6623600.0
1999-01-06,5421,5831,5268,5524,294530,71535.0,6623600.0
1999-01-07,5881,6341,5779,6343,301890,82133.0,6623600.0
1999-01-08,6394,6829,6241,6419,309100,83126.0,6623600.0
1999-01-11,6446,6804,6190,6598,251970,85444.0,6623600.0
1999-01-12,6879,7058,6444,6701,248670,86769.0,6623600.0
1999-01-13,6751,6957,6598,6752,124220,87432.0,6623600.0
1999-01-14,6445,6546,5754,6138,78720,79483.0,6623600.0
1999-01-15,5983,6545,5983,6291,80170,81470.0,6623600.0
1999-01-18,6496,7008,6445,6854,149220,88756.0,6623600.0
1999-01-19,6904,6904,6495,6624,64270,85776.0,6623600.0
1999-01-20,6393,6546,6137,6138,85280,79483.0,6623600.0
1999-01-21,6035,6137,5728,5934,60090,76834.0,6623600.0
1999-01-22,5779,5779,5320,5371,42270,69548.0,6623600.0
1999-01-25,5473,5499,5114,5421,54260,70210.0,6623600.0
1999-01-26,5523,6086,5446,5729,87510,74184.0,6623600.0
1999-01-27,5881,6034,5446,5729,61010,74184.0,6623600.0
1999-01-28,5676,5933,5625,5831,63240,75509.0,6623600.0
1999-01-29,5880,5932,5625,5677,20250,73522.0,6623600.0
1999-02-01,5676,5831,5575,5831,29180,75509.0,6623600.0
1999-02-02,5908,6343,5882,6240,161290,80808.0,6623600.0
1999-02-03,6189,6189,5882,5882,31040,76171.0,6623600.0
1999-02-04,5983,5983,5369,5677,42250,73522.0,6623600.0
1999-02-05,5522,5778,5472,5677,27900,73522.0,6623600.0
1999-02-08,5677,5779,4833,4833,23670,62593.0,6623600.0
1999-02-09,5370,5370,4961,5064,57390,65574.0,6623600.0
1999-02-10,5065,5115,4849,5115,20550,66236.0,6623600.0
1999-02-11,5243,5344,5114,5166,17610,66898.0,6623600.0
1999-02-12,5165,5320,5165,5268,28310,68223.0,6623600.0
1999-02-18,5447,5473,5243,5268,19410,68223.0,6623600.0
1999-02-19,5166,5218,4936,5115,14020,66236.0,6623600.0
1999-02-22,4965,4965,4858,4859,21150,62924.0,6623600.0
1999-02-23,4864,4909,4679,4808,8640,62262.0,6623600.0
1999-02-24,4986,4986,4680,4710,11800,61003.0,6623600.0
1999-02-25,4659,4659,4454,4552,17810,58950.0,6623600.0
1999-02-26,4604,4777,4552,4619,22270,59811.0,6623600.0
1999-03-02,4751,5011,4674,4783,20150,61931.0,6623600.0
1999-03-03,4859,4910,4767,4772,16300,61798.0,6623600.0
1999-03-04,5012,5012,4858,4905,17330,63520.0,6623600.0
1999-03-05,4859,4991,4762,4987,19570,64580.0,6623600.0
1999-03-08,5142,5269,5039,5115,89950,66236.0,6623600.0
1999-03-09,5165,5319,5027,5064,77390,65574.0,6623600.0
1999-03-10,5064,5140,5012,5064,50590,65574.0,6623600.0
1999-03-11,5065,5345,4992,5115,123060,66236.0,6623600.0
1999-03-12,5370,5523,5243,5268,54670,68223.0,6623600.0
1999-03-15,5268,5421,5268,5371,51190,69548.0,6623600.0
1999-03-16,5473,5473,5294,5371,36680,69548.0,6623600.0
1999-03-17,5420,5472,5242,5294,42090,68554.0,6623600.0
1999-03-18,5370,5396,5027,5028,66720,65110.0,6623600.0
1999-03-19,5063,5267,5011,5217,41260,67561.0,6623600.0
1999-03-22,5114,5320,5114,5192,50610,67230.0,6623600.0
1999-03-23,5114,5217,5089,5192,50130,67230.0,6623600.0
1999-03-24,5216,5600,5140,5499,110190,71204.0,6623600.0
1999-03-25,5369,5575,5369,5473,82390,70873.0,6623600.0
1999-03-26,5473,5523,5319,5421,30990,70210.0,6623600.0
1999-03-29,5319,5523,5267,5499,310840,71204.0,6623600.0
1999-03-30,5523,5933,5472,5831,160410,75509.0,6623600.0
1999-03-31,5933,5933,5677,5856,73270,75840.0,6623600.0
1999-04-01,5857,6087,5755,5984,93430,77496.0,6623600.0
1999-04-02,6035,6112,5729,5959,54510,77165.0,6623600.0
1999-04-06,6035,6189,5984,6138,66650,79483.0,6623600.0
1999-04-07,6214,6343,6035,6138,85150,79483.0,6623600.0
1999-04-08,6137,6266,6035,6138,86110,79483.0,6623600.0
1999-04-09,6137,6341,5983,6343,152240,82133.0,6623600.0
1999-04-12,6624,6701,6445,6649,167260,89551.0,6888544.0
1999-04-13,6725,6803,6546,6649,183920,89551.0,6888544.0
1999-04-14,6649,6803,6546,6649,113720,89551.0,6888544.0
1999-04-15,6701,7110,6701,6777,119990,91273.0,6888544.0
1999-04-16,6906,6906,6547,6598,98130,88862.0,6888544.0
1999-04-19,6674,6828,6597,6649,341940,89551.0,6888544.0
1999-04-20,6803,7646,6751,7621,339560,102639.0,6888544.0
1999-04-21,7620,8439,7518,8184,305310,110217.0,6888544.0
1999-04-22,8438,9052,8233,8797,334710,118483.0,6888544.0
1999-04-23,9002,9667,8490,9181,286900,123649.0,6888544.0
1999-04-26,9181,9411,8976,9360,127440,126060.0,6888544.0
1999-04-27,9461,9486,9205,9411,80220,126749.0,6888544.0
1999-04-28,9207,9974,9105,9974,183440,134327.0,6888544.0
1999-04-29,10230,10639,9923,9974,153110,134327.0,6888544.0
1999-04-30,8491,10179,8491,9974,109460,134327.0,6888544.0
1999-05-03,10179,10588,9974,10409,94630,140182.0,6888544.0
1999-05-04,10256,10588,9898,10153,57300,136738.0,6888544.0
1999-05-06,10279,11456,10151,11253,182400,151548.0,6888544.0
1999-05-07,11509,11560,10486,11049,149200,148793.0,6888544.0
1999-05-10,11251,11456,10842,10997,74670,148104.0,6888544.0
1999-05-11,11458,11458,10691,10690,101560,143971.0,6888544.0
1999-05-12,10229,10690,9718,10230,105300,137771.0,6888544.0
1999-05-13,10333,10486,9719,9718,47200,130882.0,6888544.0
1999-05-14,9819,9870,9256,9872,51860,132949.0,6888544.0
1999-05-17,9898,9949,9463,9463,108500,127438.0,6888544.0
1999-05-18,9463,9974,9361,9974,105850,134327.0,6888544.0
1999-05-19,10333,10486,9719,9974,62570,134327.0,6888544.0
1999-05-20,10179,10179,9463,9974,54570,134327.0,6888544.0
1999-05-21,9770,10128,9719,9974,47250,134327.0,6888544.0
1999-05-24,9719,9924,9565,9565,12130,128816.0,6888544.0
1999-05-25,9667,9667,9259,9565,13280,128816.0,6888544.0
1999-05-26,9310,9872,9310,9642,8860,129849.0,6888544.0
1999-05-27,9820,10485,9641,10230,71430,137771.0,6888544.0
1999-05-28,11763,11763,10228,10997,83740,148104.0,6888544.0
1999-05-31,11251,11251,10740,10741,23000,144659.0,6888544.0
1999-06-01,10435,10946,10435,10946,51960,147415.0,6888544.0
1999-06-02,11048,11252,10229,10844,82530,146037.0,6888544.0
1999-06-03,10842,10996,10228,10741,39890,144659.0,6888544.0
1999-06-04,10484,10740,10382,10741,32540,144659.0,6888544.0
1999-06-07,10998,11100,9386,10690,25880,143971.0,6888544.0
1999-06-08,10484,10944,10484,10894,64320,146726.0,6888544.0
1999-06-09,10895,10895,10383,10792,41270,145348.0,6888544.0
1999-06-10,10485,11099,10434,11099,50210,149481.0,6888544.0
1999-06-11,10998,11253,10384,11049,45900,148793.0,6888544.0
1999-06-14,11046,11046,10535,10536,32230,141904.0,6888544.0
1999-06-15,10535,10637,10024,10281,19150,138460.0,6888544.0
1999-06-16,10486,10895,9974,9974,59480,134327.0,6888544.0
1999-06-17,10384,10486,9975,10435,32990,140526.0,6888544.0
1999-06-18,10332,10843,10229,10844,70140,146037.0,6888544.0
1999-06-21,10792,11202,10025,11202,64940,150859.0,6888544.0
1999-06-22,11202,11202,10742,11202,34420,150859.0,6888544.0
1999-06-23,11305,12481,11049,12174,43530,163947.0,6888544.0
1999-06-24,12071,13400,11866,12941,35070,174280.0,6888544.0
1999-06-25,12736,12941,12275,12531,12000,168769.0,6888544.0
1999-06-28,12376,12785,11763,11764,49120,158437.0,6888544.0
1999-06-29,11764,13299,11252,13299,90400,179102.0,6888544.0
1999-06-30,13810,14270,13144,13759,100400,185302.0,6888544.0
1999-07-01,13759,14169,13299,13299,106810,179102.0,6888544.0
1999-07-02,13299,13759,12889,13043,41760,175658.0,6888544.0
1999-07-05,13094,14013,13094,13350,174810,179791.0,6888544.0
1999-07-06,13400,14066,13400,13810,39340,185991.0,6888544.0
1999-07-07,14066,14321,13604,13964,64870,188057.0,6888544.0
1999-07-08,14219,14321,13810,13964,40290,188057.0,6888544.0
1999-07-09,13810,14116,13043,13503,22800,181858.0,6888544.0
1999-07-12,13632,14067,13299,13299,38120,179102.0,6888544.0
1999-07-13,12839,13759,12839,13299,9710,179102.0,6888544.0
1999-07-14,12327,13810,12327,13555,36730,182546.0,6888544.0
1999-07-15,13093,13962,13093,13606,27850,183235.0,6888544.0
1999-07-16,13604,13809,13195,13606,7250,183235.0,6888544.0
1999-07-19,13912,14270,13094,13401,15150,180480.0,6888544.0
1999-07-20,13400,13606,12889,12889,68650,173591.0,6888544.0
1999-07-21,12684,12786,11431,12225,24540,164636.0,6888544.0
1999-07-22,11968,12224,11507,12225,113820,164636.0,6888544.0
1999-07-23,12378,12530,11713,11713,10420,157748.0,6888544.0
1999-07-26,11507,12018,9972,11253,23710,151548.0,6888544.0
1999-07-27,10740,11763,10484,11508,19720,154992.0,6888544.0
1999-07-28,10995,12735,10995,12736,25180,171525.0,6888544.0
1999-07-29,12173,12786,12173,12531,39080,168769.0,6888544.0
1999-07-30,12785,12939,11251,11764,97310,158437.0,6888544.0
