에어부산(298690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-27,4020,5220,4015,5220,21357442,271805.0,52070000.0
2018-12-28,5600,6560,5260,6090,33184353,317106.0,52070000.0
2019-01-02,6320,6550,5850,6060,7727551,315544.0,52070000.0
2019-01-03,6030,6050,5460,5650,4437760,294196.0,52070000.0
2019-01-04,5600,5780,5320,5750,4698145,299402.0,52070000.0
2019-01-07,5760,5850,5500,5650,2608852,294196.0,52070000.0
2019-01-08,5620,5670,5300,5330,1861302,277533.0,52070000.0
2019-01-09,5600,5770,5320,5360,3709115,279095.0,52070000.0
2019-01-10,5360,5360,5080,5160,1645870,268681.0,52070000.0
2019-01-11,5100,5160,4990,4990,1368399,259829.0,52070000.0
2019-01-14,4860,5030,4820,4865,919669,253321.0,52070000.0
2019-01-15,4920,4955,4810,4820,889483,250977.0,52070000.0
2019-01-16,4850,5140,4850,5050,1957583,262954.0,52070000.0
2019-01-17,5080,5080,4865,4865,700155,253321.0,52070000.0
2019-01-18,4860,4975,4815,4885,634726,254362.0,52070000.0
2019-01-21,4930,4935,4795,4795,435373,249676.0,52070000.0
2019-01-22,4755,4820,4670,4680,572003,243688.0,52070000.0
2019-01-23,4715,4770,4620,4630,427688,241084.0,52070000.0
2019-01-24,4630,4665,4515,4515,661148,235096.0,52070000.0
2019-01-25,4470,4680,4470,4605,787193,239782.0,52070000.0
2019-01-28,4605,4680,4595,4600,451694,239522.0,52070000.0
2019-01-29,4600,4735,4525,4635,786450,241344.0,52070000.0
2019-01-30,4655,4705,4620,4625,357219,240824.0,52070000.0
2019-01-31,4665,4665,4560,4575,312921,238220.0,52070000.0
2019-02-01,4575,4600,4520,4535,283920,236137.0,52070000.0
2019-02-07,4570,4575,4260,4435,348980,230930.0,52070000.0
2019-02-08,4420,4565,4420,4510,290865,234836.0,52070000.0
2019-02-11,4560,4625,4445,4520,361041,235356.0,52070000.0
2019-02-12,4500,4645,4500,4580,289876,238481.0,52070000.0
2019-02-13,4590,4660,4585,4640,305433,241605.0,52070000.0
2019-02-14,4705,4720,4575,4610,384008,240043.0,52070000.0
2019-02-15,4610,4645,4565,4600,187534,239522.0,52070000.0
2019-02-18,4570,4595,4555,4555,197306,237179.0,52070000.0
2019-02-19,4555,4590,4530,4555,192609,237179.0,52070000.0
2019-02-20,4485,4565,4485,4545,263052,236658.0,52070000.0
2019-02-21,4530,4745,4520,4745,900039,247072.0,52070000.0
2019-02-22,4775,5060,4750,4865,3132498,253321.0,52070000.0
2019-02-25,4920,4970,4785,4825,593336,251238.0,52070000.0
2019-02-26,4895,4895,4675,4690,919297,244208.0,52070000.0
2019-02-27,4740,4775,4695,4710,383768,245250.0,52070000.0
2019-02-28,4710,4720,4505,4515,399961,235096.0,52070000.0
2019-03-04,4550,4675,4520,4605,315642,239782.0,52070000.0
2019-03-05,4645,4650,4540,4605,246499,239782.0,52070000.0
2019-03-06,4615,4620,4500,4530,299110,235877.0,52070000.0
2019-03-07,4500,4530,4425,4460,314949,232232.0,52070000.0
2019-03-08,4435,4480,4330,4370,427916,227546.0,52070000.0
2019-03-11,4390,4390,4305,4360,152201,227025.0,52070000.0
2019-03-12,4365,4410,4350,4390,182303,228587.0,52070000.0
2019-03-13,4400,4440,4360,4440,187288,231191.0,52070000.0
2019-03-14,4440,4555,4415,4530,360421,235877.0,52070000.0
2019-03-15,4545,4720,4500,4640,726439,241605.0,52070000.0
2019-03-18,4700,4780,4620,4655,530122,242386.0,52070000.0
2019-03-19,4690,4700,4550,4560,293628,237439.0,52070000.0
2019-03-20,4595,4595,4450,4500,199241,234315.0,52070000.0
2019-03-21,4485,4605,4410,4430,212669,230670.0,52070000.0
2019-03-22,4340,4460,4255,4310,511194,224422.0,52070000.0
2019-03-25,4200,4205,4120,4135,430589,215309.0,52070000.0
2019-03-26,4230,4240,4125,4240,281379,220777.0,52070000.0
2019-03-27,4340,4375,4190,4270,329123,222339.0,52070000.0
2019-03-28,4220,4500,4185,4360,553762,227025.0,52070000.0
2019-03-29,4290,4430,4195,4260,279155,221818.0,52070000.0
2019-04-01,4275,4460,4200,4455,491463,231972.0,52070000.0
2019-04-02,4500,4500,4360,4440,230442,231191.0,52070000.0
2019-04-03,4480,4560,4410,4520,333812,235356.0,52070000.0
2019-04-04,4520,4730,4500,4670,1019694,243167.0,52070000.0
2019-04-05,4720,4720,4570,4620,346889,240563.0,52070000.0
2019-04-08,4720,4725,4460,4600,321515,239522.0,52070000.0
2019-04-09,4600,4650,4490,4555,310963,237179.0,52070000.0
2019-04-10,4515,4635,4480,4610,245286,240043.0,52070000.0
2019-04-11,4610,5990,4610,5990,8777518,311899.0,52070000.0
2019-04-12,6650,7310,6510,6980,42557144,363449.0,52070000.0
2019-04-15,8160,9070,7500,9070,19100629,472275.0,52070000.0
2019-04-16,9070,9170,7450,8010,5306045,417081.0,52070000.0
2019-04-17,7750,7750,7310,7500,3150677,390525.0,52070000.0
2019-04-18,7520,7780,7390,7760,2555130,404063.0,52070000.0
2019-04-19,7700,9400,7630,8340,35218673,434264.0,52070000.0
2019-04-22,8500,8580,7480,7770,7691097,404584.0,52070000.0
2019-04-23,7850,7850,7100,7180,4609071,373863.0,52070000.0
2019-04-24,7050,7240,6840,7200,4282613,374904.0,52070000.0
2019-04-25,7040,7310,6610,6750,4172138,351472.0,52070000.0
2019-04-26,6850,6990,6660,6830,2842651,355638.0,52070000.0
2019-04-29,6650,6740,6510,6680,1381157,347828.0,52070000.0
2019-04-30,6750,7040,6680,6780,3992835,353035.0,52070000.0
2019-05-02,6790,6950,6650,6950,1456856,361886.0,52070000.0
2019-05-03,7060,7060,6620,6630,2041285,345224.0,52070000.0
2019-05-07,6410,6790,6350,6520,1268902,339496.0,52070000.0
2019-05-08,6510,6550,6190,6200,1356102,322834.0,52070000.0
2019-05-09,6230,7000,6080,6350,5241009,330644.0,52070000.0
2019-05-10,6230,6300,5960,5990,1500419,311899.0,52070000.0
2019-05-13,6010,6400,5880,5990,2510025,311899.0,52070000.0
2019-05-14,5840,6070,5830,5990,894814,311899.0,52070000.0
2019-05-15,6000,6150,5950,6020,755689,313461.0,52070000.0
2019-05-16,5980,6190,5940,6020,1096997,313461.0,52070000.0
2019-05-17,6020,6380,5980,6120,1989770,318668.0,52070000.0
2019-05-20,6060,6270,6060,6140,1143323,319710.0,52070000.0
2019-05-21,6130,6140,5880,5930,824715,308775.0,52070000.0
2019-05-22,5930,6160,5890,6020,1144052,313461.0,52070000.0
2019-05-23,6000,6050,5810,5900,592682,307213.0,52070000.0
2019-05-24,5880,6110,5850,6110,1309315,318148.0,52070000.0
2019-05-27,6050,6060,5930,5950,565994,309816.0,52070000.0
2019-05-28,6010,6360,5940,6200,2267280,322834.0,52070000.0
2019-05-29,6200,6450,6110,6310,1735913,328562.0,52070000.0
2019-05-30,6320,7720,6240,7500,12380389,390525.0,52070000.0
2019-05-31,7000,7330,6760,6800,5648450,354076.0,52070000.0
2019-06-03,6690,7140,6590,7030,3038542,366052.0,52070000.0
2019-06-04,6960,7600,6950,7050,8383910,367094.0,52070000.0
2019-06-05,7090,7150,6840,6860,1254606,357200.0,52070000.0
2019-06-07,6860,6970,6700,6920,966842,360324.0,52070000.0
2019-06-10,6930,7200,6900,6900,1567211,359283.0,52070000.0
2019-06-11,6960,7050,6870,7010,720885,365011.0,52070000.0
2019-06-12,7000,7400,6980,7100,3349130,369697.0,52070000.0
2019-06-13,7200,7210,7050,7110,948340,370218.0,52070000.0
2019-06-14,7090,7190,6950,7000,921915,364490.0,52070000.0
2019-06-17,6940,7030,6710,6710,820877,349390.0,52070000.0
2019-06-18,6650,6720,6460,6650,830015,346266.0,52070000.0
2019-06-19,6620,6710,6560,6600,361029,343662.0,52070000.0
2019-06-20,6600,6870,6570,6700,932061,348869.0,52070000.0
2019-06-21,6740,6800,6670,6670,526877,347307.0,52070000.0
2019-06-24,6640,6700,6520,6520,397785,339496.0,52070000.0
2019-06-25,6550,6600,6250,6300,574989,328041.0,52070000.0
2019-06-26,6220,6300,6080,6150,568535,320230.0,52070000.0
2019-06-27,6120,6610,6080,6250,1763279,325438.0,52070000.0
2019-06-28,6200,6350,6160,6180,433701,321793.0,52070000.0
2019-07-01,6150,6240,6090,6190,366571,322313.0,52070000.0
2019-07-02,6300,6450,6210,6380,639968,332207.0,52070000.0
2019-07-03,7500,7580,6660,6660,11180376,346786.0,52070000.0
2019-07-04,6670,8100,6470,7660,34638716,398856.0,52070000.0
2019-07-05,7360,8050,7250,7720,13555557,401980.0,52070000.0
2019-07-08,7540,7770,7240,7270,3459757,378549.0,52070000.0
2019-07-09,7160,7330,6900,7050,2488312,367094.0,52070000.0
2019-07-10,7010,7200,6990,7060,1606581,367614.0,52070000.0
2019-07-11,7290,7910,7070,7800,12485306,406146.0,52070000.0
2019-07-12,7660,7800,7360,7420,4278895,386359.0,52070000.0
2019-07-15,7420,7750,7280,7720,3793763,401980.0,52070000.0
2019-07-16,7790,8270,7600,7900,9795074,411353.0,52070000.0
2019-07-17,7820,8050,7730,7930,2680381,412915.0,52070000.0
2019-07-18,7860,7900,7590,7640,1855486,397815.0,52070000.0
2019-07-19,7570,8160,7560,7950,5938112,413956.0,52070000.0
2019-07-22,7880,8190,7840,7860,2568950,409270.0,52070000.0
2019-07-23,8030,8110,6820,7600,5564224,395732.0,52070000.0
2019-07-24,7700,8050,7300,7860,5999187,409270.0,52070000.0
2019-07-25,7660,7830,7110,7110,2929449,370218.0,52070000.0
2019-07-26,7030,7480,6570,7000,3665181,364490.0,52070000.0
2019-07-29,6700,7220,6700,6760,1454395,351993.0,52070000.0
2019-07-30,6690,6920,6660,6660,865309,346786.0,52070000.0
2019-07-31,6660,6760,6420,6550,792996,341058.0,52070000.0
2019-08-01,6410,6590,6230,6250,824124,325438.0,52070000.0
2019-08-02,6020,6340,5970,6180,829001,321793.0,52070000.0
2019-08-05,6340,6350,5660,5770,1288283,300444.0,52070000.0
2019-08-06,5550,5970,5230,5550,1332472,288988.0,52070000.0
2019-08-07,5750,5820,5500,5630,1170117,293154.0,52070000.0
2019-08-08,5680,5900,5680,5880,804778,306172.0,52070000.0
2019-08-09,5890,6010,5830,5900,712339,307213.0,52070000.0
2019-08-12,5840,5840,5700,5760,460814,299923.0,52070000.0
2019-08-13,5720,5720,5550,5590,464985,291071.0,52070000.0
2019-08-14,5640,5650,5480,5580,440678,290551.0,52070000.0
2019-08-16,5450,5500,5380,5490,400703,285864.0,52070000.0
2019-08-19,5590,7130,5530,6940,11415348,361366.0,52070000.0
2019-08-20,6790,7550,6700,6940,12365060,361366.0,52070000.0
2019-08-21,6910,7390,6830,7060,6025776,367614.0,52070000.0
2019-08-22,7060,7230,6810,6820,3708301,355117.0,52070000.0
2019-08-23,6810,7120,6740,6960,2849025,362407.0,52070000.0
2019-08-26,6900,7200,6570,6640,2814241,345745.0,52070000.0
2019-08-27,6770,7330,6680,6760,6623869,351993.0,52070000.0
2019-08-28,6770,7020,6760,6850,1831558,356680.0,52070000.0
2019-08-29,6910,7140,6840,6950,3163482,361886.0,52070000.0
2019-08-30,7010,7260,7000,7170,3261721,373342.0,52070000.0
2019-09-02,7070,7230,6800,7100,2131908,369697.0,52070000.0
2019-09-03,7610,7750,6610,6670,9981261,347307.0,52070000.0
2019-09-04,6550,6650,6390,6500,2315192,338455.0,52070000.0
2019-09-05,6720,6760,6520,6550,1824642,341058.0,52070000.0
2019-09-06,6530,6590,6410,6500,750590,338455.0,52070000.0
2019-09-09,6510,6520,6350,6350,783365,330644.0,52070000.0
2019-09-10,6370,6450,6250,6270,535651,326479.0,52070000.0
2019-09-11,6210,6450,6210,6400,564586,333248.0,52070000.0
2019-09-16,6310,6350,6220,6300,349213,328041.0,52070000.0
2019-09-17,6210,6270,6150,6200,469288,322834.0,52070000.0
2019-09-18,6170,6260,6160,6200,316926,322834.0,52070000.0
2019-09-19,6210,6270,6160,6170,315061,321272.0,52070000.0
2019-09-20,6120,6730,6120,6340,1998588,330124.0,52070000.0
2019-09-23,6310,6430,6250,6350,510897,330644.0,52070000.0
2019-09-24,6300,6520,6280,6380,535557,332207.0,52070000.0
2019-09-25,6350,6500,6270,6270,446277,326479.0,52070000.0
2019-09-26,6300,6340,6160,6200,302748,322834.0,52070000.0
2019-09-27,6120,6310,6120,6300,309042,328041.0,52070000.0
2019-09-30,6250,6310,6100,6240,285418,324917.0,52070000.0
2019-10-01,6140,6220,6100,6150,297311,320230.0,52070000.0
2019-10-02,6060,6140,6060,6110,290778,318148.0,52070000.0
2019-10-04,6080,6250,6030,6180,348533,321793.0,52070000.0
2019-10-07,6130,6270,6070,6070,455338,316065.0,52070000.0
