한독(002390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,3324,3561,3324,3561,2800,41760.0,1160000.0
1999-01-05,3561,3749,3561,3641,21700,42688.0,1160000.0
1999-01-06,3660,3759,3551,3759,18100,44080.0,1160000.0
1999-01-07,3808,4323,3808,3829,43300,44892.0,1160000.0
1999-01-08,3967,3977,3848,3947,18500,46284.0,1160000.0
1999-01-11,3947,4451,3947,4254,43000,49880.0,1160000.0
1999-01-12,4066,4263,4006,4056,22600,47560.0,1160000.0
1999-01-13,3927,4664,3927,4343,19200,50924.0,1160000.0
1999-01-14,4046,4046,3907,3908,12300,45820.0,1160000.0
1999-01-15,3957,4105,3957,4106,10800,48140.0,1160000.0
1999-01-18,4105,4155,3957,4106,20400,48140.0,1160000.0
1999-01-19,3957,3957,3858,3858,6100,45240.0,1160000.0
1999-01-20,3957,4056,3868,3868,18500,45356.0,1160000.0
1999-01-21,3808,3808,3709,3809,14100,44660.0,1160000.0
1999-01-22,3759,3759,3610,3759,14000,44080.0,1160000.0
1999-01-25,3225,3551,3195,3403,37200,39904.0,1160000.0
1999-01-26,3403,3462,3314,3314,24100,38860.0,1160000.0
1999-01-27,3314,3541,3314,3413,26500,40020.0,1160000.0
1999-01-28,3472,3492,3413,3433,5000,40252.0,1160000.0
1999-01-29,3432,3432,3413,3433,5000,40252.0,1160000.0
1999-02-01,3541,3541,3432,3438,2600,40310.0,1160000.0
1999-02-02,3467,3467,3408,3438,3700,40310.0,1160000.0
1999-02-03,3462,3541,3437,3438,3000,40310.0,1160000.0
1999-02-04,3432,3512,3363,3374,10100,39556.0,1160000.0
1999-02-05,3462,3492,3383,3463,7300,40600.0,1160000.0
1999-02-08,3472,3472,3462,3463,1600,40600.0,1160000.0
1999-02-09,3512,3512,3264,3428,14000,40194.0,1160000.0
1999-02-10,3314,3413,3284,3294,125100,38628.0,1160000.0
1999-02-11,3660,3660,3324,3364,98300,39440.0,1160000.0
1999-02-12,3413,3610,3413,3611,2500,42340.0,1160000.0
1999-02-18,3660,3660,3660,3660,100,42920.0,1160000.0
1999-02-19,3610,3610,3383,3383,18200,39672.0,1160000.0
1999-02-22,3462,3462,3462,3463,100,40600.0,1160000.0
1999-02-23,3165,3462,3165,3463,500,40600.0,1160000.0
1999-02-24,3462,3462,3462,3463,6100,40600.0,1160000.0
1999-02-25,3452,3452,3452,3453,5500,40484.0,1160000.0
1999-02-26,3235,3254,3235,3245,3000,38048.0,1160000.0
1999-03-02,3363,3363,3363,3364,1200,39440.0,1160000.0
1999-03-03,3363,3363,3363,3364,3800,39440.0,1160000.0
1999-03-04,3531,3531,3531,3532,100,41412.0,1160000.0
1999-03-05,3205,3462,3205,3443,5700,40368.0,1160000.0
1999-03-08,3442,3442,3442,3443,200,40368.0,1160000.0
1999-03-09,3462,3462,3442,3443,3800,40368.0,1160000.0
1999-03-10,3442,3442,3432,3443,2900,40368.0,1160000.0
1999-03-11,3442,3442,3442,3443,1000,40368.0,1160000.0
1999-03-12,3442,3442,3413,3443,7400,40368.0,1160000.0
1999-03-15,3413,3462,3363,3463,9600,40600.0,1160000.0
1999-03-16,3442,3442,3363,3443,2800,40368.0,1160000.0
1999-03-17,3437,3437,3264,3413,6400,40020.0,1160000.0
1999-03-18,3264,3413,3264,3413,6700,40020.0,1160000.0
1999-03-19,3264,3413,3264,3413,3600,40020.0,1160000.0
1999-03-22,3413,3413,3304,3403,10000,39904.0,1160000.0
1999-03-23,3398,3403,3304,3403,20200,39904.0,1160000.0
1999-03-24,3363,3442,3363,3443,16900,40368.0,1160000.0
1999-03-25,3442,3442,3363,3378,4700,39614.0,1160000.0
