삼호(001880),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,6261,6547,5883,6545,123460,23805.0,6900000.0
1999-01-05,7022,7210,6281,6925,192730,25185.0,6900000.0
1999-01-06,6926,7021,6357,6545,150720,23805.0,6900000.0
1999-01-07,6640,6831,6319,6489,129480,23598.0,6900000.0
1999-01-08,6357,6831,6357,6451,116240,23460.0,6900000.0
1999-01-11,6451,6830,6261,6659,162030,24219.0,6900000.0
1999-01-12,6736,6888,6262,6375,173950,23184.0,6900000.0
1999-01-13,6356,6640,6071,6602,227680,24012.0,6900000.0
1999-01-14,6072,6548,5617,5787,155840,21045.0,6900000.0
1999-01-15,5577,6165,5577,6166,116330,22425.0,6900000.0
1999-01-18,6279,6508,6070,6261,112680,22770.0,6900000.0
1999-01-19,6165,7115,5692,6830,417150,24840.0,6900000.0
1999-01-20,6830,6830,5882,6052,231260,22011.0,6900000.0
1999-01-21,5883,6052,5350,5350,149160,19458.0,6900000.0
1999-01-22,5142,5635,4799,5502,146770,20010.0,6900000.0
1999-01-25,5694,5694,5029,5028,60370,18285.0,6900000.0
1999-01-26,5028,5314,4669,4743,130380,17250.0,6900000.0
1999-01-27,4562,4932,4192,4933,239180,17940.0,6900000.0
1999-01-28,4932,5028,4649,4914,101100,17871.0,6900000.0
1999-01-29,4555,5503,4555,5123,148540,18630.0,6900000.0
1999-02-01,5123,5654,5123,5502,187500,20010.0,6900000.0
1999-02-02,5692,5692,5237,5502,152940,20010.0,6900000.0
1999-02-03,5330,5597,5123,5407,113480,19665.0,6900000.0
1999-02-04,5219,5484,4934,5123,48070,18630.0,6900000.0
1999-02-05,4953,5304,4953,5047,68620,18354.0,6900000.0
1999-02-08,5067,5219,5048,5179,115160,18837.0,6900000.0
1999-02-09,4421,5123,4421,4468,52580,16250.0,6900000.0
1999-02-10,4364,5131,4364,5132,187510,18664.0,6900000.0
1999-02-11,5314,5598,5124,5217,262990,18975.0,6900000.0
1999-02-12,5314,5503,5190,5455,194450,19838.0,6900000.0
1999-02-18,5522,5873,5323,5654,215350,20562.0,6900000.0
1999-02-19,5749,6014,5275,6014,213820,21873.0,6900000.0
1999-02-22,5884,6301,5693,5692,322130,20700.0,6900000.0
1999-02-23,5598,5941,5332,5341,117990,19424.0,6900000.0
1999-02-24,5387,5539,4970,4971,93450,18078.0,6900000.0
1999-02-25,4971,5047,4688,4743,104050,17250.0,6900000.0
1999-02-26,4858,5124,4858,5104,67680,18561.0,6900000.0
1999-03-02,5313,5597,5313,5502,120070,20010.0,6900000.0
1999-03-03,5693,5693,5143,5274,72050,19182.0,6900000.0
1999-03-04,5502,5864,5388,5388,214010,19596.0,6900000.0
1999-03-05,5314,5483,5256,5407,104430,19665.0,6900000.0
1999-03-08,5502,6215,5502,6213,411210,22598.0,6900000.0
1999-03-09,6452,6831,6281,6375,531990,23184.0,6900000.0
1999-03-10,6452,6640,6120,6602,281180,24012.0,6900000.0
1999-03-11,6812,7116,6679,7039,471730,25599.0,6900000.0
1999-03-12,7209,7391,6926,7190,375730,26151.0,6900000.0
1999-03-15,7399,7685,7192,7304,345520,26565.0,6900000.0
1999-03-16,7021,7476,6925,7209,219330,26220.0,6900000.0
1999-03-17,7305,7400,6128,6451,390050,23460.0,6900000.0
1999-03-18,6072,6548,5693,5711,224880,20769.0,6900000.0
1999-03-19,5883,6253,5883,6119,152100,22252.0,6900000.0
1999-03-22,5901,6318,5901,6052,123570,22011.0,6900000.0
1999-03-23,6203,6639,6157,6261,154530,22770.0,6900000.0
1999-03-24,6261,6451,6071,6346,117720,23080.0,6900000.0
1999-03-25,6336,6582,6089,6261,139020,22770.0,6900000.0
1999-03-26,6262,6442,6186,6280,72150,22839.0,6900000.0
1999-03-29,6261,6356,6109,6109,64560,22218.0,6900000.0
1999-03-30,6262,6583,6224,6413,184680,23322.0,6900000.0
1999-03-31,6548,6548,6224,6356,69080,23115.0,6900000.0
1999-04-01,6356,6451,6108,6261,117630,22770.0,6900000.0
1999-04-02,6356,6356,5975,6071,139310,22080.0,6900000.0
1999-04-06,5921,6261,5768,5995,168750,21804.0,6900000.0
1999-04-07,6034,6641,6034,6356,277220,23115.0,6900000.0
1999-04-08,6548,6641,6110,6318,149920,22977.0,6900000.0
1999-04-09,6471,6621,6223,6564,234740,23874.0,6900000.0
1999-04-12,6925,7541,6830,7541,381350,27428.0,6900000.0
1999-04-13,7590,8159,7399,7779,376890,28290.0,6900000.0
1999-04-14,7779,8139,7684,8006,362900,29118.0,6900000.0
1999-04-15,8311,9201,8311,9202,345260,33465.0,6900000.0
1999-04-16,9296,9865,8822,9296,359090,33810.0,6900000.0
1999-04-19,9297,9392,8937,9107,187640,33120.0,6900000.0
1999-04-20,8919,9392,8919,8936,137350,32499.0,6900000.0
1999-04-21,9125,10246,9106,9866,280340,35880.0,6900000.0
1999-04-22,9865,9865,9105,9391,120500,34155.0,6900000.0
1999-04-23,9771,10797,9678,10795,353840,39261.0,6900000.0
1999-04-26,11003,12331,10815,11763,383560,42780.0,6900000.0
1999-04-27,11953,12332,11004,11573,206200,42090.0,6900000.0
1999-04-28,11231,11574,10624,11194,181830,40710.0,6900000.0
1999-04-29,11859,11859,10721,10719,251290,38985.0,6900000.0
1999-04-30,10434,11003,10075,11004,202410,40020.0,6900000.0
1999-05-03,12637,12637,11290,11402,237980,41469.0,6900000.0
1999-05-04,11003,11744,11003,11080,114030,40296.0,6900000.0
1999-05-06,11079,11479,10815,11175,203910,40641.0,6900000.0
1999-05-07,11175,11385,10721,10833,149810,39399.0,6900000.0
1999-05-10,10625,10966,10587,10814,121810,39330.0,6900000.0
1999-05-11,10759,11100,10683,10719,179300,38985.0,6900000.0
1999-05-12,10530,11004,10151,10359,108020,37674.0,6900000.0
1999-05-13,10190,10435,9564,9581,91460,34845.0,6900000.0
1999-05-14,9582,9865,9201,9277,91800,33741.0,6900000.0
1999-05-17,9296,9448,8708,8746,61190,31809.0,6900000.0
1999-05-18,9106,9468,8575,9202,82660,33465.0,6900000.0
1999-05-19,8822,9391,8822,8964,88880,32602.0,6900000.0
1999-05-20,8919,9014,7969,8158,84530,29670.0,6900000.0
1999-05-21,7817,8158,7684,8063,61860,29325.0,6900000.0
1999-05-24,8537,8537,7818,7817,60120,28428.0,6900000.0
1999-05-25,7818,7969,7571,7779,27680,28290.0,6900000.0
1999-05-26,7798,8727,7589,8670,132540,31533.0,6900000.0
1999-05-27,8728,9087,8444,8443,75620,30705.0,6900000.0
1999-05-28,8348,9296,8158,9296,108260,33810.0,6900000.0
1999-05-31,9316,10037,9316,9581,141250,34845.0,6900000.0
1999-06-01,9486,9769,9200,9372,75480,34086.0,6900000.0
1999-06-02,9182,9770,9182,9752,79760,35466.0,6900000.0
1999-06-03,9751,11003,9505,10530,299000,38295.0,6900000.0
1999-06-04,10815,11003,10265,10492,319630,38157.0,6900000.0
1999-06-07,10605,10719,9960,9960,98830,36225.0,6900000.0
1999-06-08,9961,10339,9601,10340,122330,37605.0,6900000.0
1999-06-09,10625,10625,9770,9771,137740,35535.0,6900000.0
1999-06-10,9770,10036,9486,9960,83220,36225.0,6900000.0
1999-06-11,9981,10114,9488,9486,83020,34500.0,6900000.0
1999-06-14,9846,10246,9582,9866,130990,35880.0,6900000.0
1999-06-15,9885,9961,8387,9676,60330,35190.0,6900000.0
1999-06-16,9583,10057,9583,10055,122480,36570.0,6900000.0
1999-06-17,10247,10397,9904,10207,154060,37122.0,6900000.0
1999-06-18,10247,10435,10075,10245,289250,37260.0,6900000.0
1999-06-21,10246,10246,9391,9866,188340,35880.0,6900000.0
1999-06-22,9412,9678,9336,9429,154770,34293.0,6900000.0
1999-06-23,9391,9657,9296,9334,140920,33948.0,6900000.0
1999-06-24,9770,10055,9296,9296,134570,33810.0,6900000.0
1999-06-25,9525,9582,9117,9126,72120,33189.0,6900000.0
1999-06-28,9124,9296,8555,8727,124030,31740.0,6900000.0
1999-06-29,9125,9770,8918,9221,187540,33534.0,6900000.0
1999-06-30,9477,9564,8919,8917,64450,32430.0,6900000.0
1999-07-01,8766,9335,8709,9012,94220,32775.0,6900000.0
1999-07-02,8918,9013,8633,9012,67390,32775.0,6900000.0
1999-07-05,9033,9355,9014,9116,157900,33154.0,6900000.0
1999-07-06,9278,9771,9202,9657,160180,35121.0,6900000.0
1999-07-07,10037,11099,9865,11023,428930,40089.0,6900000.0
1999-07-08,11290,12049,10435,11383,502220,53400.0,8900000.0
1999-07-09,11022,11384,10815,11061,251310,51887.0,8900000.0
1999-07-12,11384,11896,10910,11023,294880,51709.0,8900000.0
1999-07-13,11023,11537,11023,11535,167750,54112.0,8900000.0
