롯데케미칼(011170),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,14500,16100,14350,15900,346800,506574.0,31860000.0
1999-01-05,15900,16500,15200,15900,565910,506574.0,31860000.0
1999-01-06,16500,17900,15900,17500,614990,557550.0,31860000.0
1999-01-07,17500,18000,17100,17200,481860,547992.0,31860000.0
1999-01-08,16800,17700,16800,17500,376640,557550.0,31860000.0
1999-01-11,16800,18000,16800,17500,270260,557550.0,31860000.0
1999-01-12,17900,18500,17300,17500,414820,557550.0,31860000.0
1999-01-13,17500,17500,17000,17100,210840,544806.0,31860000.0
1999-01-14,16500,16800,15600,16100,213990,512946.0,31860000.0
1999-01-15,16000,16600,15800,16200,224130,516132.0,31860000.0
1999-01-18,16400,16600,16200,16500,137230,525690.0,31860000.0
1999-01-19,16500,16800,16200,16700,233230,532062.0,31860000.0
1999-01-20,16600,16900,16200,16500,167460,525690.0,31860000.0
1999-01-21,16700,16800,15300,15500,205770,493830.0,31860000.0
1999-01-22,15700,15700,13500,13500,113030,430110.0,31860000.0
1999-01-25,13100,13500,12300,12300,256520,391878.0,31860000.0
1999-01-26,12900,13200,12400,12550,281830,399843.0,31860000.0
1999-01-27,12600,13800,12600,13650,145510,434889.0,31860000.0
1999-01-28,13650,14200,13000,14000,248910,446040.0,31860000.0
1999-01-29,13950,14300,13600,13900,89000,442854.0,31860000.0
1999-02-01,14000,14450,13900,14100,99750,449226.0,31860000.0
1999-02-02,14000,14200,13700,13700,82190,436482.0,31860000.0
1999-02-03,13700,13700,13100,13400,88440,426924.0,31860000.0
1999-02-04,13400,13700,13000,13500,64480,430110.0,31860000.0
1999-02-05,14000,14950,13900,14400,631130,458784.0,31860000.0
1999-02-08,14800,15300,14300,14800,185140,471528.0,31860000.0
1999-02-09,14700,14700,13700,13800,65630,439668.0,31860000.0
1999-02-10,13800,13800,13100,13200,67900,420552.0,31860000.0
1999-02-11,13600,13700,13250,13300,158680,423738.0,31860000.0
