현대오토에버(307950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-28,75500,94400,73100,88700,4171304,1862700.0,21000000.0
2019-03-29,92500,94500,80300,82100,1131418,1724100.0,21000000.0
2019-04-01,81800,83600,79100,79600,365847,1671600.0,21000000.0
2019-04-02,80200,82400,78700,81100,247372,1703100.0,21000000.0
2019-04-03,81600,82900,79000,79600,199453,1671600.0,21000000.0
2019-04-04,79600,80000,78000,78000,111902,1638000.0,21000000.0
2019-04-05,78400,78500,74200,75200,206446,1579200.0,21000000.0
2019-04-08,75100,77200,73100,76700,153072,1610700.0,21000000.0
2019-04-09,77200,80800,75000,80300,241415,1686300.0,21000000.0
2019-04-10,80300,87500,79100,84100,398111,1766100.0,21000000.0
2019-04-11,84400,89900,83000,89100,290864,1871100.0,21000000.0
2019-04-12,88600,91200,86500,87300,143161,1833300.0,21000000.0
2019-04-15,87900,88400,85000,86300,113001,1812300.0,21000000.0
2019-04-16,86500,89400,82800,88500,156540,1858500.0,21000000.0
2019-04-17,90000,91100,87600,88000,90505,1848000.0,21000000.0
2019-04-18,87300,88300,83600,83700,93744,1757700.0,21000000.0
2019-04-19,83400,85500,83100,84300,27684,1770300.0,21000000.0
2019-04-22,84000,84700,81300,81500,67344,1711500.0,21000000.0
2019-04-23,80500,82000,79900,81600,46667,1713600.0,21000000.0
2019-04-24,82000,82300,79500,80600,54016,1692600.0,21000000.0
2019-04-25,80600,80900,79200,79200,35872,1663200.0,21000000.0
2019-04-26,78800,79600,77900,78400,25472,1646400.0,21000000.0
2019-04-29,76000,79500,75900,79100,128295,1661100.0,21000000.0
2019-04-30,78800,80300,77400,77900,53683,1635900.0,21000000.0
2019-05-02,77600,77800,76700,77100,39085,1619100.0,21000000.0
2019-05-03,77100,77700,76300,76300,25599,1602300.0,21000000.0
2019-05-07,75500,75900,73300,73300,82181,1539300.0,21000000.0
2019-05-08,73100,77200,72400,77000,83513,1617000.0,21000000.0
2019-05-09,76800,77600,74300,75100,38595,1577100.0,21000000.0
2019-05-10,74900,75900,72700,73200,39704,1537200.0,21000000.0
2019-05-13,72100,72600,67500,67900,99364,1425900.0,21000000.0
2019-05-14,65700,67400,62800,63300,173465,1329300.0,21000000.0
2019-05-15,64200,66100,60300,65100,115687,1367100.0,21000000.0
2019-05-16,65700,67600,65100,66100,50942,1388100.0,21000000.0
2019-05-17,65200,67700,63300,63500,29709,1333500.0,21000000.0
2019-05-20,62300,64000,61000,61200,34129,1285200.0,21000000.0
2019-05-21,60500,62300,60200,61300,46126,1287300.0,21000000.0
2019-05-22,61300,63200,60400,62100,35459,1304100.0,21000000.0
2019-05-23,61500,62900,60800,62700,30430,1316700.0,21000000.0
2019-05-24,62500,62500,60300,60300,44144,1266300.0,21000000.0
2019-05-27,59000,60000,56800,57400,67040,1205400.0,21000000.0
2019-05-28,57900,61100,57100,61000,41565,1281000.0,21000000.0
2019-05-29,60900,60900,59400,59600,17037,1251600.0,21000000.0
2019-05-30,60000,63400,59300,63200,52816,1327200.0,21000000.0
2019-05-31,63200,65700,62200,63900,55729,1341900.0,21000000.0
2019-06-03,63100,64400,62100,62900,15485,1320900.0,21000000.0
2019-06-04,62900,64000,60800,61200,25289,1285200.0,21000000.0
2019-06-05,63000,63000,60300,61200,11653,1285200.0,21000000.0
2019-06-07,61800,62300,60700,61600,13197,1293600.0,21000000.0
2019-06-10,61600,66000,60800,65300,47809,1371300.0,21000000.0
2019-06-11,66000,70000,65200,69000,103764,1449000.0,21000000.0
2019-06-12,69000,70400,67100,69500,44823,1459500.0,21000000.0
2019-06-13,69500,70500,68700,69400,17788,1457400.0,21000000.0
2019-06-14,70300,70900,68000,68500,20193,1438500.0,21000000.0
2019-06-17,68500,69500,65400,67000,26530,1407000.0,21000000.0
2019-06-18,66300,69500,66000,68000,26611,1428000.0,21000000.0
