S&TC(100840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-02-22,19514,22433,17516,22433,302807,167771.0,2373000.0
2008-02-25,22211,23290,20466,23164,92401,173229.0,2373000.0
2008-02-26,22687,23480,22148,22656,22896,169432.0,2373000.0
2008-02-27,22338,22846,19260,22656,52212,169432.0,2373000.0
2008-02-28,22528,22655,21735,22212,16414,166110.0,2373000.0
2008-02-29,21894,22687,21418,22688,14678,169670.0,2373000.0
2008-03-03,21926,23100,21672,22530,12877,168483.0,2373000.0
2008-03-04,22211,22211,21068,21261,23832,158991.0,2373000.0
2008-03-05,21259,21259,20085,20087,30941,150211.0,2373000.0
2008-03-06,20085,20148,19133,19357,75090,144753.0,2373000.0
2008-03-07,19323,19514,17927,19514,38320,145940.0,2373000.0
2008-03-10,19101,19387,18562,18785,11938,140482.0,2373000.0
2008-03-11,18435,19546,18339,19357,19279,144753.0,2373000.0
2008-03-12,19609,19927,19419,19769,20201,147838.0,2373000.0
2008-03-13,19768,19927,18784,19769,10452,147838.0,2373000.0
2008-03-14,19831,19831,19101,19642,9716,146889.0,2373000.0
2008-03-17,19197,19228,18245,18722,17542,140007.0,2373000.0
2008-03-18,18721,19038,18404,18690,14111,139770.0,2373000.0
2008-03-19,19164,19577,18688,19357,39198,144753.0,2373000.0
2008-03-20,19291,19704,18688,19642,12041,146889.0,2373000.0
2008-03-21,20148,20275,19831,20054,12564,149974.0,2373000.0
2008-03-24,19831,20275,19799,19833,6808,148312.0,2373000.0
2008-03-25,19990,20180,19673,19959,6872,149262.0,2373000.0
2008-03-26,19959,21640,19451,20752,9426,155194.0,2373000.0
2008-03-27,20783,21640,20148,21514,12078,160889.0,2373000.0
2008-03-28,21513,21894,20911,21481,17774,160652.0,2373000.0
2008-03-31,21481,21672,21037,21673,9269,162076.0,2373000.0
2008-04-01,21387,21894,18435,21006,20397,157093.0,2373000.0
2008-04-02,21481,21481,21037,21102,3608,157804.0,2373000.0
2008-04-03,21354,21354,20466,21355,8856,159703.0,2373000.0
2008-04-04,20624,21354,20624,21292,8387,159228.0,2373000.0
2008-04-07,21291,21323,20624,20658,11957,154482.0,2373000.0
2008-04-08,20657,21259,20657,20658,11112,154482.0,2373000.0
2008-04-10,21037,21387,20783,21261,9302,158991.0,2373000.0
2008-04-11,21227,22211,21196,21926,29571,163974.0,2373000.0
2008-04-14,21354,21894,21227,21292,12489,159228.0,2373000.0
2008-04-15,21323,21894,21259,21418,2104,160178.0,2373000.0
2008-04-16,21576,21799,21037,21578,49082,161364.0,2373000.0
2008-04-17,21799,21799,21323,21324,5458,159466.0,2373000.0
2008-04-18,21196,21799,21196,21736,10011,162550.0,2373000.0
2008-04-21,21703,22528,21418,21673,36253,162076.0,2373000.0
2008-04-22,21418,21735,21291,21578,15228,161364.0,2373000.0
2008-04-23,21576,22782,21068,22656,19339,169432.0,2373000.0
2008-04-24,22211,22814,22211,22530,6316,168483.0,2373000.0
2008-04-25,22242,22528,22052,22307,4449,166822.0,2373000.0
2008-04-28,22402,22910,22052,22688,20196,169670.0,2373000.0
2008-04-29,22687,22814,22116,22562,8350,168720.0,2373000.0
2008-04-30,22782,22782,21545,22688,45217,169670.0,2373000.0
2008-05-02,22402,22687,22179,22433,7185,167771.0,2373000.0
2008-05-06,22338,22370,21894,21957,7593,164212.0,2373000.0
2008-05-07,21894,22338,21894,21957,9065,164212.0,2373000.0
2008-05-08,22148,23354,21830,23164,18261,173229.0,2373000.0
2008-05-09,23386,25067,22846,24751,17624,185094.0,2373000.0
2008-05-13,25384,26558,24464,26052,31412,194823.0,2373000.0
2008-05-14,26051,26654,25766,26433,11884,197671.0,2373000.0
2008-05-15,26431,27828,26431,26845,32615,200756.0,2373000.0
2008-05-16,26971,27573,26749,26972,26471,201705.0,2373000.0
2008-05-19,27573,27573,26114,26116,15340,195298.0,2373000.0
2008-05-20,26019,26622,25797,26336,9002,196959.0,2373000.0
2008-05-21,26019,26812,26019,26623,10713,199095.0,2373000.0
2008-05-22,26051,26971,26051,26655,12287,199332.0,2373000.0
2008-05-23,26654,26654,26305,26655,2407,199332.0,2373000.0
2008-05-26,26336,26971,25670,26972,16301,201705.0,2373000.0
2008-05-27,26971,26971,26368,26972,5304,201705.0,2373000.0
2008-05-28,26971,28558,26495,26496,7588,198146.0,2373000.0
