한일시멘트(300720),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-08-06,144500,184000,117000,119000,269487,493251.0,4144970.0
2018-08-07,123000,142500,117000,121500,188992,503614.0,4144970.0
2018-08-08,123000,126000,117500,121500,64390,503614.0,4144970.0
2018-08-09,121500,121500,115000,116500,41390,482889.0,4144970.0
2018-08-10,121500,123000,118500,121500,46982,503614.0,4144970.0
2018-08-13,122000,134000,117000,118500,56268,491179.0,4144970.0
2018-08-14,120000,124500,117000,120500,19873,499469.0,4144970.0
2018-08-16,125000,126000,120500,122500,21525,507759.0,4144970.0
2018-08-17,123500,125500,122000,125000,10829,518121.0,4144970.0
2018-08-20,125000,129000,124000,127000,13000,526411.0,4144970.0
2018-08-21,128000,128500,123500,128500,18897,532629.0,4144970.0
2018-08-22,126500,128500,125000,127500,16225,528484.0,4144970.0
2018-08-23,127000,128500,124500,128500,18859,532629.0,4144970.0
2018-08-24,129500,133500,127500,133500,14439,553353.0,4144970.0
2018-08-27,128000,144000,122500,143000,40649,592731.0,4144970.0
2018-08-28,143500,157500,140500,147000,19407,609311.0,4144970.0
2018-08-29,144500,150000,144000,149000,8317,617601.0,4144970.0
2018-08-30,148500,153500,146000,150000,12762,621746.0,4144970.0
2018-08-31,149000,155000,147000,151500,12248,627963.0,4144970.0
2018-09-03,156000,156000,148500,149000,13077,617601.0,4144970.0
2018-09-04,148000,155000,147500,154500,12467,640398.0,4144970.0
2018-09-05,157500,163000,154500,156500,21312,648688.0,4144970.0
2018-09-06,160000,169000,155000,158500,34245,656978.0,4144970.0
2018-09-07,159000,167000,154000,167000,18387,692210.0,4144970.0
2018-09-10,169000,169000,162500,164500,12199,681848.0,4144970.0
2018-09-11,165000,167000,158500,165000,23418,683920.0,4144970.0
2018-09-12,167000,167000,159500,164500,14037,681848.0,4144970.0
2018-09-13,163500,165500,159500,162000,11997,671485.0,4144970.0
2018-09-14,162000,162000,154000,155000,11695,642470.0,4144970.0
2018-09-17,156500,158000,151000,153500,12701,636253.0,4144970.0
2018-09-18,153500,156500,149500,149500,12916,619673.0,4144970.0
2018-09-19,148000,150500,145000,145500,6466,603093.0,4144970.0
2018-09-20,146500,147500,141000,144500,16784,598948.0,4144970.0
2018-09-21,144000,148000,143500,145000,11764,601021.0,4144970.0
2018-09-27,145500,158000,145500,154500,20477,640398.0,4144970.0
2018-09-28,152000,154000,148500,148500,10406,615528.0,4144970.0
2018-10-01,152000,154000,148500,152500,6750,632108.0,4144970.0
2018-10-02,152500,156000,151000,154000,7501,638325.0,4144970.0
2018-10-04,159500,159500,150000,152500,5662,632108.0,4144970.0
2018-10-05,151000,152000,142500,146500,8691,607238.0,4144970.0
2018-10-08,146500,150000,144000,146500,3716,607238.0,4144970.0
2018-10-10,147000,150000,138000,140000,6994,580296.0,4144970.0
2018-10-11,132000,140500,132000,136000,5965,563716.0,4144970.0
