삼영전자공업(005680),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5307,5517,5229,5228,46300,104400.0,12000000.0
1999-01-05,5265,5469,5235,5342,112280,106680.0,12000000.0
1999-01-06,5409,6130,5409,6130,320130,122400.0,12000000.0
1999-01-07,6311,6611,6100,6130,326630,122400.0,12000000.0
1999-01-08,6251,6251,5950,6010,112750,120000.0,12000000.0
1999-01-11,6130,6791,6010,6791,452890,135600.0,12000000.0
1999-01-12,6852,6972,6311,6611,207000,132000.0,12000000.0
1999-01-13,6731,7122,6431,6911,367310,138000.0,12000000.0
1999-01-14,6972,7032,6190,6310,148820,126000.0,12000000.0
1999-01-15,6491,6731,6130,6701,186410,133800.0,12000000.0
1999-01-18,6791,7693,6791,7692,599080,153600.0,12000000.0
1999-01-19,7813,7813,6551,6551,314160,130800.0,12000000.0
1999-01-20,6791,6912,6100,6130,236730,122400.0,12000000.0
1999-01-21,6130,6491,6010,6310,136980,126000.0,12000000.0
1999-01-22,6160,6251,5830,5829,111550,116400.0,12000000.0
1999-01-25,5782,5950,5619,5649,79510,112800.0,12000000.0
1999-01-26,5770,6491,5649,5649,109220,112800.0,12000000.0
1999-01-27,5680,5890,5529,5715,41320,114120.0,12000000.0
1999-01-28,5770,6010,5716,5974,59600,119280.0,12000000.0
1999-01-29,5890,6160,5619,5853,38260,116880.0,12000000.0
1999-02-01,6010,6010,5776,5974,55030,119280.0,12000000.0
1999-02-02,6010,6070,5746,5829,50580,116400.0,12000000.0
1999-02-03,5649,5740,5589,5619,37550,112200.0,12000000.0
1999-02-04,5559,5619,5349,5523,39170,110280.0,12000000.0
1999-02-05,5583,5589,5415,5469,19330,109200.0,12000000.0
1999-02-08,5475,5649,5469,5469,27460,109200.0,12000000.0
1999-02-09,5409,5409,5169,5276,28910,105360.0,12000000.0
1999-02-10,5277,5277,4988,5204,40950,103920.0,12000000.0
1999-02-11,5229,5403,5229,5288,32250,105600.0,12000000.0
1999-02-12,5469,5529,5349,5463,58410,109080.0,12000000.0
1999-02-18,5349,5529,5349,5379,17240,107400.0,12000000.0
1999-02-19,4988,5349,4988,5108,19040,102000.0,12000000.0
1999-02-22,5830,5872,5169,5288,111620,105600.0,12000000.0
1999-02-23,5319,5349,5048,5078,83020,101400.0,12000000.0
1999-02-24,5175,5229,5048,5048,32320,100800.0,12000000.0
1999-02-25,4874,4952,4862,4880,50560,97440.0,12000000.0
1999-02-26,4808,5048,4808,4946,177360,98760.0,12000000.0
1999-03-02,5048,5109,4988,5048,54620,100800.0,12000000.0
1999-03-03,5048,5048,4868,4874,42680,97320.0,12000000.0
1999-03-04,4898,5018,4898,4928,21760,98400.0,12000000.0
