지엠비코리아(013870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-11-20,5990,6200,5520,5810,4257245,110810.0,19072280.0
2012-11-21,5950,6080,5630,5800,1377765,110619.0,19072280.0
2012-11-22,5900,5930,5680,5770,638643,110047.0,19072280.0
2012-11-23,5760,5850,5580,5590,521231,106614.0,19072280.0
2012-11-26,5660,5730,5600,5640,315834,107568.0,19072280.0
2012-11-27,5610,5680,5370,5490,362997,104707.0,19072280.0
2012-11-28,5540,5700,5510,5650,241015,107758.0,19072280.0
2012-11-29,5700,5870,5630,5870,377196,111954.0,19072280.0
2012-11-30,5870,5940,5760,5810,241003,110810.0,19072280.0
2012-12-03,5850,5890,5660,5700,93062,108712.0,19072280.0
2012-12-04,5690,5720,5530,5720,117890,109093.0,19072280.0
2012-12-05,5660,5720,5570,5650,66854,107758.0,19072280.0
2012-12-06,5650,5690,5480,5500,154583,104898.0,19072280.0
2012-12-07,5460,5530,5130,5330,148061,101655.0,19072280.0
2012-12-10,5380,5380,5180,5270,93816,100511.0,19072280.0
2012-12-11,5260,5410,5240,5300,81679,101083.0,19072280.0
2012-12-12,5280,5350,5240,5290,46898,100892.0,19072280.0
2012-12-13,5310,5480,5280,5470,74509,104325.0,19072280.0
2012-12-14,5470,5480,5380,5410,47427,103181.0,19072280.0
2012-12-17,5430,5530,5320,5400,48900,102990.0,19072280.0
2012-12-18,5450,5450,5270,5270,41596,100511.0,19072280.0
2012-12-20,5220,5320,5140,5150,71684,98222.0,19072280.0
2012-12-21,5290,5290,5040,5120,47097,97650.0,19072280.0
2012-12-24,5110,5230,5040,5160,26744,98413.0,19072280.0
2012-12-26,5160,5250,5080,5230,40890,99748.0,19072280.0
2012-12-27,5260,5260,5120,5200,24220,99176.0,19072280.0
2012-12-28,5230,5230,5130,5230,12045,99748.0,19072280.0
2013-01-02,5180,5190,5040,5100,63861,97269.0,19072280.0
2013-01-03,5110,5110,4930,4980,106968,94980.0,19072280.0
2013-01-04,5000,5080,4950,5030,42281,95934.0,19072280.0
2013-01-07,5190,5190,4960,4970,32971,94789.0,19072280.0
2013-01-08,5000,5000,4910,5000,20091,95361.0,19072280.0
2013-01-09,5000,5070,4950,5030,57369,95934.0,19072280.0
