종근당(185750),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-12-06,72858,75591,62112,65573,993995,677452.0,9409050.0
2013-12-09,64844,68852,63296,66393,378254,685920.0,9409050.0
2013-12-10,67121,67212,64206,64208,162949,663338.0,9409050.0
2013-12-11,64571,65117,63660,63662,115771,657693.0,9409050.0
2013-12-12,63114,63296,60017,61020,203793,630406.0,9409050.0
2013-12-13,60928,64298,60290,63570,107083,656752.0,9409050.0
2013-12-16,63296,64935,62750,63934,83740,660515.0,9409050.0
2013-12-17,64389,65209,61839,61839,107450,638874.0,9409050.0
2013-12-18,62021,62385,58105,58561,230583,605002.0,9409050.0
2013-12-19,59653,61110,59016,60655,120918,626643.0,9409050.0
2013-12-20,60563,60928,59562,60655,49562,626643.0,9409050.0
2013-12-23,60655,62112,60655,60655,64483,626643.0,9409050.0
2013-12-24,60928,63296,59470,62932,60467,650165.0,9409050.0
2013-12-26,62385,63022,61293,61293,71639,633229.0,9409050.0
2013-12-27,61293,63204,60108,63024,65997,651106.0,9409050.0
2013-12-30,63022,63204,61201,62113,42733,641697.0,9409050.0
2014-01-02,61839,62112,60837,61931,47055,639815.0,9409050.0
2014-01-03,61110,64206,60108,63206,85681,652988.0,9409050.0
2014-01-06,63204,63296,62021,62932,49181,650165.0,9409050.0
2014-01-07,63022,66666,62112,65665,111488,678393.0,9409050.0
2014-01-08,66393,67758,66029,67304,92237,695329.0,9409050.0
2014-01-09,66483,67303,65481,66575,52734,687802.0,9409050.0
2014-01-10,66757,67576,65573,67395,104236,696270.0,9409050.0
2014-01-13,66848,68852,66848,66940,58929,691565.0,9409050.0
2014-01-14,66939,68942,65481,68032,74932,702856.0,9409050.0
2014-01-15,68670,68852,67212,67304,60515,695329.0,9409050.0
2014-01-16,67850,67850,66393,66485,48876,686861.0,9409050.0
2014-01-17,66119,67030,65209,65391,38213,675570.0,9409050.0
2014-01-20,65391,66939,64662,65665,56582,678393.0,9409050.0
2014-01-21,65663,66301,64298,66121,74127,683097.0,9409050.0
2014-01-22,65573,66029,64935,65847,78368,680274.0,9409050.0
2014-01-23,65846,65846,64116,64208,112993,663338.0,9409050.0
2014-01-24,64024,65209,63660,65209,63594,673688.0,9409050.0
2014-01-27,64024,65663,63660,65209,49936,673688.0,9409050.0
2014-01-28,64480,65209,62567,62568,126367,646402.0,9409050.0
2014-01-29,62658,63570,61839,63206,107956,652988.0,9409050.0
2014-02-03,63387,63752,62567,63752,41985,658634.0,9409050.0
2014-02-04,62932,63387,60928,62842,83690,649224.0,9409050.0
2014-02-05,62932,64298,62932,63752,63117,658634.0,9409050.0
2014-02-06,63752,64116,63022,63934,36598,660515.0,9409050.0
2014-02-07,64662,67486,64389,67395,131602,696270.0,9409050.0
2014-02-10,67303,68760,66483,66667,96469,688742.0,9409050.0
2014-02-11,66848,67303,66028,66667,63865,688742.0,9409050.0
2014-02-12,67121,67121,65117,65118,81277,672747.0,9409050.0
2014-02-13,64935,65937,63570,64298,56881,664279.0,9409050.0
2014-02-14,64298,65209,62932,63752,81969,658634.0,9409050.0
2014-02-17,64389,65937,64024,65755,73856,679333.0,9409050.0
2014-02-18,65755,68487,65663,68488,148067,707561.0,9409050.0
2014-02-19,68852,69216,67850,67850,76548,700974.0,9409050.0
2014-02-20,67576,68760,67121,67304,48533,695329.0,9409050.0
2014-02-21,67758,67940,65937,67122,52674,693447.0,9409050.0
2014-02-24,66757,67121,66119,66758,46198,689683.0,9409050.0
2014-02-25,66939,68214,66393,67850,51893,700974.0,9409050.0
2014-02-26,67850,68214,66848,67578,55782,698152.0,9409050.0
2014-02-27,67576,68487,67121,68214,58860,704738.0,9409050.0
2014-02-28,68214,69307,67576,67850,122695,700974.0,9409050.0
2014-03-03,67940,69762,66665,67760,106505,700033.0,9409050.0
2014-03-04,67668,68852,67030,67304,66674,695329.0,9409050.0
2014-03-05,67758,68852,66939,68762,82553,710383.0,9409050.0
2014-03-06,68760,70399,68396,69581,79533,718851.0,9409050.0
2014-03-07,70035,70127,68760,69034,71098,713206.0,9409050.0
2014-03-10,70127,70309,68852,69034,72977,713206.0,9409050.0
2014-03-11,69034,70855,68122,70674,81031,730142.0,9409050.0
2014-03-12,70399,70581,67940,68397,92023,706620.0,9409050.0
2014-03-13,68578,71584,68578,71585,119755,739551.0,9409050.0
2014-03-14,70855,72404,70491,70674,83057,730142.0,9409050.0
2014-03-17,71219,72404,71128,72131,62574,745197.0,9409050.0
2014-03-18,72221,73041,71675,71949,78464,743315.0,9409050.0
2014-03-19,72039,72858,70946,71949,30152,743315.0,9409050.0
2014-03-20,71857,72039,71037,71676,27972,740492.0,9409050.0
2014-03-21,72312,72494,70946,71220,43205,735788.0,9409050.0
2014-03-24,70855,71037,68942,68944,80613,712265.0,9409050.0
2014-03-25,68305,69853,67485,69763,55260,720733.0,9409050.0
2014-03-26,69671,70127,68942,69126,34639,714147.0,9409050.0
2014-03-27,69216,70764,68487,70491,27852,728260.0,9409050.0
2014-03-28,71128,72039,70491,71767,62113,741433.0,9409050.0
2014-03-31,71401,71766,69945,71767,55687,741433.0,9409050.0
2014-04-01,71675,71766,70581,71129,34576,734847.0,9409050.0
2014-04-02,71128,71401,70217,70583,33132,729201.0,9409050.0
2014-04-03,70946,71037,69034,69217,47398,715088.0,9409050.0
2014-04-04,69307,69580,68305,68944,26909,712265.0,9409050.0
2014-04-07,68760,69307,67486,67850,26879,700974.0,9409050.0
2014-04-08,67576,68487,66483,68306,28454,705679.0,9409050.0
2014-04-09,68487,68942,67030,67668,30739,699092.0,9409050.0
2014-04-10,68670,68760,67303,67486,31567,697211.0,9409050.0
2014-04-11,67486,67850,65755,67213,51521,694388.0,9409050.0
2014-04-14,67121,67850,66666,66667,20261,688742.0,9409050.0
2014-04-15,66848,67668,66666,67578,19317,698152.0,9409050.0
2014-04-16,67576,67758,66757,66849,21489,690624.0,9409050.0
2014-04-17,67030,67303,65299,65301,44759,674629.0,9409050.0
2014-04-18,65117,66939,64935,66940,37467,691565.0,9409050.0
2014-04-21,67212,67668,66211,67668,15625,699092.0,9409050.0
2014-04-22,67576,68122,67303,68124,26875,703797.0,9409050.0
2014-04-23,67758,67850,66119,66211,39281,684038.0,9409050.0
2014-04-24,66211,66757,65117,65301,28561,674629.0,9409050.0
