삼진제약(005500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,3996,4066,3961,3979,33220,49720.0,2200000.0
1999-01-05,3978,4208,3908,4066,111640,50820.0,2200000.0
1999-01-06,4154,4384,4084,4313,122940,53900.0,2200000.0
1999-01-07,4399,4558,4312,4392,160890,54890.0,2200000.0
1999-01-08,4560,5043,4391,5043,259700,63030.0,2200000.0
1999-01-11,5474,5792,5368,5792,238440,72380.0,2200000.0
1999-01-12,5986,6654,5792,6074,382590,75900.0,2200000.0
1999-01-13,6424,6424,5632,5632,183740,70400.0,2200000.0
1999-01-14,5597,6072,5351,5809,258770,72600.0,2200000.0
1999-01-15,5986,6680,5809,6513,268480,81400.0,2200000.0
1999-01-18,6515,6848,6338,6337,162370,79200.0,2200000.0
1999-01-19,6426,6426,5811,6021,105090,75240.0,2200000.0
1999-01-20,6125,6319,5931,5933,119400,74140.0,2200000.0
1999-01-21,5895,5895,5472,5510,78850,68860.0,2200000.0
1999-01-22,5401,5772,5103,5545,78250,69300.0,2200000.0
1999-01-25,5633,5633,5105,5104,49140,63800.0,2200000.0
1999-01-26,5265,5530,4930,4929,78360,61600.0,2200000.0
1999-01-27,4963,5157,4945,5018,52630,62700.0,2200000.0
1999-01-28,5105,5510,5105,5229,73280,65340.0,2200000.0
1999-01-29,5281,5439,5246,5396,54300,67430.0,2200000.0
1999-02-01,5571,5606,5437,5439,52010,67980.0,2200000.0
1999-02-02,5457,5721,5457,5597,74590,69960.0,2200000.0
1999-02-03,5685,6433,5597,6434,197030,80410.0,2200000.0
1999-02-04,6778,7016,5932,6144,335380,76780.0,2200000.0
1999-02-05,6250,6514,6002,6161,176360,77000.0,2200000.0
1999-02-08,6249,6328,5632,5632,112490,70400.0,2200000.0
1999-02-09,5494,5757,5141,5289,108890,66110.0,2200000.0
1999-02-10,5016,5598,5016,5492,65970,68640.0,2200000.0
1999-02-11,5493,5598,5404,5492,40570,68640.0,2200000.0
1999-02-12,5553,5738,5493,5651,45820,70620.0,2200000.0
1999-02-18,5686,5986,5633,5809,46180,72600.0,2200000.0
1999-02-19,5809,5809,5528,5632,51320,70400.0,2200000.0
1999-02-22,5632,5632,5306,5308,33310,66330.0,2200000.0
1999-02-23,5307,5413,5193,5264,36820,65780.0,2200000.0
1999-02-24,5192,5299,5026,5026,25910,62810.0,2200000.0
1999-02-25,4982,5017,4753,4806,49130,60060.0,2200000.0
1999-02-26,4806,5140,4806,5139,34450,64240.0,2200000.0
1999-03-02,5281,5334,5176,5281,16610,66000.0,2200000.0
1999-03-03,5281,5316,5043,5043,16340,63030.0,2200000.0
1999-03-04,4981,5210,4858,5078,28440,63470.0,2200000.0
1999-03-05,5105,5175,4964,5061,28720,63250.0,2200000.0
1999-03-08,5035,5246,5035,5104,48740,63800.0,2200000.0
1999-03-09,5158,5458,5123,5194,62180,64900.0,2200000.0
1999-03-10,5245,5315,5016,5053,33520,63140.0,2200000.0
1999-03-11,4928,5122,4928,5018,52700,62700.0,2200000.0
1999-03-12,5087,5316,5043,5104,184980,63800.0,2200000.0
1999-03-15,5192,5281,5122,5174,99950,64680.0,2200000.0
1999-03-16,5175,5210,5016,5053,79440,63140.0,2200000.0
1999-03-17,5106,5247,5037,5070,100380,63360.0,2200000.0
1999-03-18,5071,5193,4876,4876,47160,60940.0,2200000.0
1999-03-19,4860,5000,4789,4859,63460,60720.0,2200000.0
1999-03-22,4860,5089,4790,5000,82570,62480.0,2200000.0
1999-03-23,4999,5236,4893,5018,110290,62700.0,2200000.0
1999-03-24,5016,5264,5016,5043,104920,63030.0,2200000.0
1999-03-25,5017,5088,4930,4929,58580,61600.0,2200000.0
1999-03-26,4929,5016,4859,4876,51880,60940.0,2200000.0
1999-03-29,4874,4892,4751,4752,53880,59400.0,2200000.0
1999-03-30,4850,4876,4770,4842,33290,60500.0,2200000.0
1999-03-31,4859,4904,4788,4806,36460,60060.0,2200000.0
1999-04-01,4805,4962,4786,4824,40550,60280.0,2200000.0
1999-04-02,4840,4945,4751,4824,90710,60280.0,2200000.0
