S&T중공업(003570),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,118943,118943,118943,118943,1420,7999.0,2272397.0
1999-01-05,101372,136854,101372,136515,657000,9180.0,2272397.0
1999-01-06,128406,140232,116241,123337,368680,8294.0,2272397.0
1999-01-07,123336,124011,114888,114888,113760,7726.0,2272397.0
1999-01-08,114889,114889,108131,110496,155280,7431.0,2272397.0
1999-01-11,111510,114551,111510,111510,112300,7499.0,2272397.0
1999-01-12,110834,110834,104752,104752,92120,7044.0,2272397.0
1999-01-13,101372,108131,100359,107793,136660,7249.0,2272397.0
1999-01-14,109482,109482,101372,102048,234420,6863.0,2272397.0
1999-01-15,107793,107793,98668,102724,82480,6908.0,2272397.0
1999-01-18,107794,107794,103062,104752,135880,7044.0,2272397.0
1999-01-19,103399,103399,97993,98669,95120,6635.0,2272397.0
1999-01-20,97994,101372,96642,98331,88240,6601.0,2272397.0
1999-01-21,97993,97993,89545,89545,52380,6010.0,2272397.0
1999-01-22,84814,86166,77718,77719,77600,5227.0,2272397.0
1999-01-25,79409,79409,74340,74678,44900,5022.0,2272397.0
1999-01-26,76030,79071,74340,74340,66780,4999.0,2272397.0
1999-01-27,74339,74339,69608,69609,39440,4681.0,2272397.0
1999-01-28,74339,74339,70960,72650,59760,4886.0,2272397.0
1999-01-29,73327,77044,72651,74340,66800,4999.0,2272397.0
1999-02-01,84476,85490,84476,85490,48440,5749.0,2272397.0
1999-02-02,81099,94277,81099,86167,170540,5795.0,2272397.0
1999-02-03,87180,87180,79408,79408,49320,5340.0,2272397.0
1999-02-04,79071,81436,77382,77381,37620,5204.0,2272397.0
1999-02-05,77381,82786,77381,81773,30720,5499.0,2272397.0
1999-02-08,81099,81099,78057,80760,44240,5420.0,2272397.0
1999-02-09,82786,82786,74339,79408,98980,5340.0,2272397.0
1999-02-10,76029,79408,69271,79408,23200,5340.0,2272397.0
1999-02-11,79409,82787,77719,81098,29180,5454.0,2272397.0
1999-02-12,79408,82786,79408,82787,72200,5567.0,2272397.0
1999-02-18,82788,82788,77719,78395,49400,5272.0,2272397.0
1999-02-19,77718,77718,74339,77719,36940,5227.0,2272397.0
1999-02-22,73664,77719,73327,73326,27640,4931.0,2272397.0
1999-02-23,73327,73664,71975,71975,17320,4840.0,2272397.0
1999-02-24,70961,70961,69272,69271,72580,4658.0,2272397.0
1999-02-25,69271,69271,64202,65554,15420,4408.0,2272397.0
1999-02-26,66230,66569,64202,66230,20140,4454.0,2272397.0
1999-03-02,69609,69609,66569,67582,48240,4545.0,2272397.0
1999-03-03,66906,66906,65892,66230,26040,4454.0,2272397.0
1999-03-04,65216,69946,61836,67243,55000,4522.0,2272397.0
1999-03-05,64202,68596,64202,67582,41740,4545.0,2272397.0
1999-03-08,68257,70285,68257,70285,48220,4727.0,2272397.0
1999-03-09,69271,69608,66568,69609,65520,4670.0,2272397.0
1999-03-10,68595,68595,66568,66905,49500,4488.0,2272397.0
1999-03-11,66569,68596,66569,67582,43560,4545.0,2272397.0
1999-03-12,67919,72988,67919,71298,46700,4795.0,2272397.0
1999-03-15,71975,82112,71975,82112,131640,5511.0,2272397.0
1999-03-16,82112,82112,74678,81098,89220,5454.0,2272397.0
1999-03-17,75015,77718,72650,72650,66560,4886.0,2272397.0
1999-03-18,72650,72650,69271,70960,50240,4761.0,2272397.0
1999-03-19,68257,74002,68257,72988,21800,4908.0,2272397.0
1999-03-22,72988,72988,69608,69609,23760,4681.0,2272397.0
1999-03-23,69608,70960,69608,69947,28140,4704.0,2272397.0
1999-03-24,69947,70624,67582,67582,48720,4545.0,2272397.0
1999-03-25,67581,70623,67581,68257,51140,4590.0,2272397.0
1999-03-26,69272,76030,67582,67582,27620,4545.0,2272397.0
1999-03-29,69272,69272,67582,67920,34880,4556.0,2272397.0
1999-03-30,70960,70960,67919,69947,33800,4704.0,2272397.0
1999-03-31,69946,70284,67919,68595,21800,4613.0,2272397.0
1999-04-01,69271,69271,67919,68595,41000,4613.0,2272397.0
1999-04-02,68596,68596,67582,67920,66580,4568.0,2272397.0
1999-04-06,68257,68257,67582,67920,45640,4568.0,2272397.0
1999-04-07,69271,69271,68256,68595,51980,4613.0,2272397.0
1999-04-08,68933,69946,68595,68595,63100,4613.0,2272397.0
1999-04-09,70960,70960,68256,68257,60780,4590.0,2272397.0
1999-04-12,68596,70961,68596,69271,39100,4658.0,2272397.0
1999-04-13,70624,74340,69609,74340,81180,4999.0,2272397.0
1999-04-14,74339,77718,71974,77719,55160,5227.0,2272397.0
1999-04-15,77382,81099,76030,76030,90220,5113.0,2272397.0
1999-04-16,76029,78732,75015,75015,73840,5045.0,2272397.0
1999-04-19,75015,75015,69608,70960,53200,4772.0,2272397.0
1999-04-20,70960,72650,70960,72650,48460,4874.0,2272397.0
1999-04-21,81098,81098,71298,71298,58860,4795.0,2272397.0
1999-04-22,71298,79070,71298,79070,77580,5317.0,2272397.0
1999-04-23,81098,90896,81098,90897,159040,6113.0,2272397.0
1999-04-26,101034,101034,84476,84477,316080,5681.0,2272397.0
1999-04-27,81099,81099,75016,76030,90180,5113.0,2272397.0
1999-04-28,77719,80761,72989,74340,67320,4999.0,2272397.0
1999-04-29,74340,78733,74340,78733,52140,5295.0,2272397.0
1999-04-30,79747,82788,78733,78733,58780,5283.0,2272397.0
1999-05-03,77718,77718,73663,77719,51660,5227.0,2272397.0
1999-05-04,80759,81435,79408,81435,89400,5476.0,2272397.0
1999-05-06,84477,93601,84477,87856,118600,5908.0,2272397.0
1999-05-07,91235,91235,81435,84477,76200,5681.0,2272397.0
1999-05-10,83802,83802,76030,80760,36640,5431.0,2272397.0
1999-05-11,76367,80084,76367,79746,29700,5351.0,2272397.0
1999-05-12,78732,78732,74678,75015,42060,5033.0,2272397.0
1999-05-13,75015,80421,75015,79070,37980,5317.0,2272397.0
1999-05-14,76030,90897,76030,90222,128620,6067.0,2272397.0
1999-05-17,81436,81774,80760,80760,39120,5431.0,2272397.0
1999-05-18,78057,81099,78057,81098,15720,5442.0,2272397.0
1999-05-19,81098,81098,77381,80422,21640,5408.0,2272397.0
1999-05-20,81098,81098,74678,77719,45260,5227.0,2272397.0
1999-05-21,76030,77719,74679,76030,44360,5113.0,2272397.0
1999-05-24,70961,81099,70961,72988,18360,4908.0,2272397.0
1999-05-25,74340,76030,72989,74340,28340,4999.0,2272397.0
1999-05-26,74679,76030,74679,76030,4480,5113.0,2272397.0
1999-05-27,77382,77719,76030,76030,21920,5113.0,2272397.0
