휴비스(079980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-02-23,12250,13400,11450,11550,7493038,398475.0,34500000.0
2012-02-24,11800,11850,10800,11550,2105991,398475.0,34500000.0
2012-02-27,11700,12150,10800,10900,1306152,376050.0,34500000.0
2012-02-28,11050,11800,10700,11550,1269765,398475.0,34500000.0
2012-02-29,11550,12550,11500,11600,2394437,400200.0,34500000.0
2012-03-02,11700,11750,11100,11150,1074719,384675.0,34500000.0
2012-03-05,11300,11500,11150,11400,440355,393300.0,34500000.0
2012-03-06,11600,12400,11550,12300,2355397,424350.0,34500000.0
2012-03-07,12100,12350,11850,11900,808985,410550.0,34500000.0
2012-03-08,12000,12000,11550,11650,603839,401925.0,34500000.0
2012-03-09,11700,11850,11300,11350,580466,391575.0,34500000.0
2012-03-12,11450,11650,11250,11350,369552,391575.0,34500000.0
2012-03-13,11450,11600,11350,11600,327519,400200.0,34500000.0
2012-03-14,11750,11950,11550,11650,494663,401925.0,34500000.0
2012-03-15,11650,11700,11200,11250,454683,388125.0,34500000.0
2012-03-16,11300,11350,11050,11250,347867,388125.0,34500000.0
2012-03-19,11200,11400,10900,10900,630022,376050.0,34500000.0
2012-03-20,11050,11050,10600,10700,471894,369150.0,34500000.0
2012-03-21,10700,10700,10000,10100,887137,348450.0,34500000.0
2012-03-22,10150,10350,9980,10000,683744,345000.0,34500000.0
2012-03-23,9900,10300,9670,10250,556088,353625.0,34500000.0
2012-03-26,10250,10300,9970,9970,324682,343965.0,34500000.0
2012-03-27,10100,10150,9790,9800,381349,338100.0,34500000.0
2012-03-28,9820,10100,9800,9810,359029,338445.0,34500000.0
2012-03-29,9800,9920,9620,9780,263911,337410.0,34500000.0
2012-03-30,9850,10200,9850,10100,358211,348450.0,34500000.0
2012-04-02,10150,10450,10100,10350,239364,357075.0,34500000.0
2012-04-03,10350,10400,9830,9830,487606,339135.0,34500000.0
2012-04-04,9850,9940,9420,9560,464811,329820.0,34500000.0
2012-04-05,9410,9980,9410,9790,342258,337755.0,34500000.0
2012-04-06,9840,10150,9720,9850,295061,339825.0,34500000.0
2012-04-09,9850,9950,9450,9450,225589,326025.0,34500000.0
2012-04-10,9410,9500,9160,9220,343544,318090.0,34500000.0
2012-04-12,9150,9280,8980,9150,282071,315675.0,34500000.0
2012-04-13,9270,9350,9160,9260,263443,319470.0,34500000.0
2012-04-16,9190,9320,9100,9310,186127,321195.0,34500000.0
2012-04-17,9400,9460,9190,9270,235087,319815.0,34500000.0
2012-04-18,9380,9390,9080,9140,329214,315330.0,34500000.0
2012-04-19,9100,9110,8820,8820,447724,304290.0,34500000.0
2012-04-20,8850,8850,8560,8570,411204,295665.0,34500000.0
2012-04-23,8580,8690,8310,8310,353458,286695.0,34500000.0
2012-04-24,8180,8360,7970,7990,736909,275655.0,34500000.0
2012-04-25,8080,8120,7650,7700,645358,265650.0,34500000.0
