셀트리온(068270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-07-19,5378,6180,5224,6185,499088,30800.0,4000000.0
2005-07-20,6171,6171,5255,5259,422688,26200.0,4000000.0
2005-07-21,5179,5283,4597,4609,182685,22960.0,4000000.0
2005-07-22,4695,4695,4438,4481,69921,22320.0,4000000.0
2005-07-25,4411,4776,4411,4539,61036,22600.0,4000000.0
2005-07-26,4678,4720,4462,4465,39832,22240.0,4000000.0
2005-07-27,4460,4638,4436,4539,44648,22600.0,4000000.0
2005-07-28,4558,4597,4373,4377,41633,21800.0,4000000.0
2005-07-29,4373,4373,4213,4274,57927,21280.0,4000000.0
2005-08-01,4327,4358,4238,4321,28379,21520.0,4000000.0
2005-08-02,4294,4294,4180,4256,41867,21200.0,4000000.0
2005-08-03,4186,4266,4033,4039,31604,20120.0,4000000.0
2005-08-04,4051,4194,4051,4136,18127,20600.0,4000000.0
2005-08-05,4027,4052,3955,4015,17983,20000.0,4000000.0
2005-08-08,3892,4092,3892,4008,9562,19960.0,4000000.0
2005-08-09,3900,4174,3900,3955,25364,19700.0,4000000.0
2005-08-10,3894,4027,3892,4000,29547,19920.0,4000000.0
2005-08-11,4052,4052,3955,4015,14976,20000.0,4000000.0
2005-08-12,4021,4052,3651,3903,20725,19440.0,4000000.0
2005-08-16,3875,3881,3771,3855,13782,19200.0,4000000.0
2005-08-17,3761,3906,3674,3683,14215,18340.0,4000000.0
2005-08-18,3673,3705,3562,3569,18764,17780.0,4000000.0
2005-08-19,3473,3569,3288,3371,65383,16800.0,4000000.0
2005-08-22,3410,3502,3384,3453,19806,17200.0,4000000.0
2005-08-23,3488,3503,3335,3382,23977,16840.0,4000000.0
2005-08-24,3353,3406,3292,3396,27152,16920.0,4000000.0
2005-08-25,3336,3388,3317,3371,17596,16800.0,4000000.0
2005-08-26,3329,3412,3289,3361,36431,16740.0,4000000.0
2005-08-29,3319,3335,3196,3234,41311,16100.0,4000000.0
2005-08-30,3228,3266,3186,3253,17316,16200.0,4000000.0
2005-08-31,3179,3284,3179,3212,15701,16000.0,4000000.0
2005-09-01,3232,3356,3232,3358,40788,16720.0,4000000.0
2005-09-02,3346,3519,3330,3413,26662,17000.0,4000000.0
2005-09-05,3425,3434,3370,3378,12468,16820.0,4000000.0
2005-09-06,3431,3431,3364,3382,26439,16840.0,4000000.0
2005-09-07,3411,3595,3411,3506,69269,17460.0,4000000.0
2005-09-08,3520,3680,3503,3646,46490,18160.0,4000000.0
2005-09-09,3693,3693,3529,3533,19748,17600.0,4000000.0
2005-09-12,3530,3562,3437,3453,30114,17200.0,4000000.0
2005-09-13,3411,3493,3333,3447,29028,17160.0,4000000.0
2005-09-14,3434,3953,3434,3959,159354,19720.0,4000000.0
2005-09-15,4090,4380,3873,4178,346376,20800.0,4000000.0
2005-09-16,4285,4285,3934,4000,103569,19920.0,4000000.0
2005-09-20,3952,3974,3813,3835,134286,19100.0,4000000.0
2005-09-21,3823,3993,3778,3944,111293,19640.0,4000000.0
2005-09-22,3871,3958,3825,3844,100523,19140.0,4000000.0
2005-09-23,3790,3952,3732,3738,65427,18620.0,4000000.0
2005-09-26,3745,3795,3683,3751,27290,18680.0,4000000.0
2005-09-27,3771,4091,3738,4089,156320,20360.0,4000000.0
2005-09-28,4092,4115,3964,4057,92571,20200.0,4000000.0
2005-09-29,4171,4222,4012,4015,111836,20000.0,4000000.0
2005-09-30,4021,4251,3999,4256,94051,21200.0,4000000.0
2005-10-04,4332,4342,4214,4313,84287,21480.0,4000000.0
2005-10-05,4245,4519,4245,4410,131484,21960.0,4000000.0
2005-10-06,4574,4759,4407,4410,312595,21960.0,4000000.0
2005-10-07,4421,4582,4421,4499,109101,22400.0,4000000.0
2005-10-10,4534,4590,4350,4481,88609,22320.0,4000000.0
